date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-08-03 14:00:00,2022,3,8,14,-96.0,2.267,76.3,7.8,106.1,nan,nan,924.02
2022-08-03 15:00:00,2022,3,8,15,-96.0,2.283,75.5,8.0,103.6,69.49483,-49.66996,924.02
2022-08-03 16:00:00,2022,3,8,16,-97.0,2.267,74.9,8.6,106.4,69.49483,-49.67000,924.02
2022-08-03 17:00:00,2022,3,8,17,-98.0,2.233,75.2,8.3,101.9,69.49481,-49.66996,924.02
2022-08-03 18:00:00,2022,3,8,18,-100.0,2.683,75.0,8.1,102.8,69.49481,-49.66997,924.02
2022-08-03 19:00:00,2022,3,8,19,-101.0,3.117,72.1,10.9,116.3,69.49483,-49.66997,924.02
2022-08-03 20:00:00,2022,3,8,20,-102.0,3.533,70.6,10.6,111.2,69.49480,-49.66997,924.02
2022-08-03 21:00:00,2022,3,8,21,-103.0,3.75,69.8,11.5,108.9,69.49481,-49.66998,924.02
2022-08-03 22:00:00,2022,3,8,22,-104.0,3.967,67.9,12.2,111.2,69.49481,-49.66992,924.02
2022-08-03 23:00:00,2022,3,8,23,-105.0,3.833,68.7,12.0,118.6,69.49481,-49.67000,924.02
2022-08-04 00:00:00,2022,4,8,0,nan,3.717,71.3,11.7,121.5,69.49482,-49.66999,924.01
2022-08-04 01:00:00,2022,4,8,1,-105.0,3.7,75.8,10.9,118.1,69.49481,-49.66996,924.01
2022-08-04 02:00:00,2022,4,8,2,-106.0,3.35,82.4,10.6,123.5,69.49482,-49.66999,924.01
2022-08-04 03:00:00,2022,4,8,3,-106.0,3.333,84.4,10.3,124.8,69.49480,-49.67002,924.01
2022-08-04 04:00:00,2022,4,8,4,-106.0,3.45,85.2,11.3,128.1,69.49482,-49.67000,924.01
2022-08-04 05:00:00,2022,4,8,5,-106.0,2.9,87.6,10.6,129.0,69.49481,-49.66998,924.01
2022-08-04 06:00:00,2022,4,8,6,-106.0,2.267,92.6,9.4,125.9,69.49481,-49.66999,924.01
2022-08-04 07:00:00,2022,4,8,7,-106.0,2.267,90.0,8.9,127.3,69.49480,-49.66995,924.01
2022-08-04 08:00:00,2022,4,8,8,-106.0,2.267,92.1,9.1,124.4,69.49481,-49.67001,924.01
2022-08-04 09:00:00,2022,4,8,9,-106.0,2.3,91.6,9.6,125.9,69.49481,-49.67002,924.01
2022-08-04 10:00:00,2022,4,8,10,-105.0,2.283,94.1,9.8,127.3,69.49479,-49.66995,924.01
2022-08-04 11:00:00,2022,4,8,11,-106.0,2.217,92.5,9.2,124.8,69.49481,-49.67000,924.01
2022-08-04 12:00:00,2022,4,8,12,-105.0,2.133,94.4,8.6,130.7,69.49479,-49.66992,924.01
2022-08-04 13:00:00,2022,4,8,13,-105.0,1.7,97.4,7.9,141.7,69.49480,-49.66991,924.01
2022-08-04 14:00:00,2022,4,8,14,-104.0,1.15,98.0,6.6,148.0,69.49482,-49.67000,924.01
2022-08-04 15:00:00,2022,4,8,15,-103.0,1.5,98.2,6.4,135.9,69.49482,-49.66998,924.01
2022-08-04 16:00:00,2022,4,8,16,-103.0,2.033,91.6,7.6,137.2,69.49483,-49.66994,924.01
2022-08-04 17:00:00,2022,4,8,17,-103.0,2.117,87.7,7.9,141.2,69.49482,-49.66993,924.01
2022-08-04 18:00:00,2022,4,8,18,-103.0,1.6,91.8,5.5,145.0,69.49481,-49.66999,924.01
2022-08-04 19:00:00,2022,4,8,19,-102.0,1.35,93.8,7.0,155.5,69.49482,-49.66998,924.01
2022-08-04 20:00:00,2022,4,8,20,-101.0,0.783,97.9,7.2,150.1,69.49482,-49.67000,924.01
2022-08-04 21:00:00,2022,4,8,21,-101.0,0.533,98.8,6.0,150.1,69.49482,-49.67000,924.01
2022-08-04 22:00:00,2022,4,8,22,-100.0,0.567,98.9,5.8,137.8,69.49482,-49.66997,924.01
2022-08-04 23:00:00,2022,4,8,23,-99.0,0.8,99.2,7.1,137.0,69.49481,-49.67000,924.01
2022-08-05 00:00:00,2022,5,8,0,-99.0,0.833,98.1,6.6,132.9,69.49481,-49.66996,924.01
2022-08-05 01:00:00,2022,5,8,1,-99.0,0.933,97.6,5.9,139.2,69.49482,-49.66996,924.01
2022-08-05 02:00:00,2022,5,8,2,-99.0,0.65,98.8,6.4,137.3,69.49482,-49.66994,924.01
2022-08-05 03:00:00,2022,5,8,3,-99.0,0.483,99.3,5.9,139.8,69.49481,-49.67003,924.01
2022-08-05 04:00:00,2022,5,8,4,-99.0,0.467,99.5,6.3,136.8,69.49481,-49.67001,924.01
2022-08-05 05:00:00,2022,5,8,5,-99.0,0.4,99.5,6.0,141.5,69.49481,-49.66998,924.01
2022-08-05 06:00:00,2022,5,8,6,-99.0,0.417,99.7,5.3,136.1,69.49482,-49.67004,924.01
2022-08-05 07:00:00,2022,5,8,7,-100.0,0.55,99.8,5.2,121.4,69.49481,-49.67003,924.01
2022-08-05 08:00:00,2022,5,8,8,-100.0,1.033,96.0,5.1,110.9,69.49482,-49.67001,924.01
2022-08-05 09:00:00,2022,5,8,9,-101.0,1.667,91.1,6.4,117.2,69.49482,-49.67002,924.01
2022-08-05 10:00:00,2022,5,8,10,-102.0,2.017,89.0,6.4,118.9,69.49482,-49.67001,924.01
2022-08-05 11:00:00,2022,5,8,11,-102.0,2.033,88.9,5.8,126.5,69.49479,-49.67001,924.01
2022-08-05 12:00:00,2022,5,8,12,-103.0,2.0,89.4,5.6,128.9,69.49479,-49.66997,924.01
2022-08-05 13:00:00,2022,5,8,13,-103.0,2.067,89.7,6.7,123.9,69.49482,-49.66997,924.01
2022-08-05 14:00:00,2022,5,8,14,-103.0,1.917,91.6,5.9,121.4,69.49482,-49.66997,924.01
2022-08-05 15:00:00,2022,5,8,15,-104.0,1.5,95.1,5.8,119.7,69.49481,-49.67000,924.01
2022-08-05 16:00:00,2022,5,8,16,-104.0,1.4,96.8,5.7,122.8,69.49484,-49.67000,924.01
2022-08-05 17:00:00,2022,5,8,17,-104.0,1.383,98.0,5.5,119.1,69.49482,-49.66999,924.01
2022-08-05 18:00:00,2022,5,8,18,-104.0,1.317,98.9,5.8,124.7,69.49480,-49.67006,924.01
2022-08-05 19:00:00,2022,5,8,19,-104.0,1.333,99.0,5.0,122.5,69.49481,-49.66999,924.01
2022-08-05 20:00:00,2022,5,8,20,-104.0,1.15,99.5,4.8,125.1,69.49482,-49.66994,924.01
2022-08-05 21:00:00,2022,5,8,21,-103.0,1.283,99.5,4.8,122.3,69.49480,-49.66996,924.01
2022-08-05 22:00:00,2022,5,8,22,-103.0,1.383,97.9,5.1,129.8,69.49481,-49.66998,924.01
2022-08-05 23:00:00,2022,5,8,23,-103.0,1.35,99.1,4.7,127.5,69.49481,-49.66998,924.01
2022-08-06 00:00:00,2022,6,8,0,-103.0,1.2,99.5,5.2,124.6,69.49481,-49.67000,924.00
2022-08-06 01:00:00,2022,6,8,1,-103.0,1.067,99.9,5.4,126.7,69.49481,-49.67000,924.00
2022-08-06 02:00:00,2022,6,8,2,-103.0,0.983,100.0,5.7,128.3,69.49480,-49.66996,924.00
