date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-190.0,-4.499,85.9,nan,nan,67.00060,-47.03216,1821.60
2022-07-01 01:00:00,2022,1,7,1,-190.0,-5.578,88.0,nan,nan,nan,nan,1821.60
2022-07-01 02:00:00,2022,1,7,2,-191.0,-6.818,88.7,nan,nan,nan,nan,1821.60
2022-07-01 03:00:00,2022,1,7,3,-191.0,-7.626,87.8,nan,nan,nan,nan,1821.60
2022-07-01 04:00:00,2022,1,7,4,-191.0,-8.39,87.6,nan,nan,nan,nan,1821.60
2022-07-01 05:00:00,2022,1,7,5,-191.0,-8.25,91.9,nan,nan,nan,nan,1821.60
2022-07-01 06:00:00,2022,1,7,6,-192.0,-7.549,93.6,nan,nan,67.00060,-47.03216,1821.60
2022-07-01 07:00:00,2022,1,7,7,-192.0,-6.745,92.6,nan,nan,nan,nan,1821.60
2022-07-01 08:00:00,2022,1,7,8,-192.0,-6.293,90.9,nan,nan,nan,nan,1821.60
2022-07-01 09:00:00,2022,1,7,9,-192.0,-4.817,88.9,nan,nan,nan,nan,1821.60
2022-07-01 10:00:00,2022,1,7,10,-193.0,-3.03,83.4,nan,nan,nan,nan,1821.60
2022-07-01 11:00:00,2022,1,7,11,-193.0,-1.344,80.4,nan,nan,nan,nan,1821.60
2022-07-01 12:00:00,2022,1,7,12,-193.0,-0.063,81.8,nan,nan,67.00060,-47.03216,1821.60
2022-07-01 13:00:00,2022,1,7,13,-193.0,0.612,83.8,nan,nan,nan,nan,1821.60
2022-07-01 14:00:00,2022,1,7,14,-193.0,0.57,82.1,nan,nan,nan,nan,1821.60
2022-07-01 15:00:00,2022,1,7,15,-193.0,0.478,82.0,nan,nan,nan,nan,1821.60
2022-07-01 16:00:00,2022,1,7,16,-193.0,0.482,80.9,nan,nan,nan,nan,1821.60
2022-07-01 17:00:00,2022,1,7,17,-192.0,0.415,80.7,nan,nan,nan,nan,1821.60
2022-07-01 18:00:00,2022,1,7,18,-192.0,-0.141,84.2,nan,nan,67.00060,-47.03216,1821.60
2022-07-01 19:00:00,2022,1,7,19,-192.0,-0.869,85.9,nan,nan,nan,nan,1821.60
2022-07-01 20:00:00,2022,1,7,20,-191.0,-1.2,89.3,nan,nan,nan,nan,1821.60
2022-07-01 21:00:00,2022,1,7,21,-191.0,-1.562,89.9,nan,nan,nan,nan,1821.60
2022-07-01 22:00:00,2022,1,7,22,-191.0,-2.164,92.6,nan,nan,nan,nan,1821.60
2022-07-01 23:00:00,2022,1,7,23,-191.0,-2.077,95.8,nan,nan,nan,nan,1821.60
2022-07-02 00:00:00,2022,2,7,0,-191.0,-2.19,99.1,nan,nan,67.00060,-47.03216,1821.60
2022-07-02 01:00:00,2022,2,7,1,-190.0,-2.496,99.8,nan,nan,nan,nan,1821.60
2022-07-02 02:00:00,2022,2,7,2,-190.0,-2.577,99.8,nan,nan,nan,nan,1821.60
2022-07-02 03:00:00,2022,2,7,3,-190.0,-2.782,99.8,nan,nan,nan,nan,1821.60
2022-07-02 04:00:00,2022,2,7,4,-189.0,-3.176,99.8,nan,nan,nan,nan,1821.60
2022-07-02 05:00:00,2022,2,7,5,-189.0,-3.401,99.8,nan,nan,nan,nan,1821.60
2022-07-02 06:00:00,2022,2,7,6,-189.0,-3.345,99.8,nan,nan,67.00060,-47.03216,1821.60
2022-07-02 07:00:00,2022,2,7,7,-188.0,-3.401,97.9,nan,nan,nan,nan,1821.60
2022-07-02 08:00:00,2022,2,7,8,-188.0,-3.256,95.6,nan,nan,nan,nan,1821.60
2022-07-02 09:00:00,2022,2,7,9,-188.0,-3.136,93.0,nan,nan,nan,nan,1821.60
2022-07-02 10:00:00,2022,2,7,10,-188.0,-2.98,88.2,nan,nan,nan,nan,1821.60
2022-07-02 11:00:00,2022,2,7,11,-187.0,-2.779,83.8,nan,nan,nan,nan,1821.60
2022-07-02 12:00:00,2022,2,7,12,-187.0,-2.51,77.2,nan,nan,67.00060,-47.03216,1821.60
2022-07-02 13:00:00,2022,2,7,13,-187.0,-2.109,72.0,nan,nan,nan,nan,1821.60
2022-07-02 14:00:00,2022,2,7,14,-186.0,-1.353,74.3,nan,nan,nan,nan,1821.60
