date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-33.0,4.028,65.1,7.4,5.1,79.91079,-24.08092,361.08
2022-07-01 01:00:00,2022,1,7,1,-33.0,4.039,65.3,7.6,8.4,nan,nan,361.08
2022-07-01 02:00:00,2022,1,7,2,-32.0,3.965,66.0,7.5,4.6,nan,nan,361.08
2022-07-01 03:00:00,2022,1,7,3,-32.0,4.162,64.8,7.6,17.5,nan,nan,361.08
2022-07-01 04:00:00,2022,1,7,4,-32.0,4.281,64.5,7.6,20.9,nan,nan,361.08
2022-07-01 05:00:00,2022,1,7,5,-32.0,4.007,66.2,7.1,16.4,nan,nan,361.08
2022-07-01 06:00:00,2022,1,7,6,-31.0,4.214,65.2,6.5,14.6,79.91080,-24.08099,361.08
2022-07-01 07:00:00,2022,1,7,7,-31.0,3.982,66.6,6.4,17.1,nan,nan,361.08
2022-07-01 08:00:00,2022,1,7,8,-31.0,4.28,65.6,6.5,16.9,nan,nan,361.08
2022-07-01 09:00:00,2022,1,7,9,-31.0,4.329,65.8,6.5,17.2,nan,nan,361.08
2022-07-01 10:00:00,2022,1,7,10,-30.0,4.332,65.8,6.4,15.4,nan,nan,361.08
2022-07-01 11:00:00,2022,1,7,11,-30.0,4.241,66.7,6.3,13.1,nan,nan,361.08
2022-07-01 12:00:00,2022,1,7,12,-30.0,4.404,66.4,6.3,11.6,79.91081,-24.08098,361.08
2022-07-01 13:00:00,2022,1,7,13,-30.0,4.41,66.2,6.5,15.3,nan,nan,361.08
2022-07-01 14:00:00,2022,1,7,14,-30.0,4.144,68.4,6.1,8.4,nan,nan,361.08
2022-07-01 15:00:00,2022,1,7,15,-30.0,4.151,68.2,6.1,12.1,nan,nan,361.08
2022-07-01 16:00:00,2022,1,7,16,-30.0,4.172,68.2,6.2,7.1,nan,nan,361.08
2022-07-01 17:00:00,2022,1,7,17,-30.0,4.204,67.9,6.8,2.7,nan,nan,361.08
2022-07-01 18:00:00,2022,1,7,18,-30.0,4.264,68.2,6.9,4.2,79.91081,-24.08096,361.08
2022-07-01 19:00:00,2022,1,7,19,-30.0,4.134,68.7,6.6,1.1,nan,nan,361.08
2022-07-01 20:00:00,2022,1,7,20,-30.0,3.979,69.7,6.3,4.1,nan,nan,361.08
2022-07-01 21:00:00,2022,1,7,21,-30.0,4.06,69.8,6.1,7.6,nan,nan,361.08
2022-07-01 22:00:00,2022,1,7,22,-30.0,3.948,70.2,5.4,4.0,nan,nan,361.08
2022-07-01 23:00:00,2022,1,7,23,-30.0,4.011,69.8,5.1,3.5,nan,nan,361.08
2022-07-02 00:00:00,2022,2,7,0,-31.0,3.832,70.3,3.6,23.5,79.91081,-24.08094,361.07
2022-07-02 01:00:00,2022,2,7,1,-31.0,3.921,69.7,3.3,33.1,nan,nan,361.07
2022-07-02 02:00:00,2022,2,7,2,-31.0,3.576,71.2,4.4,20.5,nan,nan,361.07
2022-07-02 03:00:00,2022,2,7,3,-32.0,4.23,67.2,4.3,34.6,nan,nan,361.07
2022-07-02 04:00:00,2022,2,7,4,-32.0,4.855,63.4,4.4,58.7,nan,nan,361.07
2022-07-02 05:00:00,2022,2,7,5,-33.0,4.384,65.1,3.7,54.4,nan,nan,361.07
2022-07-02 06:00:00,2022,2,7,6,-33.0,4.739,64.7,1.7,86.2,79.91080,-24.08094,361.07
2022-07-02 07:00:00,2022,2,7,7,-33.0,4.355,65.2,1.8,71.7,nan,nan,361.07
2022-07-02 08:00:00,2022,2,7,8,-33.0,3.504,69.9,3.2,53.5,nan,nan,361.07
2022-07-02 09:00:00,2022,2,7,9,-34.0,3.35,70.6,5.0,20.6,nan,nan,361.07
2022-07-02 10:00:00,2022,2,7,10,-34.0,3.554,70.0,6.7,17.2,nan,nan,361.07
2022-07-02 11:00:00,2022,2,7,11,-34.0,3.628,69.6,5.3,44.2,nan,nan,361.07
2022-07-02 12:00:00,2022,2,7,12,-34.0,4.102,68.0,1.6,42.4,79.91080,-24.08100,361.07
2022-07-02 13:00:00,2022,2,7,13,-34.0,3.859,69.1,1.9,48.8,nan,nan,361.07
2022-07-02 14:00:00,2022,2,7,14,-34.0,3.606,68.4,6.1,16.3,nan,nan,361.07
2022-07-02 15:00:00,2022,2,7,15,-34.0,3.758,68.0,7.2,12.8,nan,nan,361.07
2022-07-02 16:00:00,2022,2,7,16,-34.0,3.856,67.8,6.9,16.8,nan,nan,361.07
2022-07-02 17:00:00,2022,2,7,17,-34.0,3.61,69.2,6.1,9.2,nan,nan,361.07
2022-07-02 18:00:00,2022,2,7,18,-33.0,3.927,67.6,nan,nan,79.91081,-24.08095,361.07
2022-07-02 19:00:00,2022,2,7,19,-33.0,3.677,69.3,6.2,12.1,nan,nan,361.07
2022-07-02 20:00:00,2022,2,7,20,-33.0,3.906,68.6,6.6,12.3,nan,nan,361.07
2022-07-02 21:00:00,2022,2,7,21,-32.0,3.663,69.7,6.8,2.7,nan,nan,361.07
2022-07-02 22:00:00,2022,2,7,22,-32.0,4.025,68.9,nan,nan,nan,nan,361.07
2022-07-02 23:00:00,2022,2,7,23,-31.0,3.751,69.7,6.2,6.3,nan,nan,361.07
2022-07-03 00:00:00,2022,3,7,0,-31.0,3.818,67.8,6.6,14.4,79.91079,-24.08092,361.06
2022-07-03 01:00:00,2022,3,7,1,-31.0,3.843,67.5,6.3,13.9,nan,nan,361.06
2022-07-03 02:00:00,2022,3,7,2,-31.0,3.555,70.5,6.5,16.9,nan,nan,361.06
2022-07-03 03:00:00,2022,3,7,3,-30.0,3.467,72.1,6.2,3.9,nan,nan,361.06
2022-07-03 04:00:00,2022,3,7,4,-30.0,3.509,71.7,5.6,5.6,nan,nan,361.06
2022-07-03 05:00:00,2022,3,7,5,-30.0,3.488,71.3,5.2,3.3,nan,nan,361.06
2022-07-03 06:00:00,2022,3,7,6,-30.0,3.666,69.7,5.4,356.8,79.91081,-24.08100,361.06
2022-07-03 07:00:00,2022,3,7,7,-30.0,3.754,68.6,5.0,357.9,nan,nan,361.06
2022-07-03 08:00:00,2022,3,7,8,-29.0,3.482,70.9,5.1,351.3,nan,nan,361.06
2022-07-03 09:00:00,2022,3,7,9,-29.0,3.455,71.6,5.6,345.7,nan,nan,361.06
2022-07-03 10:00:00,2022,3,7,10,-29.0,3.429,72.3,5.0,346.9,nan,nan,361.06
2022-07-03 11:00:00,2022,3,7,11,-29.0,3.342,73.0,5.5,344.4,nan,nan,361.06
2022-07-03 12:00:00,2022,3,7,12,-30.0,3.687,71.4,4.3,351.3,79.91081,-24.08098,361.06
2022-07-03 13:00:00,2022,3,7,13,-29.0,3.648,70.8,3.9,352.0,nan,nan,361.06
2022-07-03 14:00:00,2022,3,7,14,-29.0,3.919,70.0,3.4,334.1,nan,nan,361.06
