date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-36.0,4.4,71.8,7.2,289.3,79.91388,-24.09352,375.20
2022-07-01 01:00:00,2022,1,7,1,-35.0,4.383,72.1,7.3,291.2,79.91385,-24.09348,375.20
2022-07-01 02:00:00,2022,1,7,2,-35.0,4.35,72.3,7.4,291.5,79.91388,-24.09360,375.20
2022-07-01 03:00:00,2022,1,7,3,-35.0,4.483,71.6,7.2,294.3,79.91388,-24.09367,375.20
2022-07-01 04:00:00,2022,1,7,4,-35.0,4.6,71.3,7.3,301.0,79.91386,-24.09360,375.20
2022-07-01 05:00:00,2022,1,7,5,-34.0,4.35,72.7,6.9,299.3,79.91388,-24.09364,375.20
2022-07-01 06:00:00,2022,1,7,6,-34.0,4.517,72.1,6.4,297.2,79.91387,-24.09369,375.20
2022-07-01 07:00:00,2022,1,7,7,-34.0,4.517,72.6,6.2,292.6,79.91388,-24.09362,375.20
2022-07-01 08:00:00,2022,1,7,8,-33.0,4.583,72.5,6.3,298.8,79.91386,-24.09364,375.20
2022-07-01 09:00:00,2022,1,7,9,-33.0,4.6,72.7,6.4,295.3,79.91388,-24.09369,375.20
2022-07-01 10:00:00,2022,1,7,10,-33.0,4.783,72.3,6.4,295.7,79.91388,-24.09380,375.20
2022-07-01 11:00:00,2022,1,7,11,-33.0,4.683,72.9,6.3,294.7,79.91388,-24.09352,375.20
2022-07-01 12:00:00,2022,1,7,12,-33.0,4.7,73.2,6.0,294.6,79.91388,-24.09364,375.20
2022-07-01 13:00:00,2022,1,7,13,-33.0,4.833,72.7,6.2,292.3,79.91389,-24.09359,375.20
2022-07-01 14:00:00,2022,1,7,14,-33.0,4.533,74.7,5.9,290.8,79.91388,-24.09360,375.20
2022-07-01 15:00:00,2022,1,7,15,-33.0,4.6,74.5,5.9,291.9,79.91388,-24.09359,375.20
2022-07-01 16:00:00,2022,1,7,16,-33.0,4.583,74.6,6.0,289.2,79.91388,-24.09369,375.20
