date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-250.0,-7.567,82.1,3.9,244.8,77.44144,-51.08371,2450.94
2022-07-01 01:00:00,2022,1,7,1,-249.9,-7.667,81.9,3.5,239.1,77.44146,-51.08363,2450.94
2022-07-01 02:00:00,2022,1,7,2,-249.9,-7.983,81.6,3.4,241.3,77.44145,-51.08377,2450.94
2022-07-01 03:00:00,2022,1,7,3,-249.9,-8.05,82.6,2.9,242.6,77.44142,-51.08358,2450.94
2022-07-01 04:00:00,2022,1,7,4,-250.0,-8.1,81.7,2.2,249.1,77.44145,-51.08373,2450.94
2022-07-01 05:00:00,2022,1,7,5,-250.0,-7.95,81.4,0.9,238.0,77.44145,-51.08371,2450.94
2022-07-01 06:00:00,2022,1,7,6,-249.9,-8.18,84.5,2.3,177.1,77.44143,-51.08368,2450.94
2022-07-01 07:00:00,2022,1,7,7,-250.0,-8.0,85.6,2.4,175.4,77.44142,-51.08372,2450.94
2022-07-01 08:00:00,2022,1,7,8,-250.2,-7.633,82.7,2.3,180.5,77.44141,-51.08365,2450.94
2022-07-01 09:00:00,2022,1,7,9,-250.4,-7.333,82.5,2.5,178.5,77.44140,-51.08373,2450.94
2022-07-01 10:00:00,2022,1,7,10,-250.4,-7.1,82.1,3.1,170.1,77.44144,-51.08366,2450.94
2022-07-01 11:00:00,2022,1,7,11,-250.5,-6.95,78.2,3.5,162.2,77.44146,-51.08369,2450.94
2022-07-01 12:00:00,2022,1,7,12,-250.6,-6.883,73.9,4.2,147.8,77.44142,-51.08375,2450.94
2022-07-01 13:00:00,2022,1,7,13,-250.8,-7.067,70.8,4.3,136.1,77.44144,-51.08369,2450.94
2022-07-01 14:00:00,2022,1,7,14,-251.1,-7.3,69.1,4.7,127.7,77.44143,-51.08368,2450.94
2022-07-01 15:00:00,2022,1,7,15,nan,,nan,nan,nan,77.44143,-51.08377,2450.94
2022-07-01 16:00:00,2022,1,7,16,-251.5,-8.17,71.5,6.4,127.8,nan,nan,2450.94
2022-07-01 17:00:00,2022,1,7,17,-251.8,-7.8,74.1,5.8,121.7,77.44141,-51.08373,2450.94
2022-07-01 18:00:00,2022,1,7,18,-252.0,-7.633,76.0,6.4,132.4,77.44142,-51.08361,2450.94
2022-07-01 19:00:00,2022,1,7,19,-252.2,-8.3,76.4,6.0,132.4,77.44144,-51.08362,2450.94
2022-07-01 20:00:00,2022,1,7,20,-252.3,-8.5,78.0,4.5,128.6,77.44144,-51.08382,2450.94
