date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-70.0,3.469,94.7,1.1,98.4,64.16230,-51.35866,701.89
2022-07-01 01:00:00,2022,1,7,1,-70.0,2.459,99.7,1.7,168.0,nan,nan,701.89
2022-07-01 02:00:00,2022,1,7,2,-71.0,1.908,100.9,2.2,203.4,nan,nan,701.89
2022-07-01 03:00:00,2022,1,7,3,-71.0,2.773,100.9,3.0,205.0,nan,nan,701.89
2022-07-01 04:00:00,2022,1,7,4,-71.0,4.475,84.6,5.2,154.2,nan,nan,701.89
2022-07-01 05:00:00,2022,1,7,5,-71.0,4.401,84.3,3.9,162.0,nan,nan,701.89
2022-07-01 06:00:00,2022,1,7,6,-71.0,4.161,87.3,2.4,183.6,64.16230,-51.35874,701.89
2022-07-01 07:00:00,2022,1,7,7,-71.0,3.221,94.4,2.1,195.8,nan,nan,701.89
2022-07-01 08:00:00,2022,1,7,8,-71.0,3.472,91.5,3.3,130.3,nan,nan,701.89
2022-07-01 09:00:00,2022,1,7,9,-72.0,3.243,93.7,2.5,183.4,nan,nan,701.89
2022-07-01 10:00:00,2022,1,7,10,-72.0,3.536,87.8,2.2,165.5,nan,nan,701.89
2022-07-01 11:00:00,2022,1,7,11,-72.0,2.572,92.7,3.4,185.3,nan,nan,701.89
2022-07-01 12:00:00,2022,1,7,12,-71.0,1.954,99.6,3.3,179.0,64.16226,-51.35869,701.89
2022-07-01 13:00:00,2022,1,7,13,-71.0,2.229,90.0,4.6,200.0,nan,nan,701.89
2022-07-01 14:00:00,2022,1,7,14,-71.0,0.917,99.4,4.1,185.2,nan,nan,701.89
2022-07-01 15:00:00,2022,1,7,15,-71.0,0.194,100.1,5.3,165.0,nan,nan,701.89
2022-07-01 16:00:00,2022,1,7,16,-71.0,0.928,98.3,3.8,171.7,nan,nan,701.89
2022-07-01 17:00:00,2022,1,7,17,-70.0,0.409,99.7,3.5,156.4,nan,nan,701.89
2022-07-01 18:00:00,2022,1,7,18,-70.0,0.339,99.5,3.6,169.2,64.16225,-51.35866,701.89
2022-07-01 19:00:00,2022,1,7,19,-69.0,0.815,90.8,3.8,178.8,nan,nan,701.89
2022-07-01 20:00:00,2022,1,7,20,-69.0,0.349,97.2,3.4,167.6,nan,nan,701.89
2022-07-01 21:00:00,2022,1,7,21,-68.0,-0.004,100.9,4.0,172.9,nan,nan,701.89
