date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-47.3,4.4196,nan,3.7,155.3,64.48378,-49.54971,505.43
2022-07-01 01:00:00,2022,1,7,1,-47.7,4.1146,nan,3.5,137.3,64.48380,-49.54973,505.43
2022-07-01 02:00:00,2022,1,7,2,-48.2,4.0197,nan,3.4,139.9,64.48379,-49.54970,505.43
2022-07-01 03:00:00,2022,1,7,3,-48.5,3.7348,nan,4.1,160.9,64.48378,-49.54971,505.43
2022-07-01 04:00:00,2022,1,7,4,-48.6,4.7229,nan,4.3,167.1,64.48380,-49.54975,505.43
2022-07-01 05:00:00,2022,1,7,5,-48.7,6.0298,nan,4.7,179.3,64.48379,-49.54976,505.43
2022-07-01 06:00:00,2022,1,7,6,-48.4,6.3231,nan,3.8,196.9,64.48379,-49.54973,505.43
2022-07-01 07:00:00,2022,1,7,7,-48.4,5.7883,nan,4.6,182.1,64.48378,-49.54973,505.43
2022-07-01 08:00:00,2022,1,7,8,-48.4,5.1454,nan,4.2,179.5,64.48378,-49.54974,505.43
2022-07-01 09:00:00,2022,1,7,9,-48.9,5.0575,nan,4.2,158.5,64.48379,-49.54974,505.43
2022-07-01 10:00:00,2022,1,7,10,-48.9,5.8399,nan,2.6,188.9,64.48379,-49.54973,505.43
2022-07-01 11:00:00,2022,1,7,11,-48.8,7.087,nan,3.5,204.0,64.48379,-49.54973,505.43
2022-07-01 12:00:00,2022,1,7,12,-48.6,6.8742,nan,2.8,176.7,64.48378,-49.54973,505.43
2022-07-01 13:00:00,2022,1,7,13,-48.6,7.4447,nan,3.2,183.6,64.48381,-49.54974,505.43
2022-07-01 14:00:00,2022,1,7,14,-48.4,7.4562,nan,4.1,191.6,64.48379,-49.54974,505.43
2022-07-01 15:00:00,2022,1,7,15,-48.1,6.7973,nan,4.0,192.5,64.48380,-49.54974,505.43
2022-07-01 16:00:00,2022,1,7,16,-47.9,6.0705,nan,4.3,205.9,64.48379,-49.54971,505.43
2022-07-01 17:00:00,2022,1,7,17,-47.6,5.9063,nan,5.2,183.2,64.48379,-49.54972,505.43
2022-07-01 18:00:00,2022,1,7,18,-47.2,5.8923,nan,4.1,190.0,64.48380,-49.54974,505.43
2022-07-01 19:00:00,2022,1,7,19,-47.0,5.8612,nan,3.4,216.1,64.48380,-49.54971,505.43
2022-07-01 20:00:00,2022,1,7,20,-46.7,5.971,nan,4.5,196.9,64.48380,-49.54972,505.43
2022-07-01 21:00:00,2022,1,7,21,-45.9,5.3841,nan,1.9,211.8,64.48381,-49.54972,505.43
2022-07-01 22:00:00,2022,1,7,22,-45.7,5.6623,nan,2.1,202.8,64.48379,-49.54976,505.43
2022-07-01 23:00:00,2022,1,7,23,-45.3,5.1178,nan,3.8,211.8,64.48379,-49.54973,505.43
2022-07-02 00:00:00,2022,2,7,0,-44.8,4.7284,nan,2.9,219.6,64.48378,-49.54973,505.38
2022-07-02 01:00:00,2022,2,7,1,-44.2,4.8138,nan,2.8,237.3,64.48380,-49.54975,505.38
2022-07-02 02:00:00,2022,2,7,2,-43.8,4.4448,nan,1.5,228.6,64.48380,-49.54973,505.38
2022-07-02 03:00:00,2022,2,7,3,-43.4,4.2061,nan,0.9,148.3,64.48379,-49.54970,505.38
2022-07-02 04:00:00,2022,2,7,4,-43.1,3.8615,nan,1.7,221.5,64.48376,-49.54976,505.38
2022-07-02 05:00:00,2022,2,7,5,-42.5,3.5944,nan,0.8,99.9,64.48380,-49.54973,505.38
2022-07-02 06:00:00,2022,2,7,6,-41.9,3.6544,nan,1.4,145.4,64.48379,-49.54975,505.38
2022-07-02 07:00:00,2022,2,7,7,-41.6,3.3838,nan,1.0,155.2,64.48379,-49.54973,505.38
2022-07-02 08:00:00,2022,2,7,8,-41.5,2.5544,nan,2.3,146.2,64.48380,-49.54972,505.38
2022-07-02 09:00:00,2022,2,7,9,-41.4,2.2588,nan,2.5,132.7,64.48381,-49.54975,505.38
2022-07-02 10:00:00,2022,2,7,10,-41.3,2.9335,nan,3.0,144.6,64.48380,-49.54973,505.38
2022-07-02 11:00:00,2022,2,7,11,-41.1,3.8602,nan,1.5,184.1,64.48379,-49.54976,505.38
2022-07-02 12:00:00,2022,2,7,12,-41.2,3.2159,nan,2.0,154.0,64.48379,-49.54977,505.38
2022-07-02 13:00:00,2022,2,7,13,-41.2,3.0224,nan,2.3,152.9,64.48381,-49.54977,505.38
2022-07-02 14:00:00,2022,2,7,14,-41.2,3.5178,nan,2.9,165.9,64.48378,-49.54976,505.38
2022-07-02 15:00:00,2022,2,7,15,-41.3,3.8506,nan,3.3,163.8,64.48379,-49.54975,505.38
2022-07-02 16:00:00,2022,2,7,16,-41.4,5.3262,nan,3.4,166.2,64.48379,-49.54971,505.38
2022-07-02 17:00:00,2022,2,7,17,-41.5,4.504,nan,4.3,145.8,64.48379,-49.54972,505.38
2022-07-02 18:00:00,2022,2,7,18,-41.7,4.3782,nan,4.2,151.4,64.48380,-49.54973,505.38
2022-07-02 19:00:00,2022,2,7,19,-42.1,4.6811,nan,4.1,163.2,64.48379,-49.54973,505.38
2022-07-02 20:00:00,2022,2,7,20,-42.6,4.4106,nan,4.4,147.8,64.48380,-49.54973,505.38
2022-07-02 21:00:00,2022,2,7,21,-43.0,4.3931,nan,4.3,150.3,64.48380,-49.54975,505.38
2022-07-02 22:00:00,2022,2,7,22,-42.9,3.8628,nan,3.8,147.8,64.48380,-49.54974,505.38
2022-07-02 23:00:00,2022,2,7,23,-43.1,3.9797,nan,2.9,140.8,64.48379,-49.54973,505.38
