date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-115.0,2.6,89.3,4.2,126.7,64.50000,-49.26667,1116.41
2022-07-01 01:00:00,2022,1,7,1,-115.0,2.5167,91.7,4.6,122.7,64.50000,-49.26667,1116.41
2022-07-01 02:00:00,2022,1,7,2,-115.7,2.5167,93.4,3.9,123.5,64.50000,-49.26667,1116.41
2022-07-01 03:00:00,2022,1,7,3,-116.0,2.3833,95.7,3.5,133.7,64.50000,-49.26667,1116.41
2022-07-01 04:00:00,2022,1,7,4,-116.0,2.3167,98.2,3.5,138.8,64.50000,-49.26667,1116.41
2022-07-01 05:00:00,2022,1,7,5,-116.0,2.0333,97.9,4.2,143.0,64.50000,-49.26667,1116.41
2022-07-01 06:00:00,2022,1,7,6,-116.0,2.1167,97.2,5.9,158.3,64.50000,-49.26667,1116.41
2022-07-01 07:00:00,2022,1,7,7,-116.0,1.9167,98.0,4.3,155.4,64.50000,-49.26667,1116.41
2022-07-01 08:00:00,2022,1,7,8,-116.0,1.95,95.8,3.7,148.5,64.50000,-49.26667,1116.41
2022-07-01 09:00:00,2022,1,7,9,-116.2,1.95,94.2,3.7,146.6,64.50000,-49.26667,1116.41
2022-07-01 10:00:00,2022,1,7,10,-117.0,2.4333,89.1,5.7,153.0,64.50000,-49.26667,1116.41
2022-07-01 11:00:00,2022,1,7,11,-116.3,2.4167,87.5,5.2,155.7,64.50000,-49.26667,1116.41
2022-07-01 12:00:00,2022,1,7,12,-116.0,2.6667,85.5,4.6,152.1,64.50000,-49.26667,1116.41
2022-07-01 13:00:00,2022,1,7,13,-116.0,2.1833,87.8,5.6,153.0,64.50000,-49.26667,1116.41
2022-07-01 14:00:00,2022,1,7,14,-116.0,2.3333,87.5,4.7,149.1,64.50000,-49.26667,1116.41
2022-07-01 15:00:00,2022,1,7,15,-116.0,2.1833,88.3,5.0,159.7,64.50000,-49.26667,1116.41
