date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-13.0,4.6671,80.6,4.9,71.1,61.03048,-46.84964,245.66
2022-07-01 01:00:00,2022,1,7,1,-13.5,4.6383,80.0,4.6,62.8,61.03044,-46.84964,245.66
2022-07-01 02:00:00,2022,1,7,2,-14.0,4.7015,80.5,4.8,59.6,61.03047,-46.84969,245.66
2022-07-01 03:00:00,2022,1,7,3,-14.4,4.8498,79.1,4.4,54.4,61.03048,-46.84965,245.66
2022-07-01 04:00:00,2022,1,7,4,-14.8,4.4234,82.1,3.8,54.1,61.03048,-46.84976,245.66
2022-07-01 05:00:00,2022,1,7,5,-14.5,3.919,91.9,1.8,37.8,61.03050,-46.84966,245.66
2022-07-01 06:00:00,2022,1,7,6,-14.0,4.0215,97.1,0.8,335.5,61.03050,-46.84972,245.66
2022-07-01 07:00:00,2022,1,7,7,-14.5,4.3145,86.5,3.1,58.6,61.03048,-46.84968,245.66
2022-07-01 08:00:00,2022,1,7,8,-15.0,4.1766,86.6,4.3,63.8,61.03043,-46.84967,245.66
2022-07-01 09:00:00,2022,1,7,9,-15.0,4.8324,85.2,2.2,69.3,61.03045,-46.84965,245.66
2022-07-01 10:00:00,2022,1,7,10,-15.1,4.5943,85.8,2.3,41.5,61.03050,-46.84969,245.66
2022-07-01 11:00:00,2022,1,7,11,-14.9,5.0545,86.0,2.4,19.3,61.03045,-46.84969,245.66
2022-07-01 12:00:00,2022,1,7,12,-14.7,5.07,84.4,1.3,24.7,61.03050,-46.84979,245.66
2022-07-01 13:00:00,2022,1,7,13,-14.7,5.4594,83.4,1.9,7.4,61.03049,-46.84973,245.66
2022-07-01 14:00:00,2022,1,7,14,-14.9,4.5185,85.0,3.7,8.0,61.03047,-46.84969,245.66
2022-07-01 15:00:00,2022,1,7,15,-15.1,4.7285,85.0,4.2,3.9,61.03047,-46.84972,245.66
2022-07-01 16:00:00,2022,1,7,16,-15.4,5.0818,80.9,3.0,6.2,61.03047,-46.84972,245.66
2022-07-01 17:00:00,2022,1,7,17,-15.4,5.1285,80.9,3.3,358.0,61.03044,-46.84973,245.66
2022-07-01 18:00:00,2022,1,7,18,-15.0,5.4864,77.5,3.1,320.5,61.03049,-46.84959,245.66
2022-07-01 19:00:00,2022,1,7,19,-14.8,5.5881,77.9,2.8,321.1,61.03049,-46.84966,245.66
2022-07-01 20:00:00,2022,1,7,20,-14.7,4.3433,79.7,3.7,330.1,61.03045,-46.84975,245.66
2022-07-01 21:00:00,2022,1,7,21,-14.8,4.2739,79.9,3.5,320.4,61.03045,-46.84972,245.66
2022-07-01 22:00:00,2022,1,7,22,-14.8,3.6988,80.4,3.0,324.8,61.03047,-46.84968,245.66
2022-07-01 23:00:00,2022,1,7,23,-14.1,5.3473,73.6,2.8,334.2,61.03046,-46.84973,245.66
2022-07-02 00:00:00,2022,2,7,0,-13.6,5.1929,72.9,1.9,252.3,61.03049,-46.84958,245.61
2022-07-02 01:00:00,2022,2,7,1,-13.6,4.2933,75.7,3.8,31.7,61.03042,-46.84966,245.61
