date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-86.4,1.6574,0.0,4.3,61.6,61.17284,-46.82196,884.75
2022-07-01 01:00:00,2022,1,7,1,-86.7,1.7422,0.0,4.7,61.5,61.17281,-46.82197,884.75
2022-07-01 02:00:00,2022,1,7,2,-87.1,1.8445,0.0,4.8,61.2,61.17284,-46.82195,884.75
2022-07-01 03:00:00,2022,1,7,3,-87.5,1.8337,0.0,4.0,54.2,61.17284,-46.82194,884.75
2022-07-01 04:00:00,2022,1,7,4,-87.8,1.5094,0.0,3.0,52.4,61.17284,-46.82197,884.75
2022-07-01 05:00:00,2022,1,7,5,-88.1,1.3224,0.0,2.3,67.9,61.17283,-46.82196,884.75
2022-07-01 06:00:00,2022,1,7,6,-88.0,1.5799,0.0,2.2,80.3,61.17284,-46.82200,884.75
2022-07-01 07:00:00,2022,1,7,7,-87.8,1.6011,0.0,1.9,81.5,61.17284,-46.82197,884.75
2022-07-01 08:00:00,2022,1,7,8,-88.4,1.4985,0.0,2.5,70.7,61.17284,-46.82196,884.75
2022-07-01 09:00:00,2022,1,7,9,-88.5,1.6215,0.0,2.3,78.2,61.17284,-46.82196,884.75
2022-07-01 10:00:00,2022,1,7,10,-88.8,2.1183,0.0,2.5,69.3,61.17282,-46.82197,884.75
2022-07-01 11:00:00,2022,1,7,11,-88.7,2.1733,0.0,2.1,53.8,61.17284,-46.82194,884.75
2022-07-01 12:00:00,2022,1,7,12,-88.4,2.6538,0.0,1.4,56.5,61.17285,-46.82194,884.75
2022-07-01 13:00:00,2022,1,7,13,-88.5,1.8116,0.0,1.6,18.9,61.17287,-46.82195,884.75
2022-07-01 14:00:00,2022,1,7,14,-88.6,1.91,0.0,1.6,22.6,61.17283,-46.82194,884.75
2022-07-01 15:00:00,2022,1,7,15,-88.6,1.9379,0.0,1.8,30.0,61.17283,-46.82194,884.75
2022-07-01 16:00:00,2022,1,7,16,-88.8,2.2544,0.0,1.7,42.9,61.17285,-46.82195,884.75
2022-07-01 17:00:00,2022,1,7,17,-88.8,2.2742,0.0,1.1,39.6,61.17285,-46.82194,884.75
2022-07-01 18:00:00,2022,1,7,18,-88.6,2.5056,0.0,1.0,353.1,61.17285,-46.82195,884.75
2022-07-01 19:00:00,2022,1,7,19,-88.5,1.842,0.0,1.7,36.0,61.17284,-46.82193,884.75
2022-07-01 20:00:00,2022,1,7,20,-88.4,1.7106,0.0,2.2,18.6,61.17283,-46.82194,884.75
2022-07-01 21:00:00,2022,1,7,21,-88.5,2.0184,0.0,2.9,6.9,61.17284,-46.82196,884.75
2022-07-01 22:00:00,2022,1,7,22,-88.2,1.6072,0.0,3.0,8.6,61.17284,-46.82197,884.75
2022-07-01 23:00:00,2022,1,7,23,-87.9,1.4461,0.0,3.7,13.8,61.17285,-46.82196,884.75
2022-07-02 00:00:00,2022,2,7,0,-87.4,0.6138,0.0,3.5,21.5,61.17284,-46.82195,884.73
2022-07-02 01:00:00,2022,2,7,1,-87.2,-0.1164,0.0,3.7,31.6,61.17282,-46.82198,884.73
2022-07-02 02:00:00,2022,2,7,2,-87.0,-0.314,0.0,4.4,31.4,61.17284,-46.82197,884.73
2022-07-02 03:00:00,2022,2,7,3,-86.8,-0.3599,0.0,5.7,36.6,61.17285,-46.82194,884.73
