date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-101.0,3.301,75.9,5.1,248.4,nan,nan,nan
2022-07-01 01:00:00,2022,1,7,1,-101.0,3.541,71.7,5.1,265.3,nan,nan,nan
2022-07-01 02:00:00,2022,1,7,2,-101.0,2.908,75.1,5.8,241.9,nan,nan,nan
2022-07-01 03:00:00,2022,1,7,3,-101.0,2.678,77.5,5.6,252.4,nan,nan,nan
2022-07-01 04:00:00,2022,1,7,4,-101.0,2.671,76.6,5.7,240.2,nan,nan,nan
2022-07-01 05:00:00,2022,1,7,5,-101.0,2.823,76.4,5.8,242.8,nan,nan,nan
2022-07-01 06:00:00,2022,1,7,6,-100.0,2.997,76.2,5.6,249.1,nan,nan,nan
2022-07-01 07:00:00,2022,1,7,7,-100.0,2.661,79.6,4.2,259.6,nan,nan,nan
2022-07-01 08:00:00,2022,1,7,8,-100.0,2.462,82.7,2.5,303.6,nan,nan,nan
2022-07-01 09:00:00,2022,1,7,9,-99.0,3.33,78.8,2.4,350.0,nan,nan,nan
2022-07-01 10:00:00,2022,1,7,10,-99.0,2.96,78.2,1.4,305.5,nan,nan,nan
2022-07-01 11:00:00,2022,1,7,11,-98.0,2.5,90.6,2.7,242.3,nan,nan,nan
2022-07-01 12:00:00,2022,1,7,12,-98.0,2.511,93.3,4.1,213.5,nan,nan,nan
2022-07-01 13:00:00,2022,1,7,13,-99.0,2.688,89.9,3.8,222.6,nan,nan,nan
2022-07-01 14:00:00,2022,1,7,14,-98.0,2.812,87.5,3.0,238.7,nan,nan,nan
2022-07-01 15:00:00,2022,1,7,15,-99.0,2.843,87.5,1.9,271.3,nan,nan,nan
2022-07-01 16:00:00,2022,1,7,16,-99.0,2.475,91.8,2.3,263.9,nan,nan,nan
2022-07-01 17:00:00,2022,1,7,17,-99.0,2.543,92.3,3.2,247.9,nan,nan,nan
2022-07-01 18:00:00,2022,1,7,18,-99.0,2.834,93.1,3.3,241.2,nan,nan,nan
2022-07-01 19:00:00,2022,1,7,19,-99.0,2.858,92.0,4.2,246.4,nan,nan,nan
2022-07-01 20:00:00,2022,1,7,20,-99.0,2.508,95.1,3.2,237.6,nan,nan,nan
2022-07-01 21:00:00,2022,1,7,21,-100.0,2.735,94.2,4.2,249.2,nan,nan,nan
2022-07-01 22:00:00,2022,1,7,22,-100.0,2.335,94.3,3.3,287.8,nan,nan,nan
2022-07-01 23:00:00,2022,1,7,23,-100.0,2.739,91.6,3.3,333.4,nan,nan,nan
2022-07-02 00:00:00,2022,2,7,0,-100.0,2.714,87.4,3.4,330.5,nan,nan,nan
2022-07-02 01:00:00,2022,2,7,1,-100.0,2.346,89.6,3.4,351.4,nan,nan,nan
2022-07-02 02:00:00,2022,2,7,2,-101.0,2.155,91.2,3.3,313.8,nan,nan,nan
2022-07-02 03:00:00,2022,2,7,3,-101.0,2.155,89.8,3.3,295.6,nan,nan,nan
2022-07-02 04:00:00,2022,2,7,4,-101.0,2.605,84.3,3.9,248.9,nan,nan,nan
2022-07-02 05:00:00,2022,2,7,5,-101.0,3.142,75.8,4.2,235.2,nan,nan,nan
2022-07-02 06:00:00,2022,2,7,6,-101.0,2.692,74.8,4.1,245.9,nan,nan,nan
2022-07-02 07:00:00,2022,2,7,7,-101.0,2.579,73.5,4.4,262.0,nan,nan,nan
2022-07-02 08:00:00,2022,2,7,8,-101.0,2.469,66.8,6.0,256.2,nan,nan,nan
2022-07-02 09:00:00,2022,2,7,9,-101.0,2.451,65.0,5.5,254.7,nan,nan,nan
