date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-251.5,-8.38,100.0,1.9,267.1,66.00015,-44.50267,2470.34
2022-07-01 01:00:00,2022,1,7,1,-251.7,-9.85,98.6,1.4,235.2,66.00015,-44.50267,2470.34
2022-07-01 02:00:00,2022,1,7,2,-252.1,-11.9,96.8,1.0,169.7,66.00015,-44.50264,2470.34
2022-07-01 03:00:00,2022,1,7,3,-252.4,-14.08,94.0,1.3,162.2,66.00014,-44.50269,2470.34
2022-07-01 04:00:00,2022,1,7,4,-252.7,-14.52,93.8,1.0,173.4,66.00016,-44.50270,2470.34
2022-07-01 05:00:00,2022,1,7,5,-253.0,-15.37,92.8,0.9,177.9,66.00017,-44.50270,2470.34
2022-07-01 06:00:00,2022,1,7,6,-253.1,-14.98,93.1,1.1,187.5,66.00015,-44.50272,2470.34
2022-07-01 07:00:00,2022,1,7,7,-253.3,-12.88,94.9,1.3,181.9,66.00017,-44.50270,2470.34
2022-07-01 08:00:00,2022,1,7,8,-253.5,-9.6,98.2,1.2,187.3,66.00015,-44.50270,2470.34
2022-07-01 09:00:00,2022,1,7,9,-253.9,-7.583,99.5,0.9,171.7,66.00014,-44.50275,2470.34
2022-07-01 10:00:00,2022,1,7,10,-254.0,-6.25,100.0,0.9,159.5,66.00015,-44.50268,2470.34
2022-07-01 11:00:00,2022,1,7,11,-254.1,-4.367,100.0,1.0,150.0,66.00016,-44.50276,2470.34
2022-07-01 12:00:00,2022,1,7,12,-254.5,-1.7,95.2,0.6,143.7,66.00016,-44.50275,2470.34
2022-07-01 13:00:00,2022,1,7,13,-254.5,-2.067,95.1,2.1,226.4,66.00016,-44.50272,2470.34
2022-07-01 14:00:00,2022,1,7,14,-254.7,-0.95,94.8,1.1,261.4,66.00017,-44.50268,2470.34
2022-07-01 15:00:00,2022,1,7,15,-254.8,-1.5,97.2,1.7,316.1,66.00015,-44.50275,2470.34
2022-07-01 16:00:00,2022,1,7,16,-254.8,-1.6,99.9,2.4,332.0,66.00016,-44.50270,2470.34
2022-07-01 17:00:00,2022,1,7,17,-254.5,-2.0,100.0,4.4,322.2,66.00018,-44.50272,2470.34
2022-07-01 18:00:00,2022,1,7,18,-254.4,-3.25,100.0,6.7,308.3,66.00014,-44.50270,2470.34
2022-07-01 19:00:00,2022,1,7,19,-254.2,-3.933,100.0,6.7,312.6,66.00014,-44.50265,2470.34
2022-07-01 20:00:00,2022,1,7,20,-254.1,-4.483,100.0,6.4,313.4,66.00018,-44.50270,2470.34
2022-07-01 21:00:00,2022,1,7,21,-253.8,-4.917,100.0,5.5,321.2,66.00018,-44.50277,2470.34
2022-07-01 22:00:00,2022,1,7,22,-253.7,-5.433,100.0,5.0,338.6,66.00021,-44.50273,2470.34
2022-07-01 23:00:00,2022,1,7,23,-253.6,-5.617,100.0,4.0,330.3,66.00017,-44.50265,2470.34
2022-07-02 00:00:00,2022,2,7,0,-253.4,-5.8,100.0,3.8,332.8,66.00012,-44.50273,2470.33
2022-07-02 01:00:00,2022,2,7,1,-253.2,-6.017,100.0,3.7,322.9,66.00016,-44.50272,2470.33
2022-07-02 02:00:00,2022,2,7,2,-253.0,-6.25,100.0,3.9,317.2,66.00017,-44.50269,2470.33
2022-07-02 03:00:00,2022,2,7,3,-253.0,-6.5,100.0,4.4,319.1,66.00013,-44.50270,2470.33
2022-07-02 04:00:00,2022,2,7,4,-252.8,-6.767,100.0,4.6,309.9,66.00016,-44.50263,2470.33
2022-07-02 05:00:00,2022,2,7,5,-252.4,-6.817,100.0,5.5,313.5,66.00015,-44.50271,2470.33
2022-07-02 06:00:00,2022,2,7,6,-252.2,-6.817,100.0,5.6,322.7,66.00016,-44.50273,2470.33
2022-07-02 07:00:00,2022,2,7,7,-252.0,-7.283,100.0,5.2,323.8,66.00018,-44.50272,2470.33
2022-07-02 08:00:00,2022,2,7,8,-251.7,-6.9,100.0,5.3,330.8,66.00013,-44.50268,2470.33
2022-07-02 09:00:00,2022,2,7,9,-251.4,-6.583,100.0,5.5,327.7,66.00015,-44.50270,2470.33
2022-07-02 10:00:00,2022,2,7,10,-251.1,-6.133,99.8,6.3,318.4,66.00018,-44.50259,2470.33
2022-07-02 11:00:00,2022,2,7,11,-250.9,-5.9,99.3,6.9,317.2,66.00016,-44.50274,2470.33
2022-07-02 12:00:00,2022,2,7,12,-250.5,-5.833,98.4,6.5,308.3,66.00015,-44.50274,2470.33
2022-07-02 13:00:00,2022,2,7,13,-250.2,-5.783,98.6,6.3,305.3,66.00018,-44.50272,2470.33
2022-07-02 14:00:00,2022,2,7,14,-250.0,-5.55,97.9,6.6,303.0,66.00016,-44.50264,2470.33
2022-07-02 15:00:00,2022,2,7,15,-249.8,-5.383,97.2,6.9,297.7,66.00015,-44.50269,2470.33
2022-07-02 16:00:00,2022,2,7,16,-249.6,-5.233,95.9,6.8,303.5,66.00017,-44.50272,2470.33
2022-07-02 17:00:00,2022,2,7,17,-249.4,-5.183,96.2,6.9,306.8,66.00015,-44.50273,2470.33
2022-07-02 18:00:00,2022,2,7,18,-249.4,-5.2,97.8,6.4,311.6,66.00017,-44.50266,2470.33
2022-07-02 19:00:00,2022,2,7,19,-249.2,-5.15,99.6,6.8,302.5,66.00016,-44.50276,2470.33
2022-07-02 20:00:00,2022,2,7,20,-249.2,-5.6,100.0,7.0,309.2,66.00017,-44.50272,2470.33
2022-07-02 21:00:00,2022,2,7,21,-249.2,-5.833,100.0,6.4,314.6,66.00019,-44.50272,2470.33
2022-07-02 22:00:00,2022,2,7,22,-249.0,-6.283,100.0,5.9,314.3,66.00016,-44.50272,2470.33
2022-07-02 23:00:00,2022,2,7,23,-248.8,-6.3,100.0,5.2,314.6,66.00017,-44.50272,2470.33
2022-07-03 00:00:00,2022,3,7,0,-248.7,-6.683,100.0,4.6,314.2,66.00014,-44.50270,2470.31
2022-07-03 01:00:00,2022,3,7,1,-248.8,-6.983,100.0,4.2,317.4,66.00015,-44.50269,2470.31
2022-07-03 02:00:00,2022,3,7,2,-249.0,-7.3,100.0,3.6,331.3,66.00016,-44.50270,2470.31
2022-07-03 03:00:00,2022,3,7,3,-249.3,-7.75,100.0,3.9,347.4,66.00015,-44.50268,2470.31
2022-07-03 04:00:00,2022,3,7,4,-249.6,-8.28,100.0,3.6,350.9,66.00014,-44.50255,2470.31
2022-07-03 05:00:00,2022,3,7,5,-249.8,-8.4,100.0,3.1,331.2,66.00016,-44.50271,2470.31
2022-07-03 06:00:00,2022,3,7,6,-249.8,-8.43,100.0,3.3,342.0,66.00014,-44.50272,2470.31
