date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-287.7,-6.317,95.4,2.5,289.4,63.14900,-44.81735,2891.11
2022-07-01 01:00:00,2022,1,7,1,-287.9,-5.517,96.0,2.6,275.1,63.14898,-44.81735,2891.11
2022-07-01 02:00:00,2022,1,7,2,-288.2,-4.45,97.0,2.8,273.0,63.14899,-44.81734,2891.11
2022-07-01 03:00:00,2022,1,7,3,-288.4,-4.533,97.0,2.9,256.3,63.14901,-44.81734,2891.11
2022-07-01 04:00:00,2022,1,7,4,-288.8,-4.917,96.7,3.5,250.2,63.14899,-44.81749,2891.11
2022-07-01 05:00:00,2022,1,7,5,-289.2,-5.267,96.4,3.0,251.6,63.14902,-44.81736,2891.11
2022-07-01 06:00:00,2022,1,7,6,-289.5,-4.167,97.0,3.9,246.0,63.14901,-44.81739,2891.11
2022-07-01 07:00:00,2022,1,7,7,-289.6,-3.883,97.2,4.1,228.9,63.14898,-44.81738,2891.11
2022-07-01 08:00:00,2022,1,7,8,-289.9,-3.7,97.2,2.8,222.2,63.14895,-44.81737,2891.11
2022-07-01 09:00:00,2022,1,7,9,-290.5,-3.65,96.6,4.1,234.5,63.14898,-44.81749,2891.11
2022-07-01 10:00:00,2022,1,7,10,-290.6,-4.633,95.3,4.0,239.6,63.14899,-44.81735,2891.11
2022-07-01 11:00:00,2022,1,7,11,-290.7,-3.983,94.8,1.7,183.7,63.14897,-44.81741,2891.11
2022-07-01 12:00:00,2022,1,7,12,-291.0,-3.683,94.2,1.7,179.0,63.14902,-44.81735,2891.11
2022-07-01 13:00:00,2022,1,7,13,-291.2,-3.233,93.1,3.4,247.6,63.14900,-44.81741,2891.11
2022-07-01 14:00:00,2022,1,7,14,-291.4,-3.9,92.0,5.3,240.8,63.14911,-44.81733,2891.11
2022-07-01 15:00:00,2022,1,7,15,-291.6,-4.95,90.9,6.1,243.3,63.14898,-44.81736,2891.11
2022-07-01 16:00:00,2022,1,7,16,-291.6,-5.2,90.0,6.0,273.1,63.14898,-44.81729,2891.11
2022-07-01 17:00:00,2022,1,7,17,-291.6,-5.4,89.5,5.9,271.8,63.14902,-44.81739,2891.11
2022-07-01 18:00:00,2022,1,7,18,-291.5,-5.95,89.5,5.6,282.5,63.14906,-44.81747,2891.11
2022-07-01 19:00:00,2022,1,7,19,-291.4,-6.417,89.2,5.3,296.4,63.14901,-44.81734,2891.11
2022-07-01 20:00:00,2022,1,7,20,-291.4,-7.1,89.3,4.7,299.4,63.14899,-44.81737,2891.11
2022-07-01 21:00:00,2022,1,7,21,-291.2,-8.13,90.1,4.6,304.3,63.14901,-44.81735,2891.11
2022-07-01 22:00:00,2022,1,7,22,-291.0,-8.63,92.3,4.7,307.8,63.14901,-44.81737,2891.11
2022-07-01 23:00:00,2022,1,7,23,-290.8,-8.57,92.4,4.8,307.3,63.14902,-44.81732,2891.11
2022-07-02 00:00:00,2022,2,7,0,-290.8,-8.87,92.0,4.3,322.8,63.14904,-44.81731,2891.11
2022-07-02 01:00:00,2022,2,7,1,-290.8,-9.07,91.8,4.3,311.4,63.14899,-44.81736,2891.11
2022-07-02 02:00:00,2022,2,7,2,-290.6,-9.1,91.8,5.5,299.8,63.14899,-44.81737,2891.11
2022-07-02 03:00:00,2022,2,7,3,-290.5,-9.1,89.8,5.5,316.2,63.14901,-44.81739,2891.11
2022-07-02 04:00:00,2022,2,7,4,-290.4,-9.28,89.3,5.0,320.9,63.14897,-44.81736,2891.11
2022-07-02 05:00:00,2022,2,7,5,-290.1,-9.5,93.3,4.8,321.3,63.14896,-44.81734,2891.11
2022-07-02 06:00:00,2022,2,7,6,-289.9,-9.47,92.5,6.2,319.4,63.14901,-44.81741,2891.11
2022-07-02 07:00:00,2022,2,7,7,-289.6,-9.82,90.9,6.0,321.3,63.14888,-44.81746,2891.11
2022-07-02 08:00:00,2022,2,7,8,-289.5,-12.2,87.7,4.1,324.8,63.14899,-44.81736,2891.11
2022-07-02 09:00:00,2022,2,7,9,-289.0,-10.72,89.2,5.3,330.0,63.14908,-44.81757,2891.11
2022-07-02 10:00:00,2022,2,7,10,-288.8,-9.13,89.1,6.4,325.3,63.14901,-44.81739,2891.11
2022-07-02 11:00:00,2022,2,7,11,-288.5,-8.65,88.8,6.3,329.5,63.14900,-44.81738,2891.11
2022-07-02 12:00:00,2022,2,7,12,-288.1,-8.22,88.7,5.8,327.1,63.14903,-44.81736,2891.11
2022-07-02 13:00:00,2022,2,7,13,-287.9,-7.783,88.5,6.2,330.3,63.14901,-44.81737,2891.11
2022-07-02 14:00:00,2022,2,7,14,-287.5,-7.167,88.3,6.1,321.1,63.14903,-44.81738,2891.11
2022-07-02 15:00:00,2022,2,7,15,-287.2,-6.933,88.3,6.3,310.0,63.14901,-44.81737,2891.11
2022-07-02 16:00:00,2022,2,7,16,-287.3,-7.167,88.2,6.5,324.2,63.14896,-44.81746,2891.11
2022-07-02 17:00:00,2022,2,7,17,-287.0,-6.967,86.7,6.2,323.3,63.14901,-44.81742,2891.11
2022-07-02 18:00:00,2022,2,7,18,-286.7,-7.133,87.9,5.8,315.2,63.14910,-44.81759,2891.11
2022-07-02 19:00:00,2022,2,7,19,-286.6,-7.533,88.7,5.8,325.9,63.14888,-44.81760,2891.11
2022-07-02 20:00:00,2022,2,7,20,-286.5,-8.3,89.3,4.5,314.1,63.14899,-44.81737,2891.11
2022-07-02 21:00:00,2022,2,7,21,-286.4,-9.85,89.0,3.8,309.4,63.14900,-44.81748,2891.11
2022-07-02 22:00:00,2022,2,7,22,-286.4,-12.1,89.2,2.9,314.8,63.14898,-44.81731,2891.11
2022-07-02 23:00:00,2022,2,7,23,-286.2,-12.77,89.0,2.9,303.1,63.14900,-44.81735,2891.11
2022-07-03 00:00:00,2022,3,7,0,-286.2,-14.68,87.1,2.5,295.6,63.14902,-44.81737,2891.11
2022-07-03 01:00:00,2022,3,7,1,-286.4,-15.7,87.1,1.5,295.1,63.14900,-44.81733,2891.11
2022-07-03 02:00:00,2022,3,7,2,-286.7,-12.25,90.6,0.7,306.0,63.14899,-44.81734,2891.11
2022-07-03 03:00:00,2022,3,7,3,-286.9,-11.6,90.6,0.5,290.0,63.14902,-44.81738,2891.11
2022-07-03 04:00:00,2022,3,7,4,-287.0,-12.17,89.2,0.5,267.9,63.14900,-44.81727,2891.11
2022-07-03 05:00:00,2022,3,7,5,-287.2,-11.4,89.4,0.6,278.3,63.14897,-44.81740,2891.11
2022-07-03 06:00:00,2022,3,7,6,-287.1,-10.02,89.5,1.8,276.0,63.14897,-44.81736,2891.11
2022-07-03 07:00:00,2022,3,7,7,-287.2,-10.03,87.3,2.9,266.0,63.14898,-44.81738,2891.11
2022-07-03 08:00:00,2022,3,7,8,-287.3,-9.67,86.9,3.0,269.0,63.14897,-44.81736,2891.11
2022-07-03 09:00:00,2022,3,7,9,-287.4,-7.783,83.2,2.2,261.4,63.14907,-44.81764,2891.11
2022-07-03 10:00:00,2022,3,7,10,-287.6,-7.133,80.3,2.1,260.9,63.14895,-44.81741,2891.11
2022-07-03 11:00:00,2022,3,7,11,-287.7,-4.5,82.2,2.1,282.2,63.14897,-44.81737,2891.11
2022-07-03 12:00:00,2022,3,7,12,-287.5,-3.1,88.8,2.9,283.8,63.14901,-44.81738,2891.11
2022-07-03 13:00:00,2022,3,7,13,-287.4,-2.483,89.4,4.3,283.0,63.14898,-44.81735,2891.11
2022-07-03 14:00:00,2022,3,7,14,-287.6,-1.983,83.6,4.0,285.4,63.14905,-44.81741,2891.11
2022-07-03 15:00:00,2022,3,7,15,-287.5,-1.383,80.7,4.5,279.2,63.14900,-44.81737,2891.11
2022-07-03 16:00:00,2022,3,7,16,-287.5,-1.0,78.8,3.6,276.5,63.14894,-44.81746,2891.11
2022-07-03 17:00:00,2022,3,7,17,-287.5,-0.75,73.9,3.1,270.6,63.14901,-44.81737,2891.11
2022-07-03 18:00:00,2022,3,7,18,-287.7,-0.733,75.2,2.8,278.6,63.14904,-44.81742,2891.11
2022-07-03 19:00:00,2022,3,7,19,-287.7,-1.433,82.3,2.5,267.7,63.14912,-44.81731,2891.11
2022-07-03 20:00:00,2022,3,7,20,-287.7,-2.35,87.4,1.4,180.4,63.14897,-44.81736,2891.11
2022-07-03 21:00:00,2022,3,7,21,-287.7,-4.267,92.6,1.6,197.6,63.14899,-44.81736,2891.11
2022-07-03 22:00:00,2022,3,7,22,-287.6,-5.183,95.6,1.4,231.4,63.14899,-44.81740,2891.11
2022-07-03 23:00:00,2022,3,7,23,-287.8,-6.333,94.6,1.8,152.2,63.14898,-44.81740,2891.11
2022-07-04 00:00:00,2022,4,7,0,-288.1,-5.417,95.6,2.6,154.8,63.14899,-44.81733,2891.11
2022-07-04 01:00:00,2022,4,7,1,-288.5,-7.517,93.3,2.4,162.0,63.14899,-44.81728,2891.11
2022-07-04 02:00:00,2022,4,7,2,-288.8,-9.82,91.5,2.1,162.3,63.14900,-44.81734,2891.11
2022-07-04 03:00:00,2022,4,7,3,-289.2,-10.37,91.4,2.0,168.0,63.14896,-44.81738,2891.11
2022-07-04 04:00:00,2022,4,7,4,-289.5,-6.05,95.4,2.9,165.3,63.14901,-44.81730,2891.11
2022-07-04 05:00:00,2022,4,7,5,-290.0,-4.983,96.1,3.6,155.4,63.14902,-44.81737,2891.11
2022-07-04 06:00:00,2022,4,7,6,-290.2,-3.983,96.8,5.7,157.9,63.14897,-44.81742,2891.11
2022-07-04 07:00:00,2022,4,7,7,-290.6,-3.917,96.6,5.6,157.0,63.14900,-44.81737,2891.11
2022-07-04 08:00:00,2022,4,7,8,-291.0,-3.333,97.1,6.2,148.7,63.14897,-44.81739,2891.11
2022-07-04 09:00:00,2022,4,7,9,-291.4,-2.95,97.2,5.7,136.6,63.14905,-44.81758,2891.11
2022-07-04 10:00:00,2022,4,7,10,-291.7,-3.533,96.4,6.0,132.7,63.14899,-44.81739,2891.11
2022-07-04 11:00:00,2022,4,7,11,-291.9,-5.1,94.9,5.5,128.7,63.14899,-44.81731,2891.11
2022-07-04 12:00:00,2022,4,7,12,-292.2,-4.117,95.2,6.1,131.0,63.14903,-44.81732,2891.11
2022-07-04 13:00:00,2022,4,7,13,-292.3,-2.717,96.2,7.5,138.7,63.14897,-44.81735,2891.11
2022-07-04 14:00:00,2022,4,7,14,-292.5,-1.867,96.6,7.9,142.2,63.14908,-44.81730,2891.11
2022-07-04 15:00:00,2022,4,7,15,-292.7,-1.867,96.6,8.3,151.8,63.14899,-44.81734,2891.11
2022-07-04 16:00:00,2022,4,7,16,-292.6,-1.767,96.4,7.7,146.1,63.14896,-44.81742,2891.11
2022-07-04 17:00:00,2022,4,7,17,-292.7,-1.55,96.1,8.0,154.2,63.14899,-44.81737,2891.11
2022-07-04 18:00:00,2022,4,7,18,-292.6,-1.433,95.8,7.5,163.2,63.14906,-44.81748,2891.11
2022-07-04 19:00:00,2022,4,7,19,-292.3,-1.683,96.3,7.1,177.9,63.14899,-44.81739,2891.11
2022-07-04 20:00:00,2022,4,7,20,-292.1,-1.933,96.2,5.8,170.6,63.14898,-44.81739,2891.11
2022-07-04 21:00:00,2022,4,7,21,-292.2,-2.05,96.1,5.3,176.6,63.14899,-44.81743,2891.11
2022-07-04 22:00:00,2022,4,7,22,-292.1,-2.583,96.9,5.4,177.0,63.14894,-44.81744,2891.11
2022-07-04 23:00:00,2022,4,7,23,-291.9,-3.95,95.9,5.7,171.1,63.14902,-44.81730,2891.11
2022-07-05 00:00:00,2022,5,7,0,-291.8,-6.283,95.7,3.7,174.9,63.14891,-44.81742,2891.11
2022-07-05 01:00:00,2022,5,7,1,-291.8,-5.433,96.4,4.6,190.0,63.14896,-44.81735,2891.11
2022-07-05 02:00:00,2022,5,7,2,-292.0,-5.533,96.1,4.4,204.1,63.14900,-44.81740,2891.11
2022-07-05 03:00:00,2022,5,7,3,-292.2,-8.53,93.4,3.4,211.5,63.14898,-44.81733,2891.11
2022-07-05 04:00:00,2022,5,7,4,-292.2,-8.12,94.7,2.8,211.6,63.14908,-44.81731,2891.11
2022-07-05 05:00:00,2022,5,7,5,-292.2,-7.333,94.5,3.3,220.9,63.14904,-44.81735,2891.11
2022-07-05 06:00:00,2022,5,7,6,-292.1,-7.4,94.4,2.8,226.6,63.14887,-44.81754,2891.11
2022-07-05 07:00:00,2022,5,7,7,-291.9,-6.517,94.5,1.8,247.7,63.14902,-44.81738,2891.11
