date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-114.0,0.317,95.7,3.6,85.2,69.55289,-49.37438,1120.38
2022-07-01 01:00:00,2022,1,7,1,-115.0,0.3,94.4,3.6,89.2,69.55291,-49.37420,1120.38
2022-07-01 02:00:00,2022,1,7,2,-115.0,0.0,93.9,3.4,84.0,69.55289,-49.37425,1120.38
2022-07-01 03:00:00,2022,1,7,3,-115.0,-0.567,94.1,3.3,73.8,69.55289,-49.37423,1120.38
2022-07-01 04:00:00,2022,1,7,4,-116.0,-1.183,94.3,3.6,68.2,69.55290,-49.37424,1120.38
2022-07-01 05:00:00,2022,1,7,5,-116.0,-1.483,93.9,4.2,68.1,69.55288,-49.37425,1120.38
2022-07-01 06:00:00,2022,1,7,6,-116.0,-1.467,92.3,4.0,67.2,69.55292,-49.37426,1120.38
2022-07-01 07:00:00,2022,1,7,7,-117.0,-1.1,89.1,4.9,68.4,69.55289,-49.37425,1120.38
2022-07-01 08:00:00,2022,1,7,8,-117.0,-1.05,86.3,6.1,73.4,69.55285,-49.37429,1120.38
2022-07-01 09:00:00,2022,1,7,9,-117.0,-1.083,84.8,7.0,71.9,nan,nan,1120.38
2022-07-01 10:00:00,2022,1,7,10,-118.0,-0.983,83.7,7.7,69.9,69.55288,-49.37431,1120.38
2022-07-01 11:00:00,2022,1,7,11,-118.0,-0.65,82.8,8.0,74.8,69.55292,-49.37428,1120.38
2022-07-01 12:00:00,2022,1,7,12,-118.0,-0.217,82.3,8.7,74.7,69.55290,-49.37423,1120.38
2022-07-01 13:00:00,2022,1,7,13,-119.0,0.1,82.0,9.2,75.4,69.55292,-49.37425,1120.38
2022-07-01 14:00:00,2022,1,7,14,-118.0,0.917,82.0,8.7,81.4,69.55289,-49.37427,1120.38
2022-07-01 15:00:00,2022,1,7,15,-119.0,1.233,83.8,8.1,93.7,69.55289,-49.37431,1120.38
2022-07-01 16:00:00,2022,1,7,16,-119.0,1.517,84.3,8.3,93.5,nan,nan,1120.38
2022-07-01 17:00:00,2022,1,7,17,-119.0,1.667,86.3,7.3,100.8,69.55286,-49.37423,1120.38
2022-07-01 18:00:00,2022,1,7,18,-119.0,1.6,87.9,6.1,103.1,69.55289,-49.37425,1120.38
2022-07-01 19:00:00,2022,1,7,19,-118.0,1.55,89.4,4.1,100.5,69.55291,-49.37425,1120.38
2022-07-01 20:00:00,2022,1,7,20,-118.0,1.533,91.6,3.2,103.1,69.55290,-49.37421,1120.38
2022-07-01 21:00:00,2022,1,7,21,-118.0,1.35,94.3,3.7,115.1,69.55291,-49.37417,1120.38
2022-07-01 22:00:00,2022,1,7,22,-117.0,1.2,95.9,2.8,116.1,69.55289,-49.37416,1120.38
2022-07-01 23:00:00,2022,1,7,23,-117.0,0.667,98.6,2.8,111.6,69.55290,-49.37428,1120.38
2022-07-02 00:00:00,2022,2,7,0,-116.0,0.65,98.5,2.5,103.0,69.55290,-49.37422,1120.37
2022-07-02 01:00:00,2022,2,7,1,-116.0,0.617,97.9,2.3,137.9,69.55290,-49.37425,1120.37
2022-07-02 02:00:00,2022,2,7,2,-116.0,0.383,99.7,1.7,157.4,69.55290,-49.37426,1120.37
2022-07-02 03:00:00,2022,2,7,3,-115.0,0.167,100.0,1.4,145.3,69.55288,-49.37427,1120.37
