date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-19.0,4.015,77.6,3.3,19.2,65.63941,-38.89897,234.62
2022-07-01 01:00:00,2022,1,7,1,-19.0,4.161,75.5,3.0,13.2,nan,nan,234.62
2022-07-01 02:00:00,2022,1,7,2,-19.0,3.196,82.8,3.7,18.9,nan,nan,234.62
2022-07-01 03:00:00,2022,1,7,3,-19.0,2.612,84.7,3.8,16.6,nan,nan,234.62
2022-07-01 04:00:00,2022,1,7,4,-19.0,2.954,83.1,3.6,22.8,nan,nan,234.62
2022-07-01 05:00:00,2022,1,7,5,-18.0,3.504,80.2,3.0,22.1,65.63943,-38.89898,234.62
2022-07-01 06:00:00,2022,1,7,6,-18.0,5.034,76.8,2.1,5.7,65.63943,-38.89898,234.62
2022-07-01 07:00:00,2022,1,7,7,-18.0,5.223,75.0,2.3,19.5,nan,nan,234.62
2022-07-01 08:00:00,2022,1,7,8,-18.0,5.315,75.9,2.6,20.8,nan,nan,234.62
2022-07-01 09:00:00,2022,1,7,9,-18.0,4.527,78.0,3.4,29.6,nan,nan,234.62
2022-07-01 10:00:00,2022,1,7,10,-18.0,5.54,73.9,2.5,46.3,nan,nan,234.62
2022-07-01 11:00:00,2022,1,7,11,-17.0,4.96,76.4,3.1,19.5,65.63942,-38.89897,234.62
2022-07-01 12:00:00,2022,1,7,12,-17.0,5.054,76.3,3.1,29.9,65.63942,-38.89897,234.62
2022-07-01 13:00:00,2022,1,7,13,-17.0,5.043,76.1,2.5,35.7,nan,nan,234.62
2022-07-01 14:00:00,2022,1,7,14,-17.0,4.683,78.0,3.0,351.1,nan,nan,234.62
2022-07-01 15:00:00,2022,1,7,15,-17.0,6.189,72.8,1.9,20.3,nan,nan,234.62
2022-07-01 16:00:00,2022,1,7,16,-17.0,6.596,69.9,1.4,20.3,nan,nan,234.62
2022-07-01 17:00:00,2022,1,7,17,-17.0,5.285,75.4,2.2,40.5,65.63944,-38.89893,234.62
2022-07-01 18:00:00,2022,1,7,18,-16.0,4.48,78.1,2.2,52.9,65.63944,-38.89893,234.62
2022-07-01 19:00:00,2022,1,7,19,-16.0,4.09,78.7,2.6,39.0,nan,nan,234.62
2022-07-01 20:00:00,2022,1,7,20,-16.0,3.679,81.2,2.5,45.8,nan,nan,234.62
2022-07-01 21:00:00,2022,1,7,21,-16.0,3.083,84.4,2.1,38.7,nan,nan,234.62
2022-07-01 22:00:00,2022,1,7,22,-16.0,2.079,88.5,2.5,25.3,nan,nan,234.62
2022-07-01 23:00:00,2022,1,7,23,-16.0,1.914,90.2,1.8,15.5,65.63941,-38.89896,234.62
