date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-47.0,1.793,90.3,4.8,107.4,76.39983,-68.26722,562.54
2022-07-01 01:00:00,2022,1,7,1,-47.0,2.007,88.4,4.2,106.1,nan,nan,562.54
2022-07-01 02:00:00,2022,1,7,2,-47.0,2.048,89.7,3.9,97.5,nan,nan,562.54
2022-07-01 03:00:00,2022,1,7,3,-47.0,2.12,90.7,4.2,110.1,nan,nan,562.54
2022-07-01 04:00:00,2022,1,7,4,-47.0,2.058,90.9,4.3,109.8,nan,nan,562.54
2022-07-01 05:00:00,2022,1,7,5,-47.0,2.561,84.3,2.8,108.9,nan,nan,562.54
2022-07-01 06:00:00,2022,1,7,6,-48.0,2.695,86.1,1.4,62.1,76.39985,-68.26728,562.54
2022-07-01 07:00:00,2022,1,7,7,-48.0,2.777,85.7,1.3,66.3,nan,nan,562.54
2022-07-01 08:00:00,2022,1,7,8,-48.0,2.667,87.0,1.1,62.8,nan,nan,562.54
2022-07-01 09:00:00,2022,1,7,9,-48.0,2.436,90.0,1.5,33.5,nan,nan,562.54
2022-07-01 10:00:00,2022,1,7,10,-49.0,2.9,84.2,2.0,17.3,nan,nan,562.54
2022-07-01 11:00:00,2022,1,7,11,-49.0,2.972,83.1,1.4,14.0,nan,nan,562.54
2022-07-01 12:00:00,2022,1,7,12,-49.0,2.81,85.3,2.1,35.6,76.39985,-68.26721,562.54
2022-07-01 13:00:00,2022,1,7,13,-49.0,3.133,86.1,2.0,8.2,nan,nan,562.54
2022-07-01 14:00:00,2022,1,7,14,-50.0,3.153,86.2,2.9,8.0,nan,nan,562.54
2022-07-01 15:00:00,2022,1,7,15,-50.0,2.444,90.6,3.0,30.7,nan,nan,562.54
2022-07-01 16:00:00,2022,1,7,16,-51.0,2.451,90.5,3.8,32.6,nan,nan,562.54
2022-07-01 17:00:00,2022,1,7,17,-51.0,3.191,84.3,3.5,25.9,nan,nan,562.54
2022-07-01 18:00:00,2022,1,7,18,-51.0,3.087,85.5,3.5,35.6,76.39986,-68.26727,562.54
2022-07-01 19:00:00,2022,1,7,19,-51.0,3.764,82.8,3.0,25.2,nan,nan,562.54
2022-07-01 20:00:00,2022,1,7,20,-51.0,3.674,83.2,3.2,32.5,nan,nan,562.54
2022-07-01 21:00:00,2022,1,7,21,-52.0,4.286,77.8,3.3,4.1,nan,nan,562.54
2022-07-01 22:00:00,2022,1,7,22,-51.0,4.621,74.5,4.2,349.5,nan,nan,562.54
2022-07-01 23:00:00,2022,1,7,23,-52.0,4.419,74.8,3.9,357.6,nan,nan,562.54
2022-07-02 00:00:00,2022,2,7,0,-52.0,3.823,79.0,3.2,20.9,76.39984,-68.26730,562.51
2022-07-02 01:00:00,2022,2,7,1,-51.0,3.487,80.8,2.4,21.1,nan,nan,562.51
2022-07-02 02:00:00,2022,2,7,2,-51.0,2.569,85.7,2.5,50.5,nan,nan,562.51
2022-07-02 03:00:00,2022,2,7,3,-51.0,2.645,84.7,3.2,58.5,nan,nan,562.51
2022-07-02 04:00:00,2022,2,7,4,-51.0,2.935,81.2,3.1,64.8,nan,nan,562.51
2022-07-02 05:00:00,2022,2,7,5,-51.0,2.78,81.5,2.4,65.4,nan,nan,562.51
2022-07-02 06:00:00,2022,2,7,6,-51.0,2.98,79.5,1.8,79.6,76.39984,-68.26726,562.51
2022-07-02 07:00:00,2022,2,7,7,-51.0,3.148,78.3,1.9,77.7,nan,nan,562.51
2022-07-02 08:00:00,2022,2,7,8,-50.0,3.269,77.1,2.1,85.2,nan,nan,562.51
2022-07-02 09:00:00,2022,2,7,9,-50.0,3.558,75.5,2.1,105.2,nan,nan,562.51
2022-07-02 10:00:00,2022,2,7,10,-50.0,3.879,75.5,2.2,123.2,nan,nan,562.51
2022-07-02 11:00:00,2022,2,7,11,-49.0,2.632,84.9,3.6,125.1,nan,nan,562.51
2022-07-02 12:00:00,2022,2,7,12,-49.0,2.415,87.5,5.2,117.6,76.39984,-68.26729,562.51
2022-07-02 13:00:00,2022,2,7,13,-49.0,2.357,85.2,5.9,117.1,nan,nan,562.51
2022-07-02 14:00:00,2022,2,7,14,-48.0,2.236,87.0,6.7,117.6,nan,nan,562.51
2022-07-02 15:00:00,2022,2,7,15,-48.0,2.074,88.1,7.0,112.0,nan,nan,562.51
2022-07-02 16:00:00,2022,2,7,16,-47.0,2.181,88.0,7.0,114.8,nan,nan,562.51
2022-07-02 17:00:00,2022,2,7,17,-47.0,2.123,88.1,7.7,120.6,nan,nan,562.51
2022-07-02 18:00:00,2022,2,7,18,-47.0,2.195,87.4,7.5,119.0,76.39985,-68.26724,562.51
2022-07-02 19:00:00,2022,2,7,19,-46.0,2.178,87.4,7.9,123.6,nan,nan,562.51
2022-07-02 20:00:00,2022,2,7,20,-46.0,2.075,87.4,8.1,122.1,nan,nan,562.51
2022-07-02 21:00:00,2022,2,7,21,-46.0,1.975,89.0,8.1,124.5,nan,nan,562.51
2022-07-02 22:00:00,2022,2,7,22,-46.0,1.535,94.7,7.7,121.5,nan,nan,562.51
2022-07-02 23:00:00,2022,2,7,23,-45.0,1.277,98.0,7.7,123.0,nan,nan,562.51
2022-07-03 00:00:00,2022,3,7,0,-45.0,1.26,99.3,8.1,120.1,76.39984,-68.26724,562.49
2022-07-03 01:00:00,2022,3,7,1,-45.0,1.229,99.5,8.1,119.3,nan,nan,562.49
