date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-51.0,1.591,81.6,5.0,96.0,76.39304,-68.26495,572.61
2022-07-01 01:00:00,2022,1,7,1,-50.0,1.668,81.9,4.4,90.5,nan,nan,572.61
2022-07-01 02:00:00,2022,1,7,2,-51.0,1.732,82.8,4.1,89.1,nan,nan,572.61
2022-07-01 03:00:00,2022,1,7,3,-51.0,1.908,82.8,4.3,93.0,nan,nan,572.61
2022-07-01 04:00:00,2022,1,7,4,-51.0,1.841,82.7,4.5,97.3,nan,nan,572.61
2022-07-01 05:00:00,2022,1,7,5,-51.0,1.978,79.4,3.4,80.3,nan,nan,572.61
2022-07-01 06:00:00,2022,1,7,6,-51.0,2.309,78.3,1.7,48.6,76.39300,-68.26504,572.61
2022-07-01 07:00:00,2022,1,7,7,-51.0,2.401,78.7,1.4,54.1,nan,nan,572.61
2022-07-01 08:00:00,2022,1,7,8,-51.0,2.221,79.4,1.2,44.1,nan,nan,572.61
2022-07-01 09:00:00,2022,1,7,9,-51.0,1.865,83.5,1.3,46.2,nan,nan,572.61
2022-07-01 10:00:00,2022,1,7,10,-52.0,2.047,80.9,0.9,46.5,nan,nan,572.61
2022-07-01 11:00:00,2022,1,7,11,-52.0,2.658,74.5,0.9,21.7,nan,nan,572.61
2022-07-01 12:00:00,2022,1,7,12,-52.0,2.344,79.1,2.3,22.0,76.39303,-68.26498,572.61
2022-07-01 13:00:00,2022,1,7,13,-53.0,2.108,82.6,2.1,25.4,nan,nan,572.61
2022-07-01 14:00:00,2022,1,7,14,-53.0,2.076,83.0,2.6,15.3,nan,nan,572.61
2022-07-01 15:00:00,2022,1,7,15,-54.0,1.75,85.1,3.3,20.1,nan,nan,572.61
2022-07-01 16:00:00,2022,1,7,16,-54.0,1.972,83.7,3.9,20.8,nan,nan,572.61
2022-07-01 17:00:00,2022,1,7,17,-54.0,2.32,80.3,3.8,19.3,nan,nan,572.61
2022-07-01 18:00:00,2022,1,7,18,-54.0,2.496,79.6,3.8,24.3,76.39304,-68.26491,572.61
2022-07-01 19:00:00,2022,1,7,19,-54.0,2.559,79.3,3.5,14.8,nan,nan,572.61
2022-07-01 20:00:00,2022,1,7,20,-55.0,2.714,79.6,3.5,20.3,nan,nan,572.61
2022-07-01 21:00:00,2022,1,7,21,-55.0,3.127,75.6,3.5,2.1,nan,nan,572.61
2022-07-01 22:00:00,2022,1,7,22,-55.0,3.359,72.4,4.2,345.3,nan,nan,572.61
2022-07-01 23:00:00,2022,1,7,23,-55.0,2.669,76.7,3.4,1.9,nan,nan,572.61
2022-07-02 00:00:00,2022,2,7,0,-55.0,2.726,77.5,3.2,15.4,76.39302,-68.26496,572.59
2022-07-02 01:00:00,2022,2,7,1,-55.0,2.414,78.3,2.5,14.2,nan,nan,572.59
2022-07-02 02:00:00,2022,2,7,2,-54.0,2.013,79.6,2.8,39.6,nan,nan,572.59
2022-07-02 03:00:00,2022,2,7,3,-55.0,1.858,80.3,3.0,43.8,nan,nan,572.59
2022-07-02 04:00:00,2022,2,7,4,-54.0,1.855,78.2,3.0,56.7,nan,nan,572.59
2022-07-02 05:00:00,2022,2,7,5,-54.0,1.809,77.5,2.5,50.1,nan,nan,572.59
2022-07-02 06:00:00,2022,2,7,6,-54.0,2.049,75.7,2.2,56.3,76.39302,-68.26496,572.59
2022-07-02 07:00:00,2022,2,7,7,-54.0,1.844,76.6,2.3,60.9,nan,nan,572.59
2022-07-02 08:00:00,2022,2,7,8,-53.0,2.108,74.9,2.3,73.1,nan,nan,572.59
2022-07-02 09:00:00,2022,2,7,9,-53.0,3.037,69.4,2.1,86.3,nan,nan,572.59
2022-07-02 10:00:00,2022,2,7,10,-53.0,3.259,70.1,2.1,103.2,nan,nan,572.59
2022-07-02 11:00:00,2022,2,7,11,-52.0,2.273,79.3,3.8,111.4,nan,nan,572.59
