date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-215.4,-10.32,83.0,5.4,272.8,78.01908,-33.96285,2078.01
2022-07-01 01:00:00,2022,1,7,1,-215.3,-11.55,82.5,5.6,273.5,78.01909,-33.96291,2078.01
2022-07-01 02:00:00,2022,1,7,2,-215.1,-11.8,82.5,5.1,273.1,78.01910,-33.96287,2078.01
2022-07-01 03:00:00,2022,1,7,3,-215.1,-13.48,83.5,4.4,261.6,78.01910,-33.96288,2078.01
2022-07-01 04:00:00,2022,1,7,4,-215.0,-11.87,84.3,4.5,262.0,78.01910,-33.96280,2078.01
2022-07-01 05:00:00,2022,1,7,5,-214.7,-9.35,83.2,4.8,276.4,78.01908,-33.96297,2078.01
2022-07-01 06:00:00,2022,1,7,6,-214.5,-8.38,84.9,5.0,287.0,78.01910,-33.96297,2078.01
2022-07-01 07:00:00,2022,1,7,7,-214.4,-8.3,85.6,6.4,294.6,78.01907,-33.96282,2078.01
2022-07-01 08:00:00,2022,1,7,8,-214.4,-8.03,84.9,6.0,299.3,78.01909,-33.96287,2078.01
2022-07-01 09:00:00,2022,1,7,9,-214.4,-7.8,84.4,5.4,302.9,78.01910,-33.96284,2078.01
2022-07-01 10:00:00,2022,1,7,10,-214.4,-7.683,83.9,5.2,302.5,78.01910,-33.96292,2078.01
2022-07-01 11:00:00,2022,1,7,11,-214.2,-7.717,83.0,5.2,304.4,78.01911,-33.96292,2078.01
2022-07-01 12:00:00,2022,1,7,12,-214.2,-7.867,83.0,5.2,312.6,78.01911,-33.96283,2078.01
2022-07-01 13:00:00,2022,1,7,13,-214.4,-8.0,84.2,5.1,308.1,78.01909,-33.96287,2078.01
2022-07-01 14:00:00,2022,1,7,14,-214.6,-7.517,85.7,5.1,312.8,78.01910,-33.96289,2078.01
2022-07-01 15:00:00,2022,1,7,15,-214.8,-7.267,86.7,5.2,307.5,78.01911,-33.96288,2078.01
2022-07-01 16:00:00,2022,1,7,16,-214.8,-6.917,86.7,5.5,321.5,78.01911,-33.96281,2078.01
2022-07-01 17:00:00,2022,1,7,17,-214.9,-6.75,86.2,5.6,311.0,78.01912,-33.96284,2078.01
2022-07-01 18:00:00,2022,1,7,18,-214.9,-6.9,86.1,5.1,312.1,78.01907,-33.96284,2078.01
2022-07-01 19:00:00,2022,1,7,19,-214.7,-6.9,86.2,5.1,312.8,78.01911,-33.96293,2078.01
2022-07-01 20:00:00,2022,1,7,20,-214.8,-6.717,85.9,5.4,325.8,78.01911,-33.96284,2078.01
2022-07-01 21:00:00,2022,1,7,21,-214.9,-6.85,85.8,5.4,307.3,78.01911,-33.96290,2078.01
2022-07-01 22:00:00,2022,1,7,22,-214.9,-7.167,86.1,5.3,303.6,78.01913,-33.96284,2078.01
2022-07-01 23:00:00,2022,1,7,23,-215.3,-7.2,85.4,5.5,320.0,78.01910,-33.96297,2078.01
2022-07-02 00:00:00,2022,2,7,0,-215.5,-7.367,84.6,4.9,323.0,78.01909,-33.96283,2077.99
2022-07-02 01:00:00,2022,2,7,1,-215.9,-7.383,84.3,4.8,321.4,78.01906,-33.96294,2077.99
2022-07-02 02:00:00,2022,2,7,2,-216.1,-7.467,83.4,5.1,318.1,78.01906,-33.96288,2077.99
2022-07-02 03:00:00,2022,2,7,3,-216.5,-7.583,83.6,5.0,316.0,78.01910,-33.96273,2077.99
2022-07-02 04:00:00,2022,2,7,4,-216.9,-7.533,83.0,4.9,306.4,78.01910,-33.96278,2077.99
2022-07-02 05:00:00,2022,2,7,5,-217.1,-7.267,83.0,4.1,309.3,78.01908,-33.96295,2077.99
2022-07-02 06:00:00,2022,2,7,6,-217.4,-6.85,80.1,5.5,300.2,78.01908,-33.96298,2077.99
2022-07-02 07:00:00,2022,2,7,7,-217.7,-7.317,79.9,6.3,283.8,78.01908,-33.96283,2077.99
2022-07-02 08:00:00,2022,2,7,8,-217.7,-7.433,79.7,6.5,287.9,78.01907,-33.96287,2077.99
2022-07-02 09:00:00,2022,2,7,9,-217.9,-7.383,79.1,6.8,289.9,78.01909,-33.96279,2077.99
2022-07-02 10:00:00,2022,2,7,10,nan,,nan,nan,nan,78.01909,-33.96276,2077.99
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,2077.99
2022-07-02 12:00:00,2022,2,7,12,-218.2,-7.567,80.9,7.1,277.6,nan,nan,2077.99
2022-07-02 13:00:00,2022,2,7,13,-218.1,-6.833,80.3,7.9,282.2,78.01909,-33.96294,2077.99
2022-07-02 14:00:00,2022,2,7,14,-218.2,-6.867,80.2,8.7,283.3,78.01912,-33.96300,2077.99
2022-07-02 15:00:00,2022,2,7,15,-218.0,,80.3,8.3,287.7,78.01908,-33.96296,2077.99
2022-07-02 16:00:00,2022,2,7,16,-217.9,-6.267,80.1,7.7,287.3,78.01910,-33.96286,2077.99
2022-07-02 17:00:00,2022,2,7,17,-217.6,-5.867,80.2,7.7,301.3,78.01912,-33.96283,2077.99
2022-07-02 18:00:00,2022,2,7,18,-217.2,-5.933,81.2,7.6,302.5,78.01907,-33.96286,2077.99
2022-07-02 19:00:00,2022,2,7,19,-216.9,-5.883,82.3,7.7,317.3,78.01909,-33.96287,2077.99
2022-07-02 20:00:00,2022,2,7,20,-216.5,-6.867,84.7,4.8,316.8,78.01913,-33.96276,2077.99
2022-07-02 21:00:00,2022,2,7,21,-216.1,-7.1,87.1,5.8,319.0,78.01911,-33.96294,2077.99
2022-07-02 22:00:00,2022,2,7,22,-215.9,-7.35,89.4,6.6,325.7,78.01910,-33.96296,2077.99
2022-07-02 23:00:00,2022,2,7,23,-215.5,-6.583,87.8,6.3,335.6,78.01911,-33.96287,2077.99
2022-07-03 00:00:00,2022,3,7,0,-215.1,-6.733,87.1,6.6,341.3,78.01910,-33.96299,2077.97
2022-07-03 01:00:00,2022,3,7,1,-214.8,-6.533,87.5,6.3,337.8,78.01910,-33.96288,2077.97
2022-07-03 02:00:00,2022,3,7,2,-214.6,-6.217,89.3,5.8,345.3,78.01909,-33.96292,2077.97
2022-07-03 03:00:00,2022,3,7,3,-214.6,-5.433,92.0,5.5,341.8,78.01910,-33.96284,2077.97
2022-07-03 04:00:00,2022,3,7,4,-214.4,-5.067,90.2,6.0,334.5,78.01910,-33.96285,2077.97
2022-07-03 05:00:00,2022,3,7,5,-214.1,-5.5,88.8,3.8,310.5,78.01909,-33.96299,2077.97
2022-07-03 06:00:00,2022,3,7,6,-214.0,-6.033,87.7,2.7,297.1,78.01910,-33.96297,2077.97
2022-07-03 07:00:00,2022,3,7,7,-213.8,-5.083,85.4,5.1,308.0,78.01908,-33.96298,2077.97
2022-07-03 08:00:00,2022,3,7,8,-213.6,-4.933,84.8,6.1,308.5,78.01909,-33.96289,2077.97
2022-07-03 09:00:00,2022,3,7,9,-213.5,-4.85,84.1,6.2,305.2,78.01910,-33.96290,2077.97
2022-07-03 10:00:00,2022,3,7,10,-213.4,-4.883,83.5,5.6,297.0,78.01908,-33.96289,2077.97
2022-07-03 11:00:00,2022,3,7,11,-213.4,-4.517,82.4,5.4,289.1,78.01910,-33.96291,2077.97
2022-07-03 12:00:00,2022,3,7,12,-213.5,-4.117,83.6,4.9,287.4,78.01911,-33.96291,2077.97
2022-07-03 13:00:00,2022,3,7,13,-213.5,-3.683,84.7,4.9,308.3,78.01911,-33.96283,2077.97
2022-07-03 14:00:00,2022,3,7,14,-213.4,-3.5,85.1,5.9,311.8,78.01911,-33.96291,2077.97
2022-07-03 15:00:00,2022,3,7,15,-213.2,-3.65,82.7,5.9,318.5,78.01912,-33.96281,2077.97
2022-07-03 16:00:00,2022,3,7,16,-213.1,-3.75,82.5,4.7,318.1,78.01911,-33.96288,2077.97
2022-07-03 17:00:00,2022,3,7,17,-213.0,-3.767,82.5,5.2,316.5,78.01914,-33.96280,2077.97
2022-07-03 18:00:00,2022,3,7,18,-213.0,-4.267,80.3,5.6,310.3,78.01909,-33.96285,2077.97
2022-07-03 19:00:00,2022,3,7,19,-212.9,-5.333,82.9,4.0,298.2,78.01913,-33.96282,2077.97
2022-07-03 20:00:00,2022,3,7,20,-212.8,-6.167,82.9,3.7,290.5,78.01911,-33.96285,2077.97
2022-07-03 21:00:00,2022,3,7,21,-212.6,-6.033,81.6,4.9,288.6,78.01911,-33.96284,2077.97
2022-07-03 22:00:00,2022,3,7,22,-212.7,-5.433,82.0,5.2,292.8,78.01909,-33.96286,2077.97
2022-07-03 23:00:00,2022,3,7,23,-212.8,-5.533,80.2,5.1,282.9,78.01910,-33.96296,2077.97
2022-07-04 00:00:00,2022,4,7,0,-212.8,-5.617,79.9,5.9,293.7,78.01908,-33.96286,2077.96
2022-07-04 01:00:00,2022,4,7,1,-212.8,-5.867,81.2,5.1,293.0,78.01910,-33.96288,2077.96
2022-07-04 02:00:00,2022,4,7,2,-212.9,-5.867,81.0,5.0,289.1,78.01909,-33.96288,2077.96
2022-07-04 03:00:00,2022,4,7,3,-213.1,-7.9,83.0,3.3,262.9,78.01910,-33.96286,2077.96
2022-07-04 04:00:00,2022,4,7,4,-213.3,-9.52,84.1,3.4,243.3,78.01908,-33.96278,2077.96
2022-07-04 05:00:00,2022,4,7,5,-213.3,-6.783,84.1,4.3,268.8,78.01909,-33.96299,2077.96
2022-07-04 06:00:00,2022,4,7,6,-213.2,-6.217,83.5,3.8,259.8,78.01912,-33.96292,2077.96
2022-07-04 07:00:00,2022,4,7,7,-213.2,-5.7,83.2,3.9,267.3,78.01908,-33.96287,2077.96
2022-07-04 08:00:00,2022,4,7,8,-213.2,-5.25,82.6,4.0,270.3,78.01908,-33.96288,2077.96
2022-07-04 09:00:00,2022,4,7,9,-213.3,-4.7,80.3,4.9,271.9,78.01911,-33.96286,2077.96
2022-07-04 10:00:00,2022,4,7,10,-213.4,-4.85,78.7,5.0,268.0,78.01905,-33.96303,2077.96
2022-07-04 11:00:00,2022,4,7,11,-213.7,-4.733,77.7,4.7,258.8,78.01911,-33.96287,2077.96
2022-07-04 12:00:00,2022,4,7,12,-213.6,-4.567,78.9,4.6,245.0,78.01911,-33.96293,2077.96
2022-07-04 13:00:00,2022,4,7,13,-213.7,-4.1,77.8,4.1,254.3,78.01911,-33.96300,2077.96
2022-07-04 14:00:00,2022,4,7,14,-214.0,-3.65,77.0,3.3,282.6,78.01913,-33.96283,2077.96
2022-07-04 15:00:00,2022,4,7,15,-214.4,-3.417,75.9,3.8,286.7,78.01909,-33.96298,2077.96
2022-07-04 16:00:00,2022,4,7,16,-214.6,-3.483,74.4,3.8,276.6,78.01910,-33.96284,2077.96
2022-07-04 17:00:00,2022,4,7,17,-214.7,-4.433,81.7,6.1,272.7,78.01912,-33.96283,2077.96
2022-07-04 18:00:00,2022,4,7,18,-214.8,-4.783,82.0,5.9,278.1,78.01913,-33.96278,2077.96
2022-07-04 19:00:00,2022,4,7,19,-214.9,-5.067,81.3,5.9,270.0,78.01907,-33.96294,2077.96
2022-07-04 20:00:00,2022,4,7,20,-214.9,-5.25,77.5,4.4,265.5,78.01914,-33.96291,2077.96
2022-07-04 21:00:00,2022,4,7,21,-215.1,-5.817,77.2,4.7,246.9,78.01911,-33.96285,2077.96
2022-07-04 22:00:00,2022,4,7,22,-215.3,-7.467,76.2,3.3,235.4,78.01912,-33.96282,2077.96
2022-07-04 23:00:00,2022,4,7,23,-215.8,-10.45,80.7,3.1,207.1,78.01909,-33.96293,2077.96
2022-07-05 00:00:00,2022,5,7,0,-216.2,-13.03,81.3,3.6,202.5,78.01910,-33.96291,2077.94
2022-07-05 01:00:00,2022,5,7,1,-216.7,-12.78,80.2,4.3,237.1,78.01910,-33.96287,2077.94
2022-07-05 02:00:00,2022,5,7,2,-217.0,-11.1,80.1,5.1,262.9,78.01911,-33.96281,2077.94
2022-07-05 03:00:00,2022,5,7,3,-217.3,-10.05,80.1,5.5,269.5,78.01909,-33.96290,2077.94
2022-07-05 04:00:00,2022,5,7,4,-217.4,-10.92,79.9,5.4,266.2,78.01910,-33.96286,2077.94
2022-07-05 05:00:00,2022,5,7,5,-217.5,-10.85,78.6,5.9,261.8,78.01909,-33.96294,2077.94
2022-07-05 06:00:00,2022,5,7,6,-217.5,-10.53,77.2,5.7,257.6,78.01908,-33.96287,2077.94
2022-07-05 07:00:00,2022,5,7,7,-217.5,-10.17,77.9,5.5,254.9,78.01910,-33.96286,2077.94
2022-07-05 08:00:00,2022,5,7,8,-217.6,-9.28,77.8,5.7,256.8,78.01907,-33.96290,2077.94
2022-07-05 09:00:00,2022,5,7,9,-217.8,-8.47,78.1,5.9,257.3,78.01910,-33.96291,2077.94
2022-07-05 10:00:00,2022,5,7,10,nan,,nan,nan,nan,78.01910,-33.96268,2077.94
2022-07-05 11:00:00,2022,5,7,11,nan,,nan,nan,nan,nan,nan,2077.94
2022-07-05 12:00:00,2022,5,7,12,-218.1,,79.7,5.2,249.0,nan,nan,2077.94
2022-07-05 13:00:00,2022,5,7,13,-218.3,-6.75,78.9,5.6,247.0,78.01910,-33.96291,2077.94
2022-07-05 14:00:00,2022,5,7,14,-218.7,-6.483,78.7,5.7,248.1,78.01909,-33.96290,2077.94
2022-07-05 15:00:00,2022,5,7,15,-218.9,,77.8,5.2,244.6,78.01911,-33.96278,2077.94
2022-07-05 16:00:00,2022,5,7,16,-219.1,-6.067,77.5,4.9,237.9,78.01909,-33.96274,2077.94
2022-07-05 17:00:00,2022,5,7,17,-219.5,-6.217,78.1,4.8,237.5,78.01911,-33.96285,2077.94
2022-07-05 18:00:00,2022,5,7,18,-219.6,-6.383,79.2,4.5,239.7,78.01910,-33.96278,2077.94
2022-07-05 19:00:00,2022,5,7,19,-219.8,-6.8,80.5,4.0,242.5,78.01908,-33.96296,2077.94
2022-07-05 20:00:00,2022,5,7,20,-220.0,-7.367,81.5,3.5,249.5,78.01913,-33.96295,2077.94
2022-07-05 21:00:00,2022,5,7,21,-220.2,-7.933,81.8,3.6,269.7,78.01911,-33.96294,2077.94
2022-07-05 22:00:00,2022,5,7,22,-220.4,-8.57,81.8,3.9,273.8,78.01912,-33.96282,2077.94
2022-07-05 23:00:00,2022,5,7,23,-220.3,-9.18,81.3,4.2,282.6,78.01910,-33.96287,2077.94
2022-07-06 00:00:00,2022,6,7,0,-220.1,-10.63,81.7,4.1,282.3,78.01908,-33.96294,2077.92
2022-07-06 01:00:00,2022,6,7,1,-220.1,-11.47,80.6,4.6,284.7,78.01911,-33.96297,2077.92
2022-07-06 02:00:00,2022,6,7,2,-220.1,-12.32,79.8,4.5,277.1,78.01910,-33.96281,2077.92
2022-07-06 03:00:00,2022,6,7,3,-220.2,-12.75,78.9,4.5,280.6,78.01911,-33.96290,2077.92
2022-07-06 04:00:00,2022,6,7,4,-220.4,-12.8,78.1,5.2,284.5,78.01910,-33.96285,2077.92
2022-07-06 05:00:00,2022,6,7,5,-220.2,-12.97,78.1,5.1,283.4,78.01910,-33.96288,2077.92
2022-07-06 06:00:00,2022,6,7,6,-219.9,-12.62,78.1,4.8,285.4,78.01910,-33.96283,2077.92
2022-07-06 07:00:00,2022,6,7,7,-219.7,-11.7,78.3,5.2,289.7,78.01911,-33.96291,2077.92
2022-07-06 08:00:00,2022,6,7,8,-219.4,-10.75,79.2,5.2,290.6,78.01906,-33.96295,2077.92
2022-07-06 09:00:00,2022,6,7,9,-219.2,-10.02,79.4,5.1,292.4,78.01909,-33.96286,2077.92
2022-07-06 10:00:00,2022,6,7,10,-219.0,-9.3,79.9,4.8,297.1,78.01909,-33.96265,2077.92
2022-07-06 11:00:00,2022,6,7,11,nan,,nan,nan,nan,78.01911,-33.96279,2077.92
2022-07-06 12:00:00,2022,6,7,12,-218.5,-7.367,80.0,4.7,297.9,nan,nan,2077.92
2022-07-06 13:00:00,2022,6,7,13,-218.3,-6.0,79.6,4.2,311.4,78.01910,-33.96288,2077.92
2022-07-06 14:00:00,2022,6,7,14,-218.3,-5.317,79.8,3.9,312.3,78.01911,-33.96285,2077.92
2022-07-06 15:00:00,2022,6,7,15,-218.1,-5.15,79.9,3.3,307.3,78.01911,-33.96284,2077.92
2022-07-06 16:00:00,2022,6,7,16,-218.3,-4.983,82.2,2.6,291.1,78.01913,-33.96292,2077.92
2022-07-06 17:00:00,2022,6,7,17,-218.3,-4.367,83.2,2.5,295.6,78.01912,-33.96278,2077.92
2022-07-06 18:00:00,2022,6,7,18,-218.3,-4.283,84.6,2.4,292.1,78.01910,-33.96282,2077.92
2022-07-06 19:00:00,2022,6,7,19,-218.3,-5.2,86.6,2.0,291.9,78.01910,-33.96281,2077.92
2022-07-06 20:00:00,2022,6,7,20,-218.4,-4.717,85.0,1.6,271.3,78.01908,-33.96289,2077.92
2022-07-06 21:00:00,2022,6,7,21,-218.6,-6.617,85.3,2.5,252.5,78.01909,-33.96290,2077.92
2022-07-06 22:00:00,2022,6,7,22,-218.9,-8.15,86.7,2.7,230.0,78.01909,-33.96288,2077.92
2022-07-06 23:00:00,2022,6,7,23,-219.1,-8.72,86.8,3.1,240.5,78.01909,-33.96274,2077.92
2022-07-07 00:00:00,2022,7,7,0,-219.3,-8.12,86.2,3.6,242.8,78.01911,-33.96296,2077.91
2022-07-07 01:00:00,2022,7,7,1,-219.4,-6.467,87.3,3.1,251.2,78.01911,-33.96289,2077.91
2022-07-07 02:00:00,2022,7,7,2,-219.8,-6.633,86.4,3.6,266.1,78.01907,-33.96289,2077.91
2022-07-07 03:00:00,2022,7,7,3,-220.1,-7.2,85.9,4.2,274.2,78.01910,-33.96285,2077.91
2022-07-07 04:00:00,2022,7,7,4,-220.3,-7.633,85.5,4.5,283.6,78.01908,-33.96288,2077.91
2022-07-07 05:00:00,2022,7,7,5,-220.5,-8.63,84.4,4.4,282.2,78.01909,-33.96288,2077.91
2022-07-07 06:00:00,2022,7,7,6,-220.6,-9.78,83.7,4.5,278.5,78.01911,-33.96286,2077.91
2022-07-07 07:00:00,2022,7,7,7,-220.5,-10.13,83.3,4.5,283.1,78.01908,-33.96286,2077.91
2022-07-07 08:00:00,2022,7,7,8,-220.5,-8.98,83.9,4.2,284.6,78.01909,-33.96293,2077.91
2022-07-07 09:00:00,2022,7,7,9,-220.5,-7.85,84.7,3.7,280.9,78.01912,-33.96285,2077.91
2022-07-07 10:00:00,2022,7,7,10,nan,,nan,nan,nan,78.01910,-33.96289,2077.91
2022-07-07 11:00:00,2022,7,7,11,-220.3,-5.783,87.4,5.6,297.8,nan,nan,2077.91
2022-07-07 12:00:00,2022,7,7,12,nan,,nan,nan,nan,78.01912,-33.96293,2077.91
2022-07-07 13:00:00,2022,7,7,13,-220.1,-4.533,87.9,5.5,328.1,nan,nan,2077.91
2022-07-07 14:00:00,2022,7,7,14,-220.0,-4.15,87.3,5.2,355.4,78.01909,-33.96274,2077.91
2022-07-07 15:00:00,2022,7,7,15,-219.8,-4.217,85.9,5.0,3.2,78.01912,-33.96279,2077.91
2022-07-07 16:00:00,2022,7,7,16,-219.5,-4.683,86.8,5.4,9.8,78.01913,-33.96274,2077.91
2022-07-07 17:00:00,2022,7,7,17,-219.1,-5.217,88.1,5.9,10.6,78.01912,-33.96274,2077.91
2022-07-07 18:00:00,2022,7,7,18,-218.6,-5.35,88.9,3.9,1.5,78.01911,-33.96282,2077.91
2022-07-07 19:00:00,2022,7,7,19,-218.3,-5.267,90.4,nan,nan,78.01910,-33.96280,2077.91
2022-07-07 20:00:00,2022,7,7,20,-217.9,-5.3,90.4,2.8,11.9,78.01912,-33.96288,2077.91
2022-07-07 21:00:00,2022,7,7,21,-217.6,-5.417,90.3,5.4,3.8,78.01910,-33.96296,2077.91
2022-07-07 22:00:00,2022,7,7,22,-217.1,-5.883,91.7,4.8,4.1,78.01909,-33.96278,2077.91
2022-07-07 23:00:00,2022,7,7,23,-216.8,-6.567,92.4,3.8,339.2,78.01910,-33.96283,2077.91
2022-07-08 00:00:00,2022,8,7,0,-216.4,-7.65,91.5,3.3,323.6,78.01913,-33.96267,2077.89
2022-07-08 01:00:00,2022,8,7,1,-216.3,-10.2,93.8,3.4,299.6,78.01909,-33.96296,2077.89
2022-07-08 02:00:00,2022,8,7,2,-216.2,-12.1,89.7,3.2,280.8,78.01910,-33.96279,2077.89
2022-07-08 03:00:00,2022,8,7,3,-215.8,-8.53,89.7,3.3,285.7,78.01909,-33.96269,2077.89
2022-07-08 04:00:00,2022,8,7,4,-215.6,-7.483,89.9,2.7,301.4,78.01910,-33.96274,2077.89
2022-07-08 05:00:00,2022,8,7,5,-215.4,-6.967,87.8,3.5,302.0,78.01908,-33.96286,2077.89
2022-07-08 06:00:00,2022,8,7,6,-215.2,-6.983,86.4,4.4,299.4,78.01911,-33.96288,2077.89
2022-07-08 07:00:00,2022,8,7,7,-215.0,-6.767,84.4,4.6,293.6,78.01912,-33.96287,2077.89
2022-07-08 08:00:00,2022,8,7,8,-214.9,-6.567,80.9,5.4,279.5,78.01910,-33.96299,2077.89
2022-07-08 09:00:00,2022,8,7,9,-214.9,-7.917,81.4,5.6,277.2,78.01909,-33.96292,2077.89
2022-07-08 10:00:00,2022,8,7,10,-215.2,-8.33,82.3,6.9,272.4,78.01910,-33.96290,2077.89
2022-07-08 11:00:00,2022,8,7,11,-215.2,,81.9,7.2,295.4,78.01909,-33.96292,2077.89
2022-07-08 12:00:00,2022,8,7,12,-215.1,-7.367,83.9,6.8,302.1,78.01909,-33.96296,2077.89
2022-07-08 13:00:00,2022,8,7,13,-215.1,-6.333,84.7,7.1,297.8,78.01911,-33.96292,2077.89
2022-07-08 14:00:00,2022,8,7,14,-215.2,-5.65,84.8,7.3,295.1,78.01910,-33.96281,2077.89
2022-07-08 15:00:00,2022,8,7,15,-215.2,-4.717,85.6,7.4,304.1,78.01914,-33.96280,2077.89
2022-07-08 16:00:00,2022,8,7,16,-215.3,-3.917,83.7,8.3,313.0,78.01912,-33.96285,2077.89
2022-07-08 17:00:00,2022,8,7,17,-215.2,-4.15,85.9,8.1,315.4,78.01913,-33.96278,2077.89
2022-07-08 18:00:00,2022,8,7,18,-215.2,-3.9,87.4,7.9,311.9,78.01912,-33.96278,2077.89
2022-07-08 19:00:00,2022,8,7,19,-215.3,-4.033,87.9,8.0,316.0,78.01909,-33.96293,2077.89
2022-07-08 20:00:00,2022,8,7,20,-215.2,-4.367,89.8,8.2,319.6,78.01908,-33.96284,2077.89
2022-07-08 21:00:00,2022,8,7,21,-215.1,-4.483,88.8,8.0,318.3,78.01910,-33.96286,2077.89
2022-07-08 22:00:00,2022,8,7,22,-215.0,-4.417,88.2,7.2,322.7,78.01910,-33.96288,2077.89
2022-07-08 23:00:00,2022,8,7,23,-215.0,-4.383,90.0,7.0,321.3,78.01908,-33.96283,2077.89
2022-07-09 00:00:00,2022,9,7,0,-214.9,-4.35,90.5,7.1,317.2,78.01912,-33.96286,2077.87
2022-07-09 01:00:00,2022,9,7,1,-214.9,-4.617,90.5,6.9,319.6,78.01911,-33.96285,2077.87
2022-07-09 02:00:00,2022,9,7,2,-214.9,-4.767,90.1,6.9,322.4,78.01910,-33.96280,2077.87
2022-07-09 03:00:00,2022,9,7,3,-215.2,-4.833,90.7,6.6,322.4,78.01910,-33.96284,2077.87
2022-07-09 04:00:00,2022,9,7,4,-215.3,-4.883,92.2,6.6,319.5,78.01909,-33.96276,2077.87
2022-07-09 05:00:00,2022,9,7,5,-215.4,-4.683,92.3,5.9,314.0,78.01910,-33.96285,2077.87
2022-07-09 06:00:00,2022,9,7,6,-215.4,-4.367,91.3,6.0,323.1,78.01912,-33.96286,2077.87
2022-07-09 07:00:00,2022,9,7,7,-215.3,-4.133,89.8,6.1,319.1,78.01908,-33.96296,2077.87
2022-07-09 08:00:00,2022,9,7,8,-215.4,-4.583,88.7,5.8,307.9,78.01909,-33.96276,2077.87
2022-07-09 09:00:00,2022,9,7,9,-215.7,-5.25,86.4,5.6,299.5,78.01912,-33.96280,2077.87
2022-07-09 10:00:00,2022,9,7,10,-215.8,-5.583,85.9,6.9,297.6,78.01912,-33.96291,2077.87
2022-07-09 11:00:00,2022,9,7,11,-215.9,,85.9,7.0,295.9,78.01910,-33.96287,2077.87
2022-07-09 12:00:00,2022,9,7,12,-216.0,-4.35,85.6,6.9,300.8,78.01911,-33.96297,2077.87
2022-07-09 13:00:00,2022,9,7,13,-216.1,-3.967,85.4,6.9,299.3,78.01910,-33.96297,2077.87
2022-07-09 14:00:00,2022,9,7,14,-216.4,-3.783,85.3,7.1,298.5,78.01910,-33.96289,2077.87
