date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-7.0,4.025,89.5,0.7,196.8,72.89337,-54.29574,201.50
2022-07-01 01:00:00,2022,1,7,1,-7.0,4.13,88.0,0.8,165.4,nan,nan,201.50
2022-07-01 02:00:00,2022,1,7,2,-8.0,3.993,88.5,0.8,159.7,nan,nan,201.50
2022-07-01 03:00:00,2022,1,7,3,-8.0,3.559,92.0,1.0,137.0,nan,nan,201.50
2022-07-01 04:00:00,2022,1,7,4,-8.0,3.926,91.4,1.0,134.7,nan,nan,201.50
2022-07-01 05:00:00,2022,1,7,5,-9.0,3.641,91.2,1.1,167.5,nan,nan,201.50
2022-07-01 06:00:00,2022,1,7,6,-9.0,3.528,93.5,1.2,141.6,72.89337,-54.29585,201.50
2022-07-01 07:00:00,2022,1,7,7,-9.0,3.557,91.3,1.1,83.4,nan,nan,201.50
2022-07-01 08:00:00,2022,1,7,8,-10.0,3.72,85.1,1.0,99.7,nan,nan,201.50
2022-07-01 09:00:00,2022,1,7,9,-11.0,3.546,83.0,1.1,134.2,nan,nan,201.50
2022-07-01 10:00:00,2022,1,7,10,-11.0,4.267,74.4,1.1,117.2,nan,nan,201.50
2022-07-01 11:00:00,2022,1,7,11,-11.0,4.076,75.1,1.2,79.5,nan,nan,201.50
2022-07-01 12:00:00,2022,1,7,12,-12.0,3.725,73.0,1.5,112.9,72.89338,-54.29583,201.50
2022-07-01 13:00:00,2022,1,7,13,-12.0,4.209,70.7,1.3,149.9,nan,nan,201.50
2022-07-01 14:00:00,2022,1,7,14,-12.0,4.829,67.9,1.0,106.4,nan,nan,201.50
2022-07-01 15:00:00,2022,1,7,15,-12.0,4.255,72.6,2.1,84.6,nan,nan,201.50
2022-07-01 16:00:00,2022,1,7,16,-12.0,4.669,67.8,2.0,105.5,nan,nan,201.50
2022-07-01 17:00:00,2022,1,7,17,-12.0,4.936,65.4,1.3,105.1,nan,nan,201.50
2022-07-01 18:00:00,2022,1,7,18,-12.0,5.91,61.7,1.3,85.5,72.89337,-54.29580,201.50
2022-07-01 19:00:00,2022,1,7,19,-12.0,5.867,61.7,1.2,102.0,nan,nan,201.50
2022-07-01 20:00:00,2022,1,7,20,-12.0,5.358,63.4,1.1,106.8,nan,nan,201.50
2022-07-01 21:00:00,2022,1,7,21,-12.0,6.299,63.4,1.2,86.0,nan,nan,201.50
2022-07-01 22:00:00,2022,1,7,22,-12.0,5.696,66.0,1.0,102.9,nan,nan,201.50
2022-07-01 23:00:00,2022,1,7,23,-12.0,5.45,68.7,0.7,109.4,nan,nan,201.50
2022-07-02 00:00:00,2022,2,7,0,-12.0,4.784,71.8,1.0,123.8,72.89337,-54.29576,201.48
2022-07-02 01:00:00,2022,2,7,1,-12.0,5.179,72.0,0.9,94.5,nan,nan,201.48
2022-07-02 02:00:00,2022,2,7,2,-11.0,4.616,74.2,1.3,102.5,nan,nan,201.48
2022-07-02 03:00:00,2022,2,7,3,-11.0,4.311,76.7,1.3,106.7,nan,nan,201.48
2022-07-02 04:00:00,2022,2,7,4,-11.0,5.156,73.9,1.4,89.8,nan,nan,201.48
2022-07-02 05:00:00,2022,2,7,5,-10.0,4.03,74.2,1.4,137.7,nan,nan,201.48
2022-07-02 06:00:00,2022,2,7,6,-10.0,4.19,73.6,1.4,147.3,72.89337,-54.29585,201.48
2022-07-02 07:00:00,2022,2,7,7,-9.0,4.541,72.2,1.7,153.4,nan,nan,201.48
