date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-91.0,2.033,86.2,0.8,81.2,72.88562,-53.61063,911.21
2022-07-01 01:00:00,2022,1,7,1,-91.0,2.067,85.3,1.0,91.2,nan,nan,911.21
2022-07-01 02:00:00,2022,1,7,2,-91.0,1.953,86.7,0.7,78.9,nan,nan,911.21
2022-07-01 03:00:00,2022,1,7,3,-91.0,1.607,88.9,1.2,95.1,nan,nan,911.21
2022-07-01 04:00:00,2022,1,7,4,-92.0,1.327,90.9,1.7,103.6,nan,nan,911.21
2022-07-01 05:00:00,2022,1,7,5,-92.0,1.136,91.9,2.2,114.0,nan,nan,911.21
2022-07-01 06:00:00,2022,1,7,6,-92.0,0.797,91.8,2.0,113.3,72.88563,-53.61063,911.21
2022-07-01 07:00:00,2022,1,7,7,-93.0,0.589,92.1,1.8,107.4,nan,nan,911.21
2022-07-01 08:00:00,2022,1,7,8,-93.0,0.748,90.3,2.4,111.0,nan,nan,911.21
2022-07-01 09:00:00,2022,1,7,9,-94.0,1.301,82.5,2.9,124.5,nan,nan,911.21
2022-07-01 10:00:00,2022,1,7,10,-94.0,1.917,78.9,3.6,123.9,nan,nan,911.21
2022-07-01 11:00:00,2022,1,7,11,-94.0,2.006,78.5,3.4,132.4,nan,nan,911.21
2022-07-01 12:00:00,2022,1,7,12,-95.0,1.941,77.9,3.1,152.3,72.88565,-53.61073,911.21
2022-07-01 13:00:00,2022,1,7,13,-95.0,1.875,79.3,2.4,165.6,nan,nan,911.21
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,911.21
2022-07-01 15:00:00,2022,1,7,15,-95.0,1.954,78.1,2.4,144.2,nan,nan,911.21
2022-07-01 16:00:00,2022,1,7,16,-95.0,1.805,78.8,2.6,139.3,nan,nan,911.21
2022-07-01 17:00:00,2022,1,7,17,-95.0,2.093,77.6,3.2,135.1,nan,nan,911.21
2022-07-01 18:00:00,2022,1,7,18,-95.0,1.923,79.4,3.3,123.3,72.88564,-53.61070,911.21
2022-07-01 19:00:00,2022,1,7,19,-95.0,2.058,79.6,3.5,128.4,nan,nan,911.21
2022-07-01 20:00:00,2022,1,7,20,-95.0,1.903,80.8,3.6,122.4,nan,nan,911.21
2022-07-01 21:00:00,2022,1,7,21,-95.0,1.799,81.9,3.7,121.2,nan,nan,911.21
2022-07-01 22:00:00,2022,1,7,22,-94.0,1.73,83.0,4.1,125.6,nan,nan,911.21
2022-07-01 23:00:00,2022,1,7,23,-94.0,1.588,83.7,4.4,129.8,nan,nan,911.21
2022-07-02 00:00:00,2022,2,7,0,-94.0,1.339,85.0,4.7,124.6,72.88563,-53.61064,911.17
2022-07-02 01:00:00,2022,2,7,1,-94.0,0.924,86.9,4.8,124.4,nan,nan,911.17
2022-07-02 02:00:00,2022,2,7,2,-94.0,0.769,87.5,4.8,121.4,nan,nan,911.17
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,911.17
2022-07-02 04:00:00,2022,2,7,4,-93.0,0.246,87.2,5.1,123.0,nan,nan,911.17
2022-07-02 05:00:00,2022,2,7,5,-93.0,0.152,87.0,5.3,128.7,nan,nan,911.17
2022-07-02 06:00:00,2022,2,7,6,-92.0,0.322,86.5,4.2,133.7,72.88561,-53.61062,911.17
2022-07-02 07:00:00,2022,2,7,7,-92.0,0.879,84.9,4.0,135.3,nan,nan,911.17
2022-07-02 08:00:00,2022,2,7,8,-91.0,1.243,85.2,3.4,136.3,nan,nan,911.17
2022-07-02 09:00:00,2022,2,7,9,-90.0,2.004,86.2,2.9,165.9,nan,nan,911.17
2022-07-02 10:00:00,2022,2,7,10,-90.0,2.152,84.0,3.0,170.8,nan,nan,911.17
2022-07-02 11:00:00,2022,2,7,11,-90.0,2.456,82.4,2.6,179.1,nan,nan,911.17
2022-07-02 12:00:00,2022,2,7,12,-89.0,2.009,81.3,2.4,165.9,72.88564,-53.61078,911.17
2022-07-02 13:00:00,2022,2,7,13,-88.0,2.172,79.4,2.6,163.5,nan,nan,911.17
2022-07-02 14:00:00,2022,2,7,14,-88.0,2.147,81.0,2.2,147.0,nan,nan,911.17
2022-07-02 15:00:00,2022,2,7,15,-88.0,1.981,83.0,2.4,132.8,nan,nan,911.17
2022-07-02 16:00:00,2022,2,7,16,-87.0,1.953,85.3,2.4,119.6,nan,nan,911.17
2022-07-02 17:00:00,2022,2,7,17,-87.0,1.926,85.7,2.3,116.8,nan,nan,911.17
2022-07-02 18:00:00,2022,2,7,18,-87.0,1.919,87.1,1.7,100.0,72.88564,-53.61076,911.17
2022-07-02 19:00:00,2022,2,7,19,-86.0,1.733,88.5,2.3,93.8,nan,nan,911.17
2022-07-02 20:00:00,2022,2,7,20,-86.0,1.723,89.1,2.4,86.2,nan,nan,911.17
2022-07-02 21:00:00,2022,2,7,21,-86.0,1.637,90.5,2.4,87.6,nan,nan,911.17
2022-07-02 22:00:00,2022,2,7,22,-86.0,1.592,91.3,2.7,91.1,nan,nan,911.17
2022-07-02 23:00:00,2022,2,7,23,-86.0,1.468,92.8,2.8,86.9,nan,nan,911.17
2022-07-03 00:00:00,2022,3,7,0,-86.0,1.423,93.7,2.9,87.0,72.88562,-53.61060,911.13
2022-07-03 01:00:00,2022,3,7,1,-86.0,1.631,93.6,3.5,108.0,nan,nan,911.13
2022-07-03 02:00:00,2022,3,7,2,-86.0,1.538,93.7,3.3,107.4,nan,nan,911.13
2022-07-03 03:00:00,2022,3,7,3,-87.0,1.479,93.8,3.1,113.0,nan,nan,911.13
2022-07-03 04:00:00,2022,3,7,4,-87.0,1.382,93.0,2.8,105.3,nan,nan,911.13
2022-07-03 05:00:00,2022,3,7,5,-87.0,1.521,91.6,2.8,115.6,nan,nan,911.13
2022-07-03 06:00:00,2022,3,7,6,-87.0,1.652,90.5,2.7,126.3,72.88562,-53.61068,911.13
2022-07-03 07:00:00,2022,3,7,7,-87.0,1.628,89.8,2.7,121.2,nan,nan,911.13
2022-07-03 08:00:00,2022,3,7,8,-88.0,1.79,87.2,2.9,116.5,nan,nan,911.13
2022-07-03 09:00:00,2022,3,7,9,-88.0,1.54,88.6,2.4,94.1,nan,nan,911.13
2022-07-03 10:00:00,2022,3,7,10,-88.0,2.066,81.8,2.8,113.9,nan,nan,911.13
2022-07-03 11:00:00,2022,3,7,11,-89.0,2.668,75.3,3.0,151.6,nan,nan,911.13
2022-07-03 12:00:00,2022,3,7,12,-89.0,2.436,76.5,3.1,133.9,72.88564,-53.61081,911.13
