date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-50.0,14.63,46.7,7.2,132.6,61.68650,-7.19783,575.96
2022-07-01 01:00:00,2022,1,7,1,-50.0,14.29,46.0,6.1,130.5,nan,nan,575.96
2022-07-01 02:00:00,2022,1,7,2,-50.0,14.75,47.8,5.2,130.5,nan,nan,575.96
2022-07-01 03:00:00,2022,1,7,3,-50.0,14.74,50.3,4.4,126.1,nan,nan,575.96
2022-07-01 04:00:00,2022,1,7,4,-50.0,14.83,51.9,4.3,126.0,nan,nan,575.96
2022-07-01 05:00:00,2022,1,7,5,-50.0,14.14,52.3,4.8,126.4,nan,nan,575.96
2022-07-01 06:00:00,2022,1,7,6,-50.0,13.91,54.0,4.4,135.7,61.68649,-7.19786,575.96
2022-07-01 07:00:00,2022,1,7,7,-51.0,14.07,54.4,4.0,130.0,nan,nan,575.96
2022-07-01 08:00:00,2022,1,7,8,-51.0,13.41,54.2,5.6,136.5,nan,nan,575.96
2022-07-01 09:00:00,2022,1,7,9,-51.0,14.26,54.5,5.8,124.9,nan,nan,575.96
2022-07-01 10:00:00,2022,1,7,10,-52.0,15.43,54.1,6.4,125.6,nan,nan,575.96
2022-07-01 11:00:00,2022,1,7,11,-52.0,15.33,54.5,6.8,123.9,nan,nan,575.96
2022-07-01 12:00:00,2022,1,7,12,-52.0,15.2,53.1,6.9,129.8,61.68650,-7.19789,575.96
2022-07-01 13:00:00,2022,1,7,13,-53.0,15.62,52.0,7.6,120.5,nan,nan,575.96
2022-07-01 14:00:00,2022,1,7,14,-53.0,15.13,55.8,8.2,119.7,nan,nan,575.96
2022-07-01 15:00:00,2022,1,7,15,-54.0,15.74,54.2,7.3,120.3,nan,nan,575.96
2022-07-01 16:00:00,2022,1,7,16,-53.0,15.51,62.2,5.6,126.3,nan,nan,575.96
2022-07-01 17:00:00,2022,1,7,17,-53.0,13.87,66.2,7.0,126.0,nan,nan,575.96
2022-07-01 18:00:00,2022,1,7,18,-54.0,14.34,67.1,6.1,127.2,61.68649,-7.19784,575.96
2022-07-01 19:00:00,2022,1,7,19,-54.0,13.64,66.1,6.9,130.7,nan,nan,575.96
2022-07-01 20:00:00,2022,1,7,20,-55.0,14.37,67.5,6.3,132.5,nan,nan,575.96
2022-07-01 21:00:00,2022,1,7,21,-54.0,14.18,65.7,5.9,128.3,nan,nan,575.96
2022-07-01 22:00:00,2022,1,7,22,-55.0,14.03,67.0,5.8,128.7,nan,nan,575.96
2022-07-01 23:00:00,2022,1,7,23,-55.0,14.31,67.6,5.9,123.2,nan,nan,575.96
2022-07-02 00:00:00,2022,2,7,0,-55.0,13.82,66.7,5.2,129.0,61.68651,-7.19787,575.88
2022-07-02 01:00:00,2022,2,7,1,-56.0,14.04,66.1,4.9,128.1,nan,nan,575.88
2022-07-02 02:00:00,2022,2,7,2,-56.0,14.49,65.8,5.2,130.3,nan,nan,575.88
2022-07-02 03:00:00,2022,2,7,3,-56.0,13.18,75.2,3.9,114.8,nan,nan,575.88
2022-07-02 04:00:00,2022,2,7,4,-55.0,11.41,90.9,2.3,92.5,nan,nan,575.88
2022-07-02 05:00:00,2022,2,7,5,-54.0,9.94,86.2,2.9,141.3,nan,nan,575.88
2022-07-02 06:00:00,2022,2,7,6,-54.0,9.32,88.0,2.7,134.7,61.68650,-7.19784,575.88
