date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,15.0,4.9,89.9,0.8,91.4,71.14149,-51.22203,11.98
2022-07-01 01:00:00,2022,1,7,1,15.0,4.867,90.4,0.7,126.4,71.14146,-51.22207,11.98
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,71.14146,-51.22206,11.98
2022-07-01 03:00:00,2022,1,7,3,14.0,3.917,94.7,0.2,310.1,nan,nan,11.98
2022-07-01 04:00:00,2022,1,7,4,13.0,3.75,96.6,0.5,354.7,71.14147,-51.22208,11.98
2022-07-01 05:00:00,2022,1,7,5,13.0,4.317,94.3,0.9,205.9,71.14147,-51.22207,11.98
2022-07-01 06:00:00,2022,1,7,6,12.0,3.433,95.4,1.0,4.2,71.14145,-51.22207,11.98
2022-07-01 07:00:00,2022,1,7,7,12.0,3.95,94.4,0.7,67.9,71.14147,-51.22210,11.98
2022-07-01 08:00:00,2022,1,7,8,11.0,4.233,94.2,0.4,90.0,71.14149,-51.22207,11.98
2022-07-01 09:00:00,2022,1,7,9,11.0,4.8,91.2,0.8,34.8,71.14144,-51.22197,11.98
2022-07-01 10:00:00,2022,1,7,10,11.0,5.117,90.3,1.1,84.1,71.14142,-51.22207,11.98
2022-07-01 11:00:00,2022,1,7,11,10.0,5.2,90.3,1.2,75.3,71.14147,-51.22208,11.98
2022-07-01 12:00:00,2022,1,7,12,10.0,6.0,87.8,0.9,72.3,71.14146,-51.22203,11.98
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,71.14149,-51.22211,11.98
2022-07-01 14:00:00,2022,1,7,14,9.0,7.2,85.6,1.2,65.6,nan,nan,11.98
2022-07-01 15:00:00,2022,1,7,15,9.0,7.85,82.8,1.4,80.1,71.14150,-51.22214,11.98
2022-07-01 16:00:00,2022,1,7,16,8.0,8.05,82.7,1.8,73.9,71.14146,-51.22205,11.98
2022-07-01 17:00:00,2022,1,7,17,9.0,8.45,79.8,1.8,74.8,71.14147,-51.22207,11.98
2022-07-01 18:00:00,2022,1,7,18,9.0,9.13,74.7,1.6,78.3,71.14147,-51.22206,11.98
2022-07-01 19:00:00,2022,1,7,19,9.0,9.47,74.6,1.4,78.1,71.14154,-51.22207,11.98
2022-07-01 20:00:00,2022,1,7,20,9.0,9.75,76.4,1.2,77.1,71.14147,-51.22208,11.98
2022-07-01 21:00:00,2022,1,7,21,10.0,9.95,73.0,1.5,79.7,71.14148,-51.22204,11.98
2022-07-01 22:00:00,2022,1,7,22,10.0,9.55,74.6,1.2,85.2,71.14147,-51.22207,11.98
2022-07-01 23:00:00,2022,1,7,23,10.0,9.02,77.6,0.5,80.8,71.14147,-51.22201,11.98
2022-07-02 00:00:00,2022,2,7,0,10.0,8.3,79.6,1.0,91.8,71.14148,-51.22209,11.97
2022-07-02 01:00:00,2022,2,7,1,11.0,8.2,77.5,0.4,44.6,71.14145,-51.22203,11.97
2022-07-02 02:00:00,2022,2,7,2,12.0,8.12,76.3,0.5,57.0,71.14146,-51.22201,11.97
2022-07-02 03:00:00,2022,2,7,3,12.0,6.867,86.4,0.4,75.1,71.14148,-51.22204,11.97
2022-07-02 04:00:00,2022,2,7,4,13.0,7.017,85.9,0.5,288.9,71.14146,-51.22204,11.97
