date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-88.0,5.6,59.5,4.5,281.6,74.64336,-21.46252,864.40
2022-07-01 01:00:00,2022,1,7,1,-88.0,6.45,56.4,2.0,289.2,74.64340,-21.46248,864.40
2022-07-01 02:00:00,2022,1,7,2,-88.0,5.6,60.7,3.4,281.2,74.64342,-21.46249,864.40
2022-07-01 03:00:00,2022,1,7,3,-88.0,5.167,62.3,3.3,279.3,74.64338,-21.46257,864.40
2022-07-01 04:00:00,2022,1,7,4,-88.0,5.55,60.8,2.8,277.6,74.64340,-21.46257,864.40
2022-07-01 05:00:00,2022,1,7,5,-88.0,5.067,64.0,3.7,282.8,74.64340,-21.46247,864.40
2022-07-01 06:00:00,2022,1,7,6,-87.0,6.217,62.4,1.4,297.0,74.64337,-21.46251,864.40
2022-07-01 07:00:00,2022,1,7,7,-87.0,5.467,64.8,2.6,277.4,74.64338,-21.46252,864.40
2022-07-01 08:00:00,2022,1,7,8,-87.0,5.6,65.6,3.3,282.5,74.64336,-21.46248,864.40
2022-07-01 09:00:00,2022,1,7,9,-86.0,5.833,64.5,2.1,280.6,74.64337,-21.46251,864.40
2022-07-01 10:00:00,2022,1,7,10,-86.0,5.65,64.4,2.5,276.9,74.64338,-21.46250,864.40
2022-07-01 11:00:00,2022,1,7,11,-86.0,5.867,61.3,2.5,272.5,74.64338,-21.46252,864.40
2022-07-01 12:00:00,2022,1,7,12,-85.0,6.083,56.3,2.7,274.6,74.64339,-21.46254,864.40
2022-07-01 13:00:00,2022,1,7,13,-85.0,6.333,55.2,1.6,262.8,74.64338,-21.46252,864.40
2022-07-01 14:00:00,2022,1,7,14,-85.0,6.333,57.3,1.0,311.2,74.64341,-21.46248,864.40
2022-07-01 15:00:00,2022,1,7,15,-86.0,6.517,54.1,2.1,277.9,74.64336,-21.46250,864.40
2022-07-01 16:00:00,2022,1,7,16,-86.0,6.467,51.1,1.9,251.6,74.64338,-21.46251,864.40
2022-07-01 17:00:00,2022,1,7,17,-86.0,6.4,53.5,3.2,286.3,74.64340,-21.46247,864.40
2022-07-01 18:00:00,2022,1,7,18,-86.0,6.2,56.7,1.4,199.5,74.64335,-21.46255,864.40
2022-07-01 19:00:00,2022,1,7,19,-86.0,5.517,60.7,2.3,221.0,74.64341,-21.46246,864.40
2022-07-01 20:00:00,2022,1,7,20,-86.0,4.25,71.7,3.0,246.3,74.64338,-21.46242,864.40
2022-07-01 21:00:00,2022,1,7,21,-86.0,2.967,81.1,3.6,239.1,74.64339,-21.46247,864.40
2022-07-01 22:00:00,2022,1,7,22,-87.0,3.0,82.4,3.8,269.8,74.64340,-21.46244,864.40
2022-07-01 23:00:00,2022,1,7,23,-88.0,3.017,82.1,3.3,232.4,74.64339,-21.46243,864.40
2022-07-02 00:00:00,2022,2,7,0,-88.0,2.833,82.3,4.1,221.8,74.64340,-21.46244,864.38
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,74.64339,-21.46240,864.38
2022-07-02 02:00:00,2022,2,7,2,-89.0,2.967,79.3,4.0,289.0,nan,nan,864.38
2022-07-02 03:00:00,2022,2,7,3,-89.0,3.017,76.2,3.0,266.5,74.64338,-21.46249,864.38
2022-07-02 04:00:00,2022,2,7,4,-89.0,3.217,71.1,3.6,227.7,74.64337,-21.46250,864.38
2022-07-02 05:00:00,2022,2,7,5,-90.0,3.333,68.9,3.4,243.2,74.64339,-21.46244,864.38
2022-07-02 06:00:00,2022,2,7,6,-90.0,3.833,62.8,2.4,257.8,74.64336,-21.46244,864.38
2022-07-02 07:00:00,2022,2,7,7,-90.0,3.65,61.2,2.7,281.4,74.64338,-21.46245,864.38
2022-07-02 08:00:00,2022,2,7,8,-90.0,2.817,67.3,3.6,279.0,74.64335,-21.46248,864.38
2022-07-02 09:00:00,2022,2,7,9,-90.0,2.95,66.9,3.6,282.4,74.64337,-21.46251,864.38
2022-07-02 10:00:00,2022,2,7,10,-90.0,3.517,64.1,2.9,275.0,74.64340,-21.46246,864.38
