date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-193.8,-5.3,91.6,3.9,190.2,77.18194,-61.11560,1893.86
2022-07-01 01:00:00,2022,1,7,1,-193.9,-5.3,91.6,5.0,185.1,77.18193,-61.11547,1893.86
2022-07-01 02:00:00,2022,1,7,2,-193.8,-5.7,92.8,5.2,179.6,77.18194,-61.11545,1893.86
2022-07-01 03:00:00,2022,1,7,3,-193.6,-5.7,93.4,5.1,184.1,77.18197,-61.11561,1893.86
2022-07-01 04:00:00,2022,1,7,4,-193.9,-5.2,93.0,5.0,155.2,77.18197,-61.11558,1893.86
2022-07-01 05:00:00,2022,1,7,5,-194.0,-5.3,92.1,4.6,157.3,77.18198,-61.11556,1893.86
2022-07-01 06:00:00,2022,1,7,6,-194.0,-5.0,92.5,3.5,150.1,77.18193,-61.11559,1893.86
2022-07-01 07:00:00,2022,1,7,7,-193.9,-5.0,90.4,3.0,158.1,77.18193,-61.11532,1893.86
2022-07-01 08:00:00,2022,1,7,8,-194.2,-4.8,90.9,3.1,147.7,77.18198,-61.11556,1893.86
2022-07-01 09:00:00,2022,1,7,9,-194.3,-4.4,90.1,3.1,142.1,77.18195,-61.11547,1893.86
2022-07-01 10:00:00,2022,1,7,10,-194.5,-4.1,88.9,3.2,132.2,77.18196,-61.11551,1893.86
2022-07-01 11:00:00,2022,1,7,11,-194.7,-3.6,87.9,3.8,128.6,77.18196,-61.11556,1893.86
2022-07-01 12:00:00,2022,1,7,12,-194.8,-3.1,86.8,3.7,124.6,77.18196,-61.11555,1893.86
2022-07-01 13:00:00,2022,1,7,13,-195.0,-2.4,84.4,3.7,129.1,77.18196,-61.11552,1893.86
2022-07-01 14:00:00,2022,1,7,14,-195.5,-2.6,78.2,3.4,130.3,77.18197,-61.11550,1893.86
2022-07-01 15:00:00,2022,1,7,15,-195.7,-2.8,73.6,4.0,125.6,77.18195,-61.11555,1893.86
2022-07-01 16:00:00,2022,1,7,16,-196.0,-2.5,69.0,4.9,116.9,77.18200,-61.11552,1893.86
2022-07-01 17:00:00,2022,1,7,17,-196.2,-2.5,68.9,4.7,113.4,77.18197,-61.11535,1893.86
2022-07-01 18:00:00,2022,1,7,18,-196.7,-2.5,70.5,5.4,90.7,77.18194,-61.11556,1893.86
2022-07-01 19:00:00,2022,1,7,19,-197.0,-2.8,72.1,6.2,91.6,77.18195,-61.11551,1893.86
2022-07-01 20:00:00,2022,1,7,20,-197.2,-3.5,75.5,6.7,98.9,77.18196,-61.11554,1893.86
2022-07-01 21:00:00,2022,1,7,21,-197.2,-3.8,81.2,5.2,109.7,77.18197,-61.11560,1893.86
2022-07-01 22:00:00,2022,1,7,22,-197.3,-3.9,84.0,3.7,95.4,77.18198,-61.11556,1893.86
2022-07-01 23:00:00,2022,1,7,23,-197.2,-4.7,85.1,3.7,142.5,77.18196,-61.11544,1893.86
2022-07-02 00:00:00,2022,2,7,0,-197.3,-6.4,85.5,4.3,130.5,77.18196,-61.11557,1893.84
2022-07-02 01:00:00,2022,2,7,1,-197.1,-7.7,85.2,4.2,130.7,77.18193,-61.11558,1893.84
2022-07-02 02:00:00,2022,2,7,2,-197.2,-9.1,83.7,3.7,116.9,77.18194,-61.11544,1893.84
2022-07-02 03:00:00,2022,2,7,3,-197.1,-9.7,82.7,4.2,140.1,77.18197,-61.11551,1893.84
2022-07-02 04:00:00,2022,2,7,4,-197.2,-10.5,81.4,3.2,125.4,77.18197,-61.11553,1893.84
2022-07-02 05:00:00,2022,2,7,5,-197.2,-10.8,80.7,3.6,132.9,77.18196,-61.11560,1893.84
2022-07-02 06:00:00,2022,2,7,6,-196.9,-11.1,79.4,3.4,135.6,77.18194,-61.11542,1893.84
2022-07-02 07:00:00,2022,2,7,7,-196.7,-11.1,78.6,3.2,131.1,77.18197,-61.11549,1893.84
2022-07-02 08:00:00,2022,2,7,8,-196.7,-10.5,78.0,3.5,137.7,77.18195,-61.11550,1893.84
2022-07-02 09:00:00,2022,2,7,9,-196.1,-10.1,78.1,3.0,134.6,77.18196,-61.11555,1893.84
2022-07-02 10:00:00,2022,2,7,10,-195.8,-8.8,77.0,3.2,146.9,77.18193,-61.11549,1893.84
2022-07-02 11:00:00,2022,2,7,11,-195.6,-8.0,77.3,3.5,145.9,77.18197,-61.11556,1893.84
2022-07-02 12:00:00,2022,2,7,12,-195.3,-7.2,78.1,3.3,161.4,77.18194,-61.11565,1893.84
2022-07-02 13:00:00,2022,2,7,13,-195.0,-6.6,80.8,3.9,160.9,77.18197,-61.11555,1893.84
2022-07-02 14:00:00,2022,2,7,14,-194.6,-5.7,84.1,3.8,164.2,77.18198,-61.11549,1893.84
2022-07-02 15:00:00,2022,2,7,15,-194.3,-5.2,86.8,4.2,179.0,77.18196,-61.11552,1893.84
2022-07-02 16:00:00,2022,2,7,16,-193.9,-5.3,90.8,4.8,191.4,77.18196,-61.11544,1893.84
2022-07-02 17:00:00,2022,2,7,17,-193.6,-5.1,91.4,4.9,192.3,77.18197,-61.11545,1893.84
2022-07-02 18:00:00,2022,2,7,18,-193.2,-4.7,90.5,4.7,218.8,77.18196,-61.11556,1893.84
2022-07-02 19:00:00,2022,2,7,19,-192.8,-4.5,90.6,5.1,196.0,77.18196,-61.11551,1893.84
2022-07-02 20:00:00,2022,2,7,20,-192.4,-4.9,94.0,5.6,189.8,77.18198,-61.11555,1893.84
2022-07-02 21:00:00,2022,2,7,21,-192.2,-5.0,93.6,5.7,199.1,77.18193,-61.11562,1893.84
2022-07-02 22:00:00,2022,2,7,22,-192.0,-4.9,93.1,5.7,187.6,77.18194,-61.11559,1893.84
2022-07-02 23:00:00,2022,2,7,23,-191.9,-5.1,92.7,6.4,185.9,77.18197,-61.11562,1893.84
2022-07-03 00:00:00,2022,3,7,0,-191.9,-5.4,92.3,6.6,173.1,77.18192,-61.11546,1893.82
2022-07-03 01:00:00,2022,3,7,1,-191.8,-5.5,92.5,6.6,187.2,77.18195,-61.11551,1893.82
2022-07-03 02:00:00,2022,3,7,2,-192.0,-5.7,92.8,7.1,174.5,77.18194,-61.11546,1893.82
2022-07-03 03:00:00,2022,3,7,3,-192.0,-5.8,92.6,6.8,181.8,77.18195,-61.11561,1893.82
2022-07-03 04:00:00,2022,3,7,4,-192.0,-5.8,92.6,6.5,185.2,77.18199,-61.11555,1893.82
2022-07-03 05:00:00,2022,3,7,5,-192.2,-6.0,92.4,6.9,178.5,77.18197,-61.11550,1893.82
2022-07-03 06:00:00,2022,3,7,6,-192.4,-6.0,92.3,7.6,176.7,77.18195,-61.11555,1893.82
2022-07-03 07:00:00,2022,3,7,7,-192.3,-5.8,92.3,7.6,185.7,77.18195,-61.11542,1893.82
2022-07-03 08:00:00,2022,3,7,8,-192.3,-5.7,92.3,7.6,183.0,77.18195,-61.11554,1893.82
