date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-203.3,-5.2,84.4,6.3,228.1,78.52882,-56.84425,1967.40
2022-07-01 01:00:00,2022,1,7,1,-203.0,-5.6,84.2,5.7,223.3,78.52880,-56.84417,1967.40
2022-07-01 02:00:00,2022,1,7,2,nan,-6.3,85.8,4.8,238.1,78.52881,-56.84415,1967.40
2022-07-01 03:00:00,2022,1,7,3,-202.8,-6.0,86.8,3.5,225.2,78.52885,-56.84419,1967.40
2022-07-01 04:00:00,2022,1,7,4,-202.7,-6.1,85.7,4.8,216.3,78.52881,-56.84407,1967.40
2022-07-01 05:00:00,2022,1,7,5,-202.8,-6.4,85.5,5.0,214.8,78.52883,-56.84424,1967.40
2022-07-01 06:00:00,2022,1,7,6,-202.7,-6.3,85.6,4.6,215.7,78.52881,-56.84419,1967.40
2022-07-01 07:00:00,2022,1,7,7,-202.6,-6.9,87.9,4.9,212.6,78.52887,-56.84423,1967.40
2022-07-01 08:00:00,2022,1,7,8,-202.5,-7.5,89.4,4.2,233.0,78.52881,-56.84408,1967.40
2022-07-01 09:00:00,2022,1,7,9,-202.6,-7.2,90.1,3.7,211.7,78.52886,-56.84425,1967.40
2022-07-01 10:00:00,2022,1,7,10,-202.9,-6.6,89.7,3.3,204.6,78.52879,-56.84395,1967.40
2022-07-01 11:00:00,2022,1,7,11,-203.0,-6.0,88.4,4.2,211.6,78.52885,-56.84422,1967.40
2022-07-01 12:00:00,2022,1,7,12,-203.1,-5.0,85.4,3.3,179.3,78.52888,-56.84437,1967.40
2022-07-01 13:00:00,2022,1,7,13,-203.2,-4.9,85.4,4.0,220.6,78.52873,-56.84433,1967.40
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,1967.40
2022-07-01 15:00:00,2022,1,7,15,-203.6,-3.7,82.2,2.6,171.0,78.52885,-56.84424,1967.40
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,1967.40
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,1967.40
2022-07-01 18:00:00,2022,1,7,18,-204.2,-2.6,74.0,3.1,200.3,78.52879,-56.84411,1967.40
2022-07-01 19:00:00,2022,1,7,19,-204.3,-2.6,73.6,2.1,181.4,78.52885,-56.84423,1967.40
2022-07-01 20:00:00,2022,1,7,20,-204.4,-2.6,77.2,1.1,168.2,78.52883,-56.84434,1967.40
2022-07-01 21:00:00,2022,1,7,21,-204.5,-2.6,74.0,1.4,133.9,78.52883,-56.84423,1967.40
2022-07-01 22:00:00,2022,1,7,22,-204.6,-3.9,77.2,1.2,112.4,78.52884,-56.84425,1967.40
2022-07-01 23:00:00,2022,1,7,23,-204.8,-5.1,75.9,2.4,166.3,78.52885,-56.84424,1967.40
2022-07-02 00:00:00,2022,2,7,0,-205.2,-6.1,76.4,1.8,126.0,78.52880,-56.84423,1967.41
2022-07-02 01:00:00,2022,2,7,1,-205.5,-9.0,79.9,2.2,138.9,78.52880,-56.84406,1967.41
2022-07-02 02:00:00,2022,2,7,2,-205.8,-9.8,79.9,2.9,141.0,78.52881,-56.84415,1967.41
2022-07-02 03:00:00,2022,2,7,3,-206.0,-10.4,81.1,3.0,141.4,78.52881,-56.84417,1967.41
2022-07-02 04:00:00,2022,2,7,4,-206.3,-11.1,81.4,2.5,146.5,78.52881,-56.84414,1967.41
2022-07-02 05:00:00,2022,2,7,5,-206.4,-10.9,85.1,3.2,168.9,78.52887,-56.84416,1967.41
2022-07-02 06:00:00,2022,2,7,6,-206.5,-11.0,86.3,3.0,177.3,78.52882,-56.84416,1967.41
2022-07-02 07:00:00,2022,2,7,7,-206.2,-10.7,88.8,2.4,199.2,78.52882,-56.84411,1967.41
2022-07-02 08:00:00,2022,2,7,8,-206.0,-6.4,86.3,4.4,201.2,78.52882,-56.84423,1967.41
2022-07-02 09:00:00,2022,2,7,9,-205.6,-7.3,85.4,3.4,198.9,78.52890,-56.84415,1967.41
2022-07-02 10:00:00,2022,2,7,10,-205.5,-6.4,85.4,5.9,200.0,78.52879,-56.84425,1967.41
2022-07-02 11:00:00,2022,2,7,11,-205.4,-7.1,85.6,5.0,197.8,78.52884,-56.84421,1967.41
2022-07-02 12:00:00,2022,2,7,12,nan,,nan,nan,nan,nan,nan,1967.41
2022-07-02 13:00:00,2022,2,7,13,-204.9,-5.4,84.5,6.1,222.7,78.52877,-56.84440,1967.41
2022-07-02 14:00:00,2022,2,7,14,-204.7,-5.4,85.0,5.7,233.3,78.52883,-56.84423,1967.41
2022-07-02 15:00:00,2022,2,7,15,-204.4,-5.1,83.7,5.1,226.6,78.52881,-56.84424,1967.41
2022-07-02 16:00:00,2022,2,7,16,nan,,nan,nan,nan,nan,nan,1967.41
2022-07-02 17:00:00,2022,2,7,17,-203.9,-4.4,86.5,5.8,226.4,78.52886,-56.84421,1967.41
2022-07-02 18:00:00,2022,2,7,18,-203.5,-4.3,87.1,5.7,240.9,78.52880,-56.84415,1967.41
2022-07-02 19:00:00,2022,2,7,19,-202.9,-4.4,87.5,6.0,229.8,78.52888,-56.84418,1967.41
2022-07-02 20:00:00,2022,2,7,20,-202.7,-4.3,89.5,6.4,233.7,78.52886,-56.84427,1967.41
2022-07-02 21:00:00,2022,2,7,21,-202.6,-4.4,89.9,7.1,232.1,78.52880,-56.84426,1967.41
2022-07-02 22:00:00,2022,2,7,22,-202.3,-4.5,89.1,7.1,234.3,78.52879,-56.84430,1967.41
2022-07-02 23:00:00,2022,2,7,23,-202.2,-4.7,90.4,6.5,231.8,78.52882,-56.84412,1967.41
