date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-90.6,1.8,88.8,4.3,105.4,69.49223,-49.71994,907.58
2022-07-01 01:00:00,2022,1,7,1,-91.0,1.5,88.9,4.5,101.7,69.49224,-49.71993,907.58
2022-07-01 02:00:00,2022,1,7,2,-91.4,1.2,89.2,4.1,89.1,69.49223,-49.71995,907.58
2022-07-01 03:00:00,2022,1,7,3,-91.9,0.3,90.8,4.9,79.3,69.49223,-49.71993,907.58
2022-07-01 04:00:00,2022,1,7,4,-92.4,0.7,89.2,5.7,79.9,69.49223,-49.71995,907.58
2022-07-01 05:00:00,2022,1,7,5,-93.0,0.5,88.3,6.4,81.7,69.49224,-49.71998,907.58
2022-07-01 06:00:00,2022,1,7,6,-93.3,0.8,84.9,7.8,85.5,69.49224,-49.71997,907.58
2022-07-01 07:00:00,2022,1,7,7,-93.5,1.3,81.8,7.4,91.1,69.49223,-49.71999,907.58
2022-07-01 08:00:00,2022,1,7,8,-93.8,1.4,79.4,8.9,84.9,69.49223,-49.71996,907.58
2022-07-01 09:00:00,2022,1,7,9,-94.2,1.5,78.5,9.6,85.7,69.49224,-49.71996,907.58
2022-07-01 10:00:00,2022,1,7,10,-94.7,1.8,78.4,9.7,91.4,69.49224,-49.71998,907.58
2022-07-01 11:00:00,2022,1,7,11,-95.4,2.1,77.2,11.9,105.8,69.49224,-49.71996,907.58
2022-07-01 12:00:00,2022,1,7,12,-95.1,2.4,76.1,11.2,97.3,69.49224,-49.71997,907.58
2022-07-01 13:00:00,2022,1,7,13,-95.3,2.6,79.0,11.1,103.1,69.49225,-49.71996,907.58
2022-07-01 14:00:00,2022,1,7,14,-95.1,2.5,82.5,8.6,102.8,69.49224,-49.71998,907.58
2022-07-01 15:00:00,2022,1,7,15,-95.2,2.6,83.0,7.8,108.2,69.49224,-49.71994,907.58
2022-07-01 16:00:00,2022,1,7,16,-95.1,2.2,87.6,5.8,121.2,69.49224,-49.71994,907.58
2022-07-01 17:00:00,2022,1,7,17,-94.7,2.2,88.2,4.3,118.9,69.49224,-49.71990,907.58
