date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-62.6,4.403,70.3,5.4,97.5,67.09390,-49.96427,635.01
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 06:00:00,2022,1,7,6,-63.6,3.473,80.8,3.6,105.3,67.09390,-49.96430,635.01
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 09:00:00,2022,1,7,9,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 10:00:00,2022,1,7,10,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 11:00:00,2022,1,7,11,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 12:00:00,2022,1,7,12,-64.8,3.895,88.8,4.3,115.7,67.09390,-49.96427,635.01
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 15:00:00,2022,1,7,15,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 18:00:00,2022,1,7,18,-63.3,3.576,90.3,2.8,108.7,67.09392,-49.96429,635.01
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 21:00:00,2022,1,7,21,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,635.01
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,635.01
2022-07-02 00:00:00,2022,2,7,0,-61.5,3.811,89.0,3.1,107.5,67.09390,-49.96430,634.98
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 04:00:00,2022,2,7,4,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 05:00:00,2022,2,7,5,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 06:00:00,2022,2,7,6,-59.0,2.414,95.3,3.2,116.3,67.09388,-49.96426,634.98
2022-07-02 07:00:00,2022,2,7,7,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 08:00:00,2022,2,7,8,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 09:00:00,2022,2,7,9,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 10:00:00,2022,2,7,10,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 12:00:00,2022,2,7,12,-56.9,3.173,82.7,3.1,99.6,67.09391,-49.96430,634.98
2022-07-02 13:00:00,2022,2,7,13,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 14:00:00,2022,2,7,14,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 15:00:00,2022,2,7,15,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 16:00:00,2022,2,7,16,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 17:00:00,2022,2,7,17,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 18:00:00,2022,2,7,18,-55.4,4.083,71.8,4.6,101.0,67.09391,-49.96431,634.98
2022-07-02 19:00:00,2022,2,7,19,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 20:00:00,2022,2,7,20,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 21:00:00,2022,2,7,21,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 22:00:00,2022,2,7,22,nan,,nan,nan,nan,nan,nan,634.98
2022-07-02 23:00:00,2022,2,7,23,nan,,nan,nan,nan,nan,nan,634.98
2022-07-03 00:00:00,2022,3,7,0,-56.0,3.936,75.5,3.4,99.2,67.09389,-49.96427,634.95
2022-07-03 01:00:00,2022,3,7,1,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 02:00:00,2022,3,7,2,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 03:00:00,2022,3,7,3,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 04:00:00,2022,3,7,4,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 05:00:00,2022,3,7,5,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 06:00:00,2022,3,7,6,-57.5,2.838,72.9,5.3,91.6,67.09390,-49.96433,634.95
2022-07-03 07:00:00,2022,3,7,7,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 08:00:00,2022,3,7,8,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 09:00:00,2022,3,7,9,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 10:00:00,2022,3,7,10,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 11:00:00,2022,3,7,11,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 12:00:00,2022,3,7,12,-61.1,3.279,71.5,5.5,112.1,67.09390,-49.96430,634.95
2022-07-03 13:00:00,2022,3,7,13,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 14:00:00,2022,3,7,14,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 15:00:00,2022,3,7,15,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 16:00:00,2022,3,7,16,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 17:00:00,2022,3,7,17,nan,,nan,nan,nan,nan,nan,634.95
2022-07-03 18:00:00,2022,3,7,18,-63.7,4.781,64.8,4.8,99.4,67.09390,-49.96436,634.95
