date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-33.3,4.472,62.1,7.4,14.6,79.91079,-24.08092,361.08
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 06:00:00,2022,1,7,6,-31.4,3.859,67.0,6.9,25.6,79.91080,-24.08099,361.08
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 09:00:00,2022,1,7,9,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 10:00:00,2022,1,7,10,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 11:00:00,2022,1,7,11,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 12:00:00,2022,1,7,12,-30.1,4.364,66.4,6.4,15.4,79.91081,-24.08098,361.08
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 15:00:00,2022,1,7,15,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 18:00:00,2022,1,7,18,-30.3,4.175,68.7,6.7,359.9,79.91081,-24.08096,361.08
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 21:00:00,2022,1,7,21,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,361.08
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,361.08
2022-07-02 00:00:00,2022,2,7,0,-30.6,4.092,68.7,4.1,18.8,79.91081,-24.08094,361.07
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 04:00:00,2022,2,7,4,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 05:00:00,2022,2,7,5,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 06:00:00,2022,2,7,6,-32.9,4.873,61.6,4.1,63.2,79.91080,-24.08094,361.07
2022-07-02 07:00:00,2022,2,7,7,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 08:00:00,2022,2,7,8,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 09:00:00,2022,2,7,9,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 10:00:00,2022,2,7,10,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 12:00:00,2022,2,7,12,-34.0,4.071,66.5,2.4,80.4,79.91080,-24.08100,361.07
2022-07-02 13:00:00,2022,2,7,13,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 14:00:00,2022,2,7,14,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 15:00:00,2022,2,7,15,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 16:00:00,2022,2,7,16,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 17:00:00,2022,2,7,17,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 18:00:00,2022,2,7,18,-33.6,3.775,68.3,6.3,13.5,79.91081,-24.08095,361.07
2022-07-02 19:00:00,2022,2,7,19,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 20:00:00,2022,2,7,20,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 21:00:00,2022,2,7,21,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 22:00:00,2022,2,7,22,nan,,nan,nan,nan,nan,nan,361.07
2022-07-02 23:00:00,2022,2,7,23,nan,,nan,nan,nan,nan,nan,361.07
2022-07-03 00:00:00,2022,3,7,0,-31.0,3.818,68.4,6.5,6.7,79.91079,-24.08092,361.06
2022-07-03 01:00:00,2022,3,7,1,nan,,nan,nan,nan,nan,nan,361.06
2022-07-03 02:00:00,2022,3,7,2,nan,,nan,nan,nan,nan,nan,361.06
2022-07-03 03:00:00,2022,3,7,3,nan,,nan,nan,nan,nan,nan,361.06
2022-07-03 04:00:00,2022,3,7,4,nan,,nan,nan,nan,nan,nan,361.06
2022-07-03 05:00:00,2022,3,7,5,nan,,nan,nan,nan,nan,nan,361.06
2022-07-03 06:00:00,2022,3,7,6,-29.8,3.48,70.7,nan,nan,79.91081,-24.08100,361.06
2022-07-03 07:00:00,2022,3,7,7,nan,,nan,nan,nan,nan,nan,361.06
2022-07-03 08:00:00,2022,3,7,8,nan,,nan,nan,nan,nan,nan,361.06
2022-07-03 09:00:00,2022,3,7,9,nan,,nan,nan,nan,nan,nan,361.06
