date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-35.8,4.9,69.1,6.8,300.6,79.91388,-24.09352,375.20
2022-07-01 01:00:00,2022,1,7,1,-35.6,4.3,72.4,7.4,281.9,79.91385,-24.09348,375.20
2022-07-01 02:00:00,2022,1,7,2,-35.2,4.4,72.1,7.6,288.0,79.91388,-24.09360,375.20
2022-07-01 03:00:00,2022,1,7,3,-34.8,4.4,72.0,7.2,281.8,79.91388,-24.09367,375.20
2022-07-01 04:00:00,2022,1,7,4,-34.5,4.6,71.0,7.2,293.6,79.91386,-24.09360,375.20
2022-07-01 05:00:00,2022,1,7,5,-34.6,4.7,70.9,7.4,302.1,79.91388,-24.09364,375.20
2022-07-01 06:00:00,2022,1,7,6,-34.1,4.5,72.2,6.6,296.0,79.91387,-24.09369,375.20
2022-07-01 07:00:00,2022,1,7,7,-33.7,4.2,74.0,6.2,302.6,79.91388,-24.09362,375.20
2022-07-01 08:00:00,2022,1,7,8,-33.4,4.7,71.9,6.4,298.2,79.91386,-24.09364,375.20
2022-07-01 09:00:00,2022,1,7,9,-33.3,4.6,72.9,6.2,308.5,79.91388,-24.09369,375.20
2022-07-01 10:00:00,2022,1,7,10,-33.0,4.5,72.9,6.4,293.0,79.91388,-24.09380,375.20
2022-07-01 11:00:00,2022,1,7,11,-32.6,4.7,72.8,6.4,284.8,79.91388,-24.09352,375.20
2022-07-01 12:00:00,2022,1,7,12,-32.7,4.9,72.2,6.2,295.0,79.91388,-24.09364,375.20
2022-07-01 13:00:00,2022,1,7,13,-32.4,4.7,73.5,6.1,296.7,79.91389,-24.09359,375.20
2022-07-01 14:00:00,2022,1,7,14,-32.6,4.8,72.8,6.1,291.8,79.91388,-24.09360,375.20
2022-07-01 15:00:00,2022,1,7,15,-32.5,4.6,74.7,5.9,293.6,79.91388,-24.09359,375.20
2022-07-01 16:00:00,2022,1,7,16,-32.8,4.6,74.4,5.9,293.7,79.91388,-24.09369,375.20
2022-07-01 17:00:00,2022,1,7,17,-32.7,4.6,74.5,6.2,284.8,79.91388,-24.09345,375.20
2022-07-01 18:00:00,2022,1,7,18,-32.9,4.4,75.7,6.7,284.8,79.91387,-24.09351,375.20
2022-07-01 19:00:00,2022,1,7,19,-32.9,4.4,76.3,6.5,287.5,79.91389,-24.09361,375.20
2022-07-01 20:00:00,2022,1,7,20,-32.9,4.4,75.6,6.2,285.0,79.91388,-24.09366,375.20
2022-07-01 21:00:00,2022,1,7,21,-32.8,4.3,76.1,5.9,277.5,79.91389,-24.09371,375.20
