date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-91.0,0.357,74.8,5.8,15.1,79.83499,-25.16245,865.12
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 06:00:00,2022,1,7,6,-89.6,-0.063,76.0,6.1,13.5,79.83501,-25.16248,865.12
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 09:00:00,2022,1,7,9,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 10:00:00,2022,1,7,10,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 11:00:00,2022,1,7,11,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 12:00:00,2022,1,7,12,-87.7,1.237,77.3,3.6,26.9,79.83500,-25.16241,865.12
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 15:00:00,2022,1,7,15,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 18:00:00,2022,1,7,18,-88.0,1.111,79.7,3.6,28.6,79.83500,-25.16247,865.12
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 21:00:00,2022,1,7,21,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,865.12
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,865.12
2022-07-02 00:00:00,2022,2,7,0,-89.3,1.007,82.1,4.1,22.8,79.83501,-25.16246,865.11
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 04:00:00,2022,2,7,4,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 05:00:00,2022,2,7,5,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 06:00:00,2022,2,7,6,-91.1,0.525,78.6,6.6,31.6,79.83501,-25.16241,865.11
2022-07-02 07:00:00,2022,2,7,7,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 08:00:00,2022,2,7,8,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 09:00:00,2022,2,7,9,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 10:00:00,2022,2,7,10,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 12:00:00,2022,2,7,12,-92.1,0.713,79.7,4.6,20.3,79.83501,-25.16249,865.11
2022-07-02 13:00:00,2022,2,7,13,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 14:00:00,2022,2,7,14,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 15:00:00,2022,2,7,15,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 16:00:00,2022,2,7,16,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 17:00:00,2022,2,7,17,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 18:00:00,2022,2,7,18,-91.8,0.944,80.1,3.7,29.0,79.83500,-25.16251,865.11
2022-07-02 19:00:00,2022,2,7,19,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 20:00:00,2022,2,7,20,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 21:00:00,2022,2,7,21,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 22:00:00,2022,2,7,22,nan,,nan,nan,nan,nan,nan,865.11
2022-07-02 23:00:00,2022,2,7,23,nan,,nan,nan,nan,nan,nan,865.11
2022-07-03 00:00:00,2022,3,7,0,-89.0,0.671,79.2,4.2,17.6,79.83500,-25.16246,865.11
2022-07-03 01:00:00,2022,3,7,1,nan,,nan,nan,nan,nan,nan,865.11
2022-07-03 02:00:00,2022,3,7,2,nan,,nan,nan,nan,nan,nan,865.11
2022-07-03 03:00:00,2022,3,7,3,nan,,nan,nan,nan,nan,nan,865.11
2022-07-03 04:00:00,2022,3,7,4,nan,,nan,nan,nan,nan,nan,865.11
2022-07-03 05:00:00,2022,3,7,5,nan,,nan,nan,nan,nan,nan,865.11
2022-07-03 06:00:00,2022,3,7,6,-88.0,0.042,79.9,3.7,354.5,79.83502,-25.16245,865.11
2022-07-03 07:00:00,2022,3,7,7,nan,,nan,nan,nan,nan,nan,865.11
