date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-49.4,2.497,80.4,2.4,257.0,69.31915,-53.54355,539.12
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 06:00:00,2022,1,7,6,-52.3,5.542,63.2,1.2,155.1,69.31915,-53.54355,539.12
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 09:00:00,2022,1,7,9,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 10:00:00,2022,1,7,10,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 11:00:00,2022,1,7,11,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 12:00:00,2022,1,7,12,-53.9,4.786,67.0,1.9,238.5,69.31915,-53.54355,539.12
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 15:00:00,2022,1,7,15,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 18:00:00,2022,1,7,18,-53.8,5.941,68.5,2.5,254.6,69.31915,-53.54355,539.12
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 21:00:00,2022,1,7,21,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,539.12
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,539.12
2022-07-02 00:00:00,2022,2,7,0,-51.6,4.198,73.7,3.4,252.1,69.31915,-53.54355,539.10
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 04:00:00,2022,2,7,4,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 05:00:00,2022,2,7,5,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 06:00:00,2022,2,7,6,-48.8,2.938,82.1,1.5,293.9,69.31915,-53.54355,539.10
2022-07-02 07:00:00,2022,2,7,7,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 08:00:00,2022,2,7,8,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 09:00:00,2022,2,7,9,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 10:00:00,2022,2,7,10,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 12:00:00,2022,2,7,12,-45.9,2.349,87.2,0.3,320.8,69.31890,-53.54393,539.10
2022-07-02 13:00:00,2022,2,7,13,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 14:00:00,2022,2,7,14,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 15:00:00,2022,2,7,15,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 16:00:00,2022,2,7,16,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 17:00:00,2022,2,7,17,nan,,nan,nan,nan,nan,nan,539.10
2022-07-02 18:00:00,2022,2,7,18,-44.5,3.712,77.8,3.5,278.3,69.31894,-53.54381,539.10
