date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-94.7,2.204,84.3,2.6,121.7,69.30427,-53.59015,940.45
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 03:00:00,2022,1,7,3,-96.1,2.099,85.2,4.1,113.2,69.30426,-53.59019,940.45
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 06:00:00,2022,1,7,6,-97.7,2.459,76.6,5.3,96.3,69.30427,-53.59023,940.45
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 09:00:00,2022,1,7,9,-98.9,3.668,69.1,3.0,92.8,69.30426,-53.59017,940.45
2022-07-01 10:00:00,2022,1,7,10,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 11:00:00,2022,1,7,11,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 12:00:00,2022,1,7,12,-98.7,4.559,65.6,1.5,134.3,69.30427,-53.59021,940.45
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 15:00:00,2022,1,7,15,-99.2,3.795,78.0,2.1,3.8,69.30426,-53.59015,940.45
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 18:00:00,2022,1,7,18,-99.0,4.154,73.2,1.5,287.6,69.30429,-53.59014,940.45
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 21:00:00,2022,1,7,21,-97.9,3.731,73.8,1.7,317.7,69.30428,-53.59016,940.45
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,940.45
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,940.45
2022-07-02 00:00:00,2022,2,7,0,-96.6,3.647,72.5,1.3,285.7,69.30427,-53.59013,940.43
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,940.43
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,940.43
