date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-114.6,2.8,87.8,4.3,131.1,64.50941,-49.28227,1116.44
2022-07-01 01:00:00,2022,1,7,1,-114.8,2.2,92.4,3.6,108.3,64.50942,-49.28229,1116.44
2022-07-01 02:00:00,2022,1,7,2,-115.3,2.4,93.3,4.2,121.9,64.50941,-49.28228,1116.44
2022-07-01 03:00:00,2022,1,7,3,-115.8,2.5,93.7,3.9,133.7,64.50941,-49.28231,1116.44
2022-07-01 04:00:00,2022,1,7,4,-116.0,2.6,97.2,3.8,142.9,64.50941,-49.28233,1116.44
2022-07-01 05:00:00,2022,1,7,5,-116.0,1.9,98.5,3.4,129.1,64.50940,-49.28233,1116.44
2022-07-01 06:00:00,2022,1,7,6,-116.1,2.4,96.3,5.9,161.8,64.50941,-49.28236,1116.44
2022-07-01 07:00:00,2022,1,7,7,-116.1,2.0,97.7,6.5,160.3,64.50941,-49.28233,1116.44
2022-07-01 08:00:00,2022,1,7,8,-116.1,1.9,96.7,4.1,150.7,64.50941,-49.28230,1116.44
2022-07-01 09:00:00,2022,1,7,9,-116.2,1.8,95.5,3.4,139.3,64.50940,-49.28231,1116.44
2022-07-01 10:00:00,2022,1,7,10,-116.6,2.3,91.0,5.1,151.7,64.50941,-49.28230,1116.44
2022-07-01 11:00:00,2022,1,7,11,-116.6,2.4,88.1,6.2,155.3,64.50941,-49.28231,1116.44
2022-07-01 12:00:00,2022,1,7,12,-116.4,2.6,85.6,6.1,149.4,64.50942,-49.28235,1116.44
2022-07-01 13:00:00,2022,1,7,13,-116.4,2.3,87.1,5.5,166.2,64.50942,-49.28233,1116.44
2022-07-01 14:00:00,2022,1,7,14,-116.2,2.5,87.1,5.2,148.1,64.50940,-49.28233,1116.44
2022-07-01 15:00:00,2022,1,7,15,-116.2,2.3,88.4,4.8,158.2,64.50941,-49.28233,1116.44
2022-07-01 16:00:00,2022,1,7,16,-116.1,1.7,91.0,5.3,168.6,64.50940,-49.28230,1116.44
2022-07-01 17:00:00,2022,1,7,17,-115.9,1.3,92.3,5.6,148.1,64.50942,-49.28233,1116.44
2022-07-01 18:00:00,2022,1,7,18,-115.4,1.6,89.7,3.5,162.0,64.50939,-49.28230,1116.44
2022-07-01 19:00:00,2022,1,7,19,-115.4,1.5,89.5,5.7,157.9,64.50941,-49.28231,1116.44
2022-07-01 20:00:00,2022,1,7,20,-115.0,1.6,88.5,3.6,170.2,64.50942,-49.28232,1116.44
2022-07-01 21:00:00,2022,1,7,21,-114.6,1.2,91.4,3.6,159.7,64.50941,-49.28232,1116.44
2022-07-01 22:00:00,2022,1,7,22,-114.4,0.7,95.2,2.7,159.5,64.50943,-49.28234,1116.44
2022-07-01 23:00:00,2022,1,7,23,-114.0,0.9,90.5,5.0,173.3,64.50941,-49.28230,1116.44
2022-07-02 00:00:00,2022,2,7,0,-113.7,0.7,92.1,6.0,144.7,64.50940,-49.28231,1116.42
2022-07-02 01:00:00,2022,2,7,1,-113.3,0.5,91.5,5.9,166.1,64.50941,-49.28230,1116.42
