date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-13.2,4.085,82.7,4.3,84.0,61.03048,-46.84964,246.43
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 06:00:00,2022,1,7,6,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 09:00:00,2022,1,7,9,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 10:00:00,2022,1,7,10,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 11:00:00,2022,1,7,11,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 12:00:00,2022,1,7,12,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 15:00:00,2022,1,7,15,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 18:00:00,2022,1,7,18,-14.9,5.161,79.3,3.6,354.4,61.03049,-46.84959,246.43
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 21:00:00,2022,1,7,21,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,246.43
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,246.43
2022-07-02 00:00:00,2022,2,7,0,-13.7,5.778,71.5,1.0,133.2,61.03049,-46.84958,246.37
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 04:00:00,2022,2,7,4,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 05:00:00,2022,2,7,5,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 06:00:00,2022,2,7,6,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 07:00:00,2022,2,7,7,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 08:00:00,2022,2,7,8,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 09:00:00,2022,2,7,9,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 10:00:00,2022,2,7,10,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 12:00:00,2022,2,7,12,-10.7,4.778,74.8,4.1,43.1,61.03050,-46.84980,246.37
2022-07-02 13:00:00,2022,2,7,13,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 14:00:00,2022,2,7,14,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 15:00:00,2022,2,7,15,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 16:00:00,2022,2,7,16,nan,,nan,nan,nan,nan,nan,246.37
2022-07-02 17:00:00,2022,2,7,17,nan,,nan,nan,nan,nan,nan,246.37
