date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-287.8,-6.6,90.6,2.8,297.9,63.14900,-44.81735,2891.11
2022-07-01 01:00:00,2022,1,7,1,-288.0,-5.9,91.3,2.5,280.5,63.14898,-44.81735,2891.11
2022-07-01 02:00:00,2022,1,7,2,-288.3,-5.3,92.1,1.9,263.9,63.14899,-44.81734,2891.11
2022-07-01 03:00:00,2022,1,7,3,-288.3,-4.2,93.0,2.1,269.3,63.14901,-44.81734,2891.11
2022-07-01 04:00:00,2022,1,7,4,-288.7,-4.6,92.5,3.1,246.4,63.14899,-44.81749,2891.11
2022-07-01 05:00:00,2022,1,7,5,-289.0,-5.1,92.0,3.4,249.2,63.14902,-44.81736,2891.11
2022-07-01 06:00:00,2022,1,7,6,-289.4,-5.0,92.1,3.3,254.5,63.14901,-44.81739,2891.11
2022-07-01 07:00:00,2022,1,7,7,-289.6,-3.7,92.9,4.2,238.5,63.14898,-44.81738,2891.11
2022-07-01 08:00:00,2022,1,7,8,-289.8,-4.2,92.5,3.2,224.7,63.14895,-44.81737,2891.11
2022-07-01 09:00:00,2022,1,7,9,-290.3,-3.2,93.0,2.8,213.8,63.14898,-44.81749,2891.11
2022-07-01 10:00:00,2022,1,7,10,-290.5,-4.4,91.3,5.3,245.9,63.14899,-44.81735,2891.11
2022-07-01 11:00:00,2022,1,7,11,-290.7,-4.6,91.0,3.5,239.1,63.14897,-44.81741,2891.11
2022-07-01 12:00:00,2022,1,7,12,-291.0,-3.9,92.5,1.5,175.3,63.14902,-44.81735,2891.11
2022-07-01 13:00:00,2022,1,7,13,-291.1,-3.7,92.4,2.5,220.7,63.14900,-44.81741,2891.11
2022-07-01 14:00:00,2022,1,7,14,-291.2,-3.1,90.3,3.4,249.9,63.14911,-44.81733,2891.11
2022-07-01 15:00:00,2022,1,7,15,-291.5,-4.2,89.4,4.9,251.0,63.14898,-44.81736,2891.11
2022-07-01 16:00:00,2022,1,7,16,-291.7,-5.0,88.4,5.6,261.3,63.14898,-44.81729,2891.11
2022-07-01 17:00:00,2022,1,7,17,-291.7,-5.2,88.2,5.3,287.2,63.14902,-44.81739,2891.11
2022-07-01 18:00:00,2022,1,7,18,-291.6,-5.3,87.8,5.2,278.6,63.14906,-44.81747,2891.11
2022-07-01 19:00:00,2022,1,7,19,-291.5,-6.3,87.3,5.2,299.6,63.14901,-44.81734,2891.11
2022-07-01 20:00:00,2022,1,7,20,-291.3,-6.8,86.8,5.0,297.4,63.14899,-44.81737,2891.11
2022-07-01 21:00:00,2022,1,7,21,-291.4,-7.3,87.0,5.3,295.0,63.14901,-44.81735,2891.11
2022-07-01 22:00:00,2022,1,7,22,-291.2,-8.6,87.0,4.2,323.3,63.14901,-44.81737,2891.11
2022-07-01 23:00:00,2022,1,7,23,-291.2,-8.4,88.5,4.7,296.1,63.14902,-44.81732,2891.11
2022-07-02 00:00:00,2022,2,7,0,-291.0,-8.7,88.3,4.8,324.1,63.14904,-44.81731,2891.11
2022-07-02 01:00:00,2022,2,7,1,-290.9,-8.9,88.2,4.7,325.7,63.14899,-44.81736,2891.11
2022-07-02 02:00:00,2022,2,7,2,-290.9,-9.1,88.2,4.7,315.1,63.14899,-44.81737,2891.11
2022-07-02 03:00:00,2022,2,7,3,-290.8,-9.1,88.0,5.1,301.6,63.14901,-44.81739,2891.11
2022-07-02 04:00:00,2022,2,7,4,-290.5,-9.2,87.4,5.3,318.9,63.14897,-44.81736,2891.11
2022-07-02 05:00:00,2022,2,7,5,-290.5,-9.4,87.0,5.0,332.3,63.14896,-44.81734,2891.11
2022-07-02 06:00:00,2022,2,7,6,-290.2,-9.3,88.9,5.3,331.1,63.14901,-44.81741,2891.11
2022-07-02 07:00:00,2022,2,7,7,-289.8,-9.6,87.8,6.2,330.1,63.14888,-44.81746,2891.11
2022-07-02 08:00:00,2022,2,7,8,-289.8,-10.3,85.8,5.0,321.8,63.14899,-44.81736,2891.11
