date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-114.2,0.6,96.1,3.9,94.7,69.55289,-49.37438,1120.38
2022-07-01 01:00:00,2022,1,7,1,-114.5,0.4,94.5,3.6,92.6,69.55291,-49.37420,1120.38
2022-07-01 02:00:00,2022,1,7,2,-114.7,0.2,94.1,3.4,76.6,69.55289,-49.37425,1120.38
2022-07-01 03:00:00,2022,1,7,3,-115.0,-0.2,94.0,3.4,80.0,69.55289,-49.37423,1120.38
2022-07-01 04:00:00,2022,1,7,4,-115.3,-1.0,94.7,2.5,72.9,69.55290,-49.37424,1120.38
2022-07-01 05:00:00,2022,1,7,5,-115.9,-1.3,94.2,4.4,72.5,69.55288,-49.37425,1120.38
2022-07-01 06:00:00,2022,1,7,6,-116.3,-1.2,93.4,4.3,64.9,69.55292,-49.37426,1120.38
2022-07-01 07:00:00,2022,1,7,7,-116.7,-1.5,91.5,4.3,73.9,69.55289,-49.37425,1120.38
2022-07-01 08:00:00,2022,1,7,8,-116.9,-1.1,87.8,5.4,69.7,69.55285,-49.37429,1120.38
2022-07-01 09:00:00,2022,1,7,9,-117.0,-1.1,85.5,6.4,80.9,nan,nan,1120.38
2022-07-01 10:00:00,2022,1,7,10,-117.5,-1.0,83.9,7.3,78.2,69.55288,-49.37431,1120.38
2022-07-01 11:00:00,2022,1,7,11,-117.8,-1.2,84.6,7.7,66.6,69.55292,-49.37428,1120.38
2022-07-01 12:00:00,2022,1,7,12,-118.1,-0.5,82.3,8.5,82.3,69.55290,-49.37423,1120.38
2022-07-01 13:00:00,2022,1,7,13,-118.5,-0.2,82.2,9.0,71.4,69.55292,-49.37425,1120.38
2022-07-01 14:00:00,2022,1,7,14,-118.5,0.4,82.5,8.9,77.4,69.55289,-49.37427,1120.38
2022-07-01 15:00:00,2022,1,7,15,-118.5,1.1,82.4,8.7,83.4,69.55289,-49.37431,1120.38
2022-07-01 16:00:00,2022,1,7,16,-118.8,1.3,84.3,8.3,91.8,nan,nan,1120.38
2022-07-01 17:00:00,2022,1,7,17,-119.0,1.6,85.0,8.0,91.9,69.55286,-49.37423,1120.38
2022-07-01 18:00:00,2022,1,7,18,-119.0,1.7,86.9,6.8,103.1,69.55289,-49.37425,1120.38
2022-07-01 19:00:00,2022,1,7,19,-118.7,1.6,88.0,5.8,110.7,69.55291,-49.37425,1120.38
2022-07-01 20:00:00,2022,1,7,20,-118.3,1.6,90.3,3.2,100.3,69.55290,-49.37421,1120.38
2022-07-01 21:00:00,2022,1,7,21,-118.0,1.6,92.7,4.5,118.1,69.55291,-49.37417,1120.38
2022-07-01 22:00:00,2022,1,7,22,-117.6,1.2,95.6,3.2,122.7,69.55289,-49.37416,1120.38
2022-07-01 23:00:00,2022,1,7,23,-117.1,1.2,96.6,2.8,108.3,69.55290,-49.37428,1120.38
2022-07-02 00:00:00,2022,2,7,0,-116.6,0.6,99.4,2.7,118.3,69.55290,-49.37422,1120.37
2022-07-02 01:00:00,2022,2,7,1,-116.3,0.9,96.8,2.4,121.0,69.55290,-49.37425,1120.37
2022-07-02 02:00:00,2022,2,7,2,-116.0,0.5,98.8,1.8,151.6,69.55290,-49.37426,1120.37
2022-07-02 03:00:00,2022,2,7,3,-115.7,0.3,100.0,1.5,156.3,69.55288,-49.37427,1120.37
2022-07-02 04:00:00,2022,2,7,4,-115.3,0.1,100.0,1.3,135.7,69.55289,-49.37421,1120.37
2022-07-02 05:00:00,2022,2,7,5,-114.9,0.0,100.0,1.2,139.4,69.55288,-49.37423,1120.37
2022-07-02 06:00:00,2022,2,7,6,-114.7,0.0,100.0,1.0,118.0,69.55292,-49.37420,1120.37
2022-07-02 07:00:00,2022,2,7,7,-114.5,0.0,100.0,0.6,154.6,69.55289,-49.37423,1120.37
2022-07-02 08:00:00,2022,2,7,8,-114.0,-0.2,100.0,1.7,214.8,69.55286,-49.37430,1120.37
2022-07-02 09:00:00,2022,2,7,9,-113.4,-0.3,100.0,1.4,225.9,69.55289,-49.37427,1120.37
2022-07-02 10:00:00,2022,2,7,10,-113.1,-0.1,100.0,1.3,265.9,69.55285,-49.37429,1120.37
2022-07-02 11:00:00,2022,2,7,11,-112.8,0.1,100.0,0.0,111.6,69.55290,-49.37427,1120.37
2022-07-02 12:00:00,2022,2,7,12,-112.4,0.2,100.0,0.5,136.9,69.55288,-49.37427,1120.37
2022-07-02 13:00:00,2022,2,7,13,-112.0,0.3,100.0,0.7,137.5,69.55291,-49.37430,1120.37
2022-07-02 14:00:00,2022,2,7,14,-111.7,0.7,100.0,0.7,173.7,69.55291,-49.37429,1120.37
2022-07-02 15:00:00,2022,2,7,15,-111.4,0.9,100.0,0.7,167.4,69.55287,-49.37430,1120.37
2022-07-02 16:00:00,2022,2,7,16,-111.2,1.1,99.4,0.7,67.5,69.55292,-49.37426,1120.37
2022-07-02 17:00:00,2022,2,7,17,-110.8,1.1,99.1,0.6,74.0,nan,nan,1120.37
2022-07-02 18:00:00,2022,2,7,18,-110.6,1.4,99.4,0.9,196.6,69.55290,-49.37427,1120.37
2022-07-02 19:00:00,2022,2,7,19,-110.4,4.9,98.2,nan,nan,69.55290,-49.37426,1120.37
2022-07-02 20:00:00,2022,2,7,20,-110.1,3.3,93.8,nan,nan,69.55287,-49.37426,1120.37
2022-07-02 21:00:00,2022,2,7,21,-110.0,1.0,96.9,1.2,30.7,69.55289,-49.37435,1120.37
2022-07-02 22:00:00,2022,2,7,22,-109.9,1.1,97.0,0.5,120.0,69.55290,-49.37428,1120.37
2022-07-02 23:00:00,2022,2,7,23,-110.0,1.1,93.3,0.8,24.0,69.55289,-49.37431,1120.37
2022-07-03 00:00:00,2022,3,7,0,-110.0,0.9,89.5,1.2,2.0,69.55288,-49.37430,1120.36
2022-07-03 01:00:00,2022,3,7,1,-110.1,0.5,92.2,1.4,41.4,69.55282,-49.37436,1120.36
2022-07-03 02:00:00,2022,3,7,2,-110.0,-0.5,95.6,1.3,58.6,69.55287,-49.37430,1120.36
2022-07-03 03:00:00,2022,3,7,3,-110.1,-1.6,98.4,1.2,82.1,69.55287,-49.37426,1120.36
2022-07-03 04:00:00,2022,3,7,4,-110.3,-1.3,98.6,1.9,95.4,69.55289,-49.37427,1120.36
2022-07-03 05:00:00,2022,3,7,5,-110.6,-1.3,96.4,2.1,74.8,69.55286,-49.37426,1120.36
2022-07-03 06:00:00,2022,3,7,6,-111.1,-1.1,92.0,3.7,82.6,69.55286,-49.37429,1120.36
2022-07-03 07:00:00,2022,3,7,7,-111.1,-0.5,88.9,4.4,89.2,69.55288,-49.37432,1120.36
2022-07-03 08:00:00,2022,3,7,8,-111.2,-1.9,89.6,3.4,70.2,69.55286,-49.37432,1120.36
2022-07-03 09:00:00,2022,3,7,9,-111.2,-2.2,87.8,5.3,71.2,69.55287,-49.37434,1120.36
2022-07-03 10:00:00,2022,3,7,10,-111.5,-1.9,85.9,6.5,72.0,69.55284,-49.37430,1120.36
2022-07-03 11:00:00,2022,3,7,11,-111.7,-1.4,84.8,6.5,68.7,69.55288,-49.37429,1120.36
2022-07-03 12:00:00,2022,3,7,12,-112.2,-1.5,83.8,7.1,71.9,69.55287,-49.37430,1120.36
2022-07-03 13:00:00,2022,3,7,13,-112.6,-1.0,83.8,7.7,78.9,69.55288,-49.37430,1120.36
2022-07-03 14:00:00,2022,3,7,14,-112.8,-0.5,82.9,8.3,77.3,69.55290,-49.37428,1120.36
2022-07-03 15:00:00,2022,3,7,15,-112.9,0.3,82.5,7.7,80.7,69.55286,-49.37429,1120.36
2022-07-03 16:00:00,2022,3,7,16,-113.1,0.6,81.5,6.0,83.6,69.55289,-49.37428,1120.36
2022-07-03 17:00:00,2022,3,7,17,-113.6,1.4,77.9,5.9,70.2,69.55287,-49.37429,1120.36
2022-07-03 18:00:00,2022,3,7,18,-114.0,1.8,79.0,2.7,74.0,69.55288,-49.37429,1120.36
2022-07-03 19:00:00,2022,3,7,19,-114.7,2.0,82.2,4.0,61.5,69.55287,-49.37433,1120.36
2022-07-03 20:00:00,2022,3,7,20,-115.4,2.1,82.0,5.5,60.5,69.55291,-49.37433,1120.36
2022-07-03 21:00:00,2022,3,7,21,-115.9,2.3,82.6,4.7,69.0,69.55288,-49.37431,1120.36
2022-07-03 22:00:00,2022,3,7,22,-116.3,3.2,76.3,3.7,97.7,69.55289,-49.37428,1120.36
2022-07-03 23:00:00,2022,3,7,23,-116.9,2.1,83.8,4.3,68.3,69.55290,-49.37430,1120.36
2022-07-04 00:00:00,2022,4,7,0,-117.5,2.0,84.5,4.3,58.1,69.55287,-49.37427,1120.36
2022-07-04 01:00:00,2022,4,7,1,-117.7,1.6,84.9,4.0,66.1,69.55290,-49.37431,1120.36
2022-07-04 02:00:00,2022,4,7,2,-118.3,1.7,82.7,5.2,65.3,69.55290,-49.37430,1120.36
2022-07-04 03:00:00,2022,4,7,3,-118.7,0.6,86.0,5.4,61.3,69.55289,-49.37433,1120.36
2022-07-04 04:00:00,2022,4,7,4,-119.2,0.0,87.5,5.6,81.2,69.55287,-49.37432,1120.36
2022-07-04 05:00:00,2022,4,7,5,-119.6,-0.4,88.7,5.8,78.4,69.55286,-49.37426,1120.36
2022-07-04 06:00:00,2022,4,7,6,-120.1,-1.0,89.2,6.0,79.2,69.55293,-49.37434,1120.36
2022-07-04 07:00:00,2022,4,7,7,-120.2,-1.2,88.1,6.1,68.9,69.55288,-49.37431,1120.36
2022-07-04 08:00:00,2022,4,7,8,-120.3,-1.5,87.9,5.9,77.7,69.55286,-49.37430,1120.36
2022-07-04 09:00:00,2022,4,7,9,-120.4,-1.3,86.8,5.6,81.5,69.55287,-49.37433,1120.36
2022-07-04 10:00:00,2022,4,7,10,-120.7,-0.9,86.1,6.2,71.5,69.55281,-49.37431,1120.36
2022-07-04 11:00:00,2022,4,7,11,-121.1,-0.1,86.7,6.1,70.6,69.55277,-49.37432,1120.36
2022-07-04 12:00:00,2022,4,7,12,-121.6,0.8,85.7,6.7,77.7,69.55288,-49.37439,1120.36
2022-07-04 13:00:00,2022,4,7,13,-121.9,1.4,86.0,6.8,93.3,69.55282,-49.37426,1120.36
2022-07-04 14:00:00,2022,4,7,14,-122.1,1.8,86.1,7.1,86.0,69.55289,-49.37430,1120.36
2022-07-04 15:00:00,2022,4,7,15,-122.3,2.1,85.3,7.2,88.6,69.55284,-49.37430,1120.36
2022-07-04 16:00:00,2022,4,7,16,-122.8,2.1,86.3,6.9,77.1,69.55286,-49.37428,1120.36
2022-07-04 17:00:00,2022,4,7,17,-123.2,2.2,85.9,5.6,79.3,69.55287,-49.37439,1120.36
2022-07-04 18:00:00,2022,4,7,18,-123.8,2.3,86.0,5.8,74.4,69.55286,-49.37434,1120.36
2022-07-04 19:00:00,2022,4,7,19,-124.1,2.3,87.0,4.9,69.7,nan,nan,1120.36
2022-07-04 20:00:00,2022,4,7,20,-124.4,2.3,87.6,5.6,65.6,69.55291,-49.37432,1120.36
2022-07-04 21:00:00,2022,4,7,21,-124.5,2.5,87.6,4.0,72.0,69.55288,-49.37430,1120.36
2022-07-04 22:00:00,2022,4,7,22,-124.8,2.4,88.8,5.2,70.7,69.55285,-49.37427,1120.36
2022-07-04 23:00:00,2022,4,7,23,-125.1,2.5,88.2,4.9,58.7,69.55289,-49.37430,1120.36
2022-07-05 00:00:00,2022,5,7,0,-125.2,2.5,88.4,5.8,64.4,69.55290,-49.37432,1120.35
2022-07-05 01:00:00,2022,5,7,1,-125.6,2.3,88.6,5.2,59.3,nan,nan,1120.35
2022-07-05 02:00:00,2022,5,7,2,-125.4,1.8,90.0,4.4,79.5,nan,nan,1120.35
2022-07-05 03:00:00,2022,5,7,3,-125.4,1.9,90.0,4.4,66.7,69.55288,-49.37430,1120.35
2022-07-05 04:00:00,2022,5,7,4,-125.2,1.9,90.1,5.1,77.1,69.55288,-49.37429,1120.35
2022-07-05 05:00:00,2022,5,7,5,-125.2,1.5,92.0,5.8,81.3,69.55286,-49.37428,1120.35
2022-07-05 06:00:00,2022,5,7,6,-125.1,1.0,93.8,5.3,91.6,nan,nan,1120.35
2022-07-05 07:00:00,2022,5,7,7,-124.7,1.0,94.9,6.5,110.2,69.55287,-49.37434,1120.35
2022-07-05 08:00:00,2022,5,7,8,-124.2,0.9,94.9,6.5,117.1,69.55287,-49.37432,1120.35
2022-07-05 09:00:00,2022,5,7,9,-123.5,0.8,94.9,5.9,119.1,69.55286,-49.37433,1120.35
2022-07-05 10:00:00,2022,5,7,10,-123.0,0.7,95.3,5.4,112.5,69.55285,-49.37431,1120.35
2022-07-05 11:00:00,2022,5,7,11,-122.2,0.5,95.7,4.4,120.2,69.55287,-49.37432,1120.35
2022-07-05 12:00:00,2022,5,7,12,-121.7,0.7,96.2,3.9,118.3,69.55285,-49.37436,1120.35
2022-07-05 13:00:00,2022,5,7,13,-121.2,0.9,95.4,4.4,123.7,69.55285,-49.37431,1120.35
2022-07-05 14:00:00,2022,5,7,14,-120.6,0.9,95.1,3.8,109.8,69.55288,-49.37439,1120.35
2022-07-05 15:00:00,2022,5,7,15,-120.1,0.9,95.7,4.7,108.8,69.55286,-49.37428,1120.35
2022-07-05 16:00:00,2022,5,7,16,-119.7,0.7,99.2,5.1,108.4,69.55285,-49.37432,1120.35
2022-07-05 17:00:00,2022,5,7,17,-119.2,0.8,99.1,4.9,103.4,69.55287,-49.37432,1120.35
2022-07-05 18:00:00,2022,5,7,18,-119.0,0.9,98.9,4.8,107.1,69.55287,-49.37437,1120.35
2022-07-05 19:00:00,2022,5,7,19,-118.6,0.9,98.7,4.6,108.6,69.55288,-49.37429,1120.35
2022-07-05 20:00:00,2022,5,7,20,-118.6,0.9,99.2,4.7,99.9,69.55287,-49.37428,1120.35
2022-07-05 21:00:00,2022,5,7,21,-118.4,1.1,97.4,4.6,94.8,69.55288,-49.37429,1120.35
2022-07-05 22:00:00,2022,5,7,22,-118.4,1.0,94.0,4.1,88.9,69.55285,-49.37427,1120.35
2022-07-05 23:00:00,2022,5,7,23,-118.5,1.6,91.3,4.4,80.0,69.55288,-49.37429,1120.35
2022-07-06 00:00:00,2022,6,7,0,-118.6,1.6,90.9,4.3,74.5,69.55289,-49.37432,1120.34
2022-07-06 01:00:00,2022,6,7,1,-118.8,1.3,91.7,4.7,66.1,69.55288,-49.37429,1120.34
2022-07-06 02:00:00,2022,6,7,2,-118.9,0.9,93.0,4.6,75.3,69.55280,-49.37432,1120.34
2022-07-06 03:00:00,2022,6,7,3,-118.9,0.2,93.7,5.0,69.1,69.55287,-49.37437,1120.34
2022-07-06 04:00:00,2022,6,7,4,-119.2,-0.2,93.0,4.4,64.1,69.55287,-49.37433,1120.34
2022-07-06 05:00:00,2022,6,7,5,-119.7,-0.4,92.3,4.1,56.8,69.55288,-49.37436,1120.34
2022-07-06 06:00:00,2022,6,7,6,-120.1,0.0,90.6,4.3,64.5,69.55289,-49.37431,1120.34
2022-07-06 07:00:00,2022,6,7,7,-120.5,0.0,89.9,4.2,51.9,69.55290,-49.37432,1120.34
2022-07-06 08:00:00,2022,6,7,8,-120.7,0.1,89.5,4.8,64.9,69.55286,-49.37435,1120.34
2022-07-06 09:00:00,2022,6,7,9,-120.8,0.5,89.0,4.4,57.4,69.55289,-49.37434,1120.34
2022-07-06 10:00:00,2022,6,7,10,-120.9,1.0,90.4,4.4,81.3,69.55286,-49.37432,1120.34
2022-07-06 11:00:00,2022,6,7,11,-120.8,1.7,87.6,4.3,86.8,69.55287,-49.37430,1120.34
2022-07-06 12:00:00,2022,6,7,12,-121.1,2.0,86.2,4.9,80.2,69.55286,-49.37432,1120.34
2022-07-06 13:00:00,2022,6,7,13,-121.1,1.9,85.8,4.6,88.4,69.55288,-49.37432,1120.34
2022-07-06 14:00:00,2022,6,7,14,-121.3,2.1,84.4,4.8,76.1,69.55284,-49.37424,1120.34
2022-07-06 15:00:00,2022,6,7,15,-121.2,2.1,85.2,5.1,82.7,69.55286,-49.37430,1120.34
2022-07-06 16:00:00,2022,6,7,16,-121.2,2.2,86.1,3.4,96.4,69.55285,-49.37432,1120.34
2022-07-06 17:00:00,2022,6,7,17,-121.4,2.0,88.6,4.0,107.4,69.55288,-49.37436,1120.34
2022-07-06 18:00:00,2022,6,7,18,-121.3,1.7,90.6,3.8,112.9,69.55288,-49.37436,1120.34
2022-07-06 19:00:00,2022,6,7,19,-121.2,1.2,92.7,3.7,117.6,69.55286,-49.37429,1120.34
2022-07-06 20:00:00,2022,6,7,20,-121.0,1.1,93.2,3.8,106.4,69.55289,-49.37431,1120.34
2022-07-06 21:00:00,2022,6,7,21,-120.8,1.1,93.6,3.8,92.9,69.55287,-49.37430,1120.34
2022-07-06 22:00:00,2022,6,7,22,-120.6,1.1,93.8,3.8,95.7,69.55290,-49.37430,1120.34
2022-07-06 23:00:00,2022,6,7,23,-120.6,0.9,95.5,4.1,106.9,69.55288,-49.37429,1120.34
2022-07-07 00:00:00,2022,7,7,0,-120.5,0.6,97.1,4.3,109.1,69.55288,-49.37430,1120.33
2022-07-07 01:00:00,2022,7,7,1,-120.7,0.4,96.4,3.6,103.1,69.55289,-49.37429,1120.33
2022-07-07 02:00:00,2022,7,7,2,-120.5,0.5,96.8,4.3,110.7,69.55283,-49.37433,1120.33
2022-07-07 03:00:00,2022,7,7,3,-120.3,0.0,97.3,4.9,100.9,69.55286,-49.37434,1120.33
2022-07-07 04:00:00,2022,7,7,4,-120.1,-0.5,100.0,5.1,107.6,69.55287,-49.37433,1120.33
2022-07-07 05:00:00,2022,7,7,5,-120.0,0.1,100.0,4.1,108.9,69.55289,-49.37439,1120.33
2022-07-07 06:00:00,2022,7,7,6,-119.8,0.3,100.0,2.5,140.3,69.55295,-49.37431,1120.33
2022-07-07 07:00:00,2022,7,7,7,-119.7,0.5,100.0,1.5,124.4,69.55290,-49.37431,1120.33
2022-07-07 08:00:00,2022,7,7,8,-119.4,0.4,100.0,1.7,74.4,69.55285,-49.37435,1120.33
2022-07-07 09:00:00,2022,7,7,9,-119.1,0.4,99.7,1.7,70.7,69.55287,-49.37431,1120.33
2022-07-07 10:00:00,2022,7,7,10,-118.8,0.7,97.4,2.4,49.5,69.55287,-49.37432,1120.33
2022-07-07 11:00:00,2022,7,7,11,-118.4,0.5,97.5,2.3,118.2,69.55286,-49.37432,1120.33
2022-07-07 12:00:00,2022,7,7,12,-117.9,0.5,96.3,1.9,130.6,69.55289,-49.37433,1120.33
2022-07-07 13:00:00,2022,7,7,13,-117.7,1.0,93.3,1.6,101.6,69.55284,-49.37432,1120.33
2022-07-07 14:00:00,2022,7,7,14,-117.2,2.3,84.7,1.7,46.2,69.55285,-49.37428,1120.33
2022-07-07 15:00:00,2022,7,7,15,-116.7,2.0,86.8,1.7,58.3,69.55288,-49.37437,1120.33
2022-07-07 16:00:00,2022,7,7,16,-116.5,1.4,90.2,2.2,78.5,69.55287,-49.37436,1120.33
2022-07-07 17:00:00,2022,7,7,17,-116.2,1.5,90.7,2.1,92.9,69.55286,-49.37429,1120.33
2022-07-07 18:00:00,2022,7,7,18,-116.0,1.8,88.0,2.0,130.3,69.55286,-49.37431,1120.33
