date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-19.0,3.399,80.2,4.4,8.3,65.63941,-38.89897,234.57
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 06:00:00,2022,1,7,6,-18.1,3.752,82.4,2.9,28.9,65.63943,-38.89898,234.57
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 09:00:00,2022,1,7,9,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 10:00:00,2022,1,7,10,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 11:00:00,2022,1,7,11,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 12:00:00,2022,1,7,12,-17.5,4.684,77.1,3.3,7.6,65.63942,-38.89897,234.57
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 15:00:00,2022,1,7,15,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 18:00:00,2022,1,7,18,-16.3,5.012,78.0,2.1,43.2,65.63944,-38.89893,234.57
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 21:00:00,2022,1,7,21,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,234.57
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,234.57
2022-07-02 00:00:00,2022,2,7,0,-16.1,1.7,88.8,nan,nan,65.63941,-38.89896,234.55
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,234.55
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,234.55
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,234.55
2022-07-02 04:00:00,2022,2,7,4,nan,,nan,nan,nan,nan,nan,234.55
2022-07-02 05:00:00,2022,2,7,5,nan,,nan,nan,nan,nan,nan,234.55
2022-07-02 06:00:00,2022,2,7,6,-15.8,1.99,91.7,2.6,19.9,65.63943,-38.89899,234.55
2022-07-02 07:00:00,2022,2,7,7,nan,,nan,nan,nan,nan,nan,234.55
2022-07-02 08:00:00,2022,2,7,8,nan,,nan,nan,nan,nan,nan,234.55
2022-07-02 09:00:00,2022,2,7,9,nan,,nan,nan,nan,nan,nan,234.55
2022-07-02 10:00:00,2022,2,7,10,nan,,nan,nan,nan,nan,nan,234.55
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,234.55
