date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-47.3,1.962,90.0,4.7,105.7,76.39983,-68.26722,562.54
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 06:00:00,2022,1,7,6,-47.2,2.189,86.4,1.6,71.8,76.39985,-68.26728,562.54
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 09:00:00,2022,1,7,9,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 10:00:00,2022,1,7,10,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 11:00:00,2022,1,7,11,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 12:00:00,2022,1,7,12,-49.6,3.219,83.8,2.0,12.3,76.39985,-68.26721,562.54
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 15:00:00,2022,1,7,15,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 18:00:00,2022,1,7,18,-51.0,2.949,85.0,3.4,34.9,76.39986,-68.26727,562.54
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 21:00:00,2022,1,7,21,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,562.54
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,562.54
2022-07-02 00:00:00,2022,2,7,0,-51.2,3.816,78.7,3.3,14.8,76.39984,-68.26730,562.51
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 04:00:00,2022,2,7,4,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 05:00:00,2022,2,7,5,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 06:00:00,2022,2,7,6,-51.0,2.354,83.4,2.3,75.8,76.39984,-68.26726,562.51
2022-07-02 07:00:00,2022,2,7,7,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 08:00:00,2022,2,7,8,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 09:00:00,2022,2,7,9,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 10:00:00,2022,2,7,10,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 12:00:00,2022,2,7,12,-49.1,2.23,88.3,4.8,122.5,76.39984,-68.26729,562.51
2022-07-02 13:00:00,2022,2,7,13,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 14:00:00,2022,2,7,14,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 15:00:00,2022,2,7,15,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 16:00:00,2022,2,7,16,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 17:00:00,2022,2,7,17,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 18:00:00,2022,2,7,18,-47.1,2.147,87.8,8.1,115.6,76.39985,-68.26724,562.51
2022-07-02 19:00:00,2022,2,7,19,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 20:00:00,2022,2,7,20,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 21:00:00,2022,2,7,21,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 22:00:00,2022,2,7,22,nan,,nan,nan,nan,nan,nan,562.51
2022-07-02 23:00:00,2022,2,7,23,nan,,nan,nan,nan,nan,nan,562.51
2022-07-03 00:00:00,2022,3,7,0,-45.4,1.239,98.7,7.9,116.8,76.39984,-68.26724,562.49
2022-07-03 01:00:00,2022,3,7,1,nan,,nan,nan,nan,nan,nan,562.49
2022-07-03 02:00:00,2022,3,7,2,nan,,nan,nan,nan,nan,nan,562.49
2022-07-03 03:00:00,2022,3,7,3,nan,,nan,nan,nan,nan,nan,562.49
2022-07-03 04:00:00,2022,3,7,4,nan,,nan,nan,nan,nan,nan,562.49
2022-07-03 05:00:00,2022,3,7,5,nan,,nan,nan,nan,nan,nan,562.49
2022-07-03 06:00:00,2022,3,7,6,-45.9,0.888,99.6,9.1,120.2,76.39985,-68.26730,562.49
