date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-50.8,1.731,81.6,5.0,96.8,76.39304,-68.26495,572.61
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 06:00:00,2022,1,7,6,-50.5,2.45,73.7,1.9,7.2,76.39300,-68.26504,572.61
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 09:00:00,2022,1,7,9,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 10:00:00,2022,1,7,10,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 11:00:00,2022,1,7,11,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 12:00:00,2022,1,7,12,-52.2,2.13,81.2,nan,nan,76.39303,-68.26498,572.61
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 15:00:00,2022,1,7,15,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 18:00:00,2022,1,7,18,-54.5,2.362,80.6,3.9,34.2,76.39304,-68.26491,572.61
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 21:00:00,2022,1,7,21,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,572.61
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,572.61
2022-07-02 00:00:00,2022,2,7,0,-54.7,2.406,79.1,3.1,10.1,76.39302,-68.26496,572.59
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,572.59
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,572.59
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,572.59
2022-07-02 04:00:00,2022,2,7,4,nan,,nan,nan,nan,nan,nan,572.59
