date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-70.4,1.149,91.6,3.0,78.2,76.39024,-68.11042,744.03
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 06:00:00,2022,1,7,6,-71.2,2.172,83.5,2.6,46.9,76.39025,-68.11026,744.03
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 09:00:00,2022,1,7,9,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 10:00:00,2022,1,7,10,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 11:00:00,2022,1,7,11,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 12:00:00,2022,1,7,12,-73.2,2.674,78.7,4.2,343.9,76.39024,-68.11035,744.03
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 15:00:00,2022,1,7,15,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 18:00:00,2022,1,7,18,-74.5,3.092,76.9,4.6,4.1,76.39025,-68.11033,744.03
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 21:00:00,2022,1,7,21,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,744.03
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,744.03
2022-07-02 00:00:00,2022,2,7,0,-74.5,0.877,86.7,3.0,17.9,76.39022,-68.11027,744.02
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 04:00:00,2022,2,7,4,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 05:00:00,2022,2,7,5,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 06:00:00,2022,2,7,6,-73.0,1.399,80.9,2.1,50.7,76.39024,-68.11038,744.02
2022-07-02 07:00:00,2022,2,7,7,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 08:00:00,2022,2,7,8,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 09:00:00,2022,2,7,9,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 10:00:00,2022,2,7,10,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 12:00:00,2022,2,7,12,-71.2,1.232,84.6,4.6,112.9,76.39023,-68.11027,744.02
2022-07-02 13:00:00,2022,2,7,13,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 14:00:00,2022,2,7,14,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 15:00:00,2022,2,7,15,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 16:00:00,2022,2,7,16,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 17:00:00,2022,2,7,17,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 18:00:00,2022,2,7,18,-68.6,1.065,86.3,5.5,111.5,76.39025,-68.11040,744.02
2022-07-02 19:00:00,2022,2,7,19,nan,,nan,nan,nan,nan,nan,744.02
2022-07-02 20:00:00,2022,2,7,20,nan,,nan,nan,nan,nan,nan,744.02
