date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-215.4,-9.5,83.2,3.4,287.7,78.01908,-33.96285,2078.01
2022-07-01 01:00:00,2022,1,7,1,-215.3,-11.1,82.6,3.4,275.2,78.01909,-33.96291,2078.01
2022-07-01 02:00:00,2022,1,7,2,-215.1,-11.8,82.7,3.7,279.5,78.01910,-33.96287,2078.01
2022-07-01 03:00:00,2022,1,7,3,-215.0,-12.4,83.4,3.2,276.0,78.01910,-33.96288,2078.01
2022-07-01 04:00:00,2022,1,7,4,-215.0,-14.6,84.7,3.7,257.2,78.01910,-33.96280,2078.01
2022-07-01 05:00:00,2022,1,7,5,-214.9,-9.1,83.0,4.0,267.5,78.01908,-33.96297,2078.01
2022-07-01 06:00:00,2022,1,7,6,-214.5,-9.3,84.1,2.6,275.0,78.01910,-33.96297,2078.01
2022-07-01 07:00:00,2022,1,7,7,-214.4,-8.2,84.8,6.1,298.9,78.01907,-33.96282,2078.01
2022-07-01 08:00:00,2022,1,7,8,-214.3,-8.4,85.4,6.5,295.6,78.01909,-33.96287,2078.01
2022-07-01 09:00:00,2022,1,7,9,-214.3,-7.7,85.1,5.8,315.3,78.01910,-33.96284,2078.01
2022-07-01 10:00:00,2022,1,7,10,-214.2,-7.7,84.0,5.2,293.0,78.01910,-33.96292,2078.01
2022-07-01 11:00:00,2022,1,7,11,-214.1,-7.6,84.1,5.4,312.1,78.01911,-33.96292,2078.01
2022-07-01 12:00:00,2022,1,7,12,-214.3,-7.6,83.2,5.4,296.2,78.01911,-33.96283,2078.01
2022-07-01 13:00:00,2022,1,7,13,-214.1,-7.7,81.3,5.3,302.8,78.01909,-33.96287,2078.01
2022-07-01 14:00:00,2022,1,7,14,-214.3,-7.8,85.6,5.0,315.8,78.01910,-33.96289,2078.01
2022-07-01 15:00:00,2022,1,7,15,-214.5,-7.2,85.8,5.3,333.0,78.01911,-33.96288,2078.01
2022-07-01 16:00:00,2022,1,7,16,-214.7,-7.2,87.4,5.6,301.2,78.01911,-33.96281,2078.01
2022-07-01 17:00:00,2022,1,7,17,-214.8,-6.6,85.8,5.7,315.1,78.01912,-33.96284,2078.01
2022-07-01 18:00:00,2022,1,7,18,-214.8,-6.7,85.5,6.3,316.1,78.01907,-33.96284,2078.01
2022-07-01 19:00:00,2022,1,7,19,-214.7,-6.9,86.2,5.3,319.9,78.01911,-33.96293,2078.01
2022-07-01 20:00:00,2022,1,7,20,-214.5,-6.8,85.8,5.3,316.1,78.01911,-33.96284,2078.01
2022-07-01 21:00:00,2022,1,7,21,-214.7,-6.7,85.2,5.8,331.9,78.01911,-33.96290,2078.01
2022-07-01 22:00:00,2022,1,7,22,-214.8,-6.8,86.6,5.0,309.8,78.01913,-33.96284,2078.01
2022-07-01 23:00:00,2022,1,7,23,-215.1,-7.2,86.6,5.4,311.2,78.01910,-33.96297,2078.01
2022-07-02 00:00:00,2022,2,7,0,-215.2,-7.3,85.4,5.8,308.0,78.01909,-33.96283,2077.99
2022-07-02 01:00:00,2022,2,7,1,-215.5,-7.3,85.3,4.2,317.4,78.01906,-33.96294,2077.99
2022-07-02 02:00:00,2022,2,7,2,-215.8,-7.3,83.8,4.5,329.8,78.01906,-33.96288,2077.99
2022-07-02 03:00:00,2022,2,7,3,-216.2,-7.4,84.5,5.0,322.3,78.01910,-33.96273,2077.99
2022-07-02 04:00:00,2022,2,7,4,-216.6,-7.6,84.3,4.5,325.4,78.01910,-33.96278,2077.99
2022-07-02 05:00:00,2022,2,7,5,-216.9,-7.4,82.9,5.7,300.8,78.01908,-33.96295,2077.99
2022-07-02 06:00:00,2022,2,7,6,-217.2,-7.0,83.3,3.6,316.8,78.01908,-33.96298,2077.99
2022-07-02 07:00:00,2022,2,7,7,-217.4,-6.8,80.0,5.7,292.7,78.01908,-33.96283,2077.99
2022-07-02 08:00:00,2022,2,7,8,-217.7,-7.4,78.4,6.1,289.5,78.01907,-33.96287,2077.99
2022-07-02 09:00:00,2022,2,7,9,-217.6,-7.5,79.4,6.9,292.9,78.01909,-33.96279,2077.99
2022-07-02 10:00:00,2022,2,7,10,-217.9,-7.1,81.0,6.5,296.3,78.01909,-33.96276,2077.99
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,2077.99
2022-07-02 12:00:00,2022,2,7,12,nan,,nan,nan,nan,nan,nan,2077.99
2022-07-02 13:00:00,2022,2,7,13,-218.0,-7.0,80.9,6.5,280.9,78.01909,-33.96294,2077.99
2022-07-02 14:00:00,2022,2,7,14,-218.0,-6.7,79.8,7.7,292.4,78.01912,-33.96300,2077.99
