date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-49.8,14.79,44.0,7.1,143.3,61.68650,-7.19783,575.96
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 06:00:00,2022,1,7,6,-50.4,14.5,54.2,5.3,168.1,61.68649,-7.19786,575.96
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 09:00:00,2022,1,7,9,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 10:00:00,2022,1,7,10,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 11:00:00,2022,1,7,11,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 12:00:00,2022,1,7,12,-52.1,15.68,54.0,6.6,126.4,61.68650,-7.19789,575.96
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 15:00:00,2022,1,7,15,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 18:00:00,2022,1,7,18,-53.4,13.51,67.7,7.1,118.7,61.68649,-7.19784,575.96
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 21:00:00,2022,1,7,21,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,575.96
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,575.96
2022-07-02 00:00:00,2022,2,7,0,-55.5,14.0,66.4,6.5,121.9,61.68651,-7.19787,575.88
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 04:00:00,2022,2,7,4,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 05:00:00,2022,2,7,5,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 06:00:00,2022,2,7,6,-54.4,10.09,86.4,2.6,103.4,61.68650,-7.19784,575.88
2022-07-02 07:00:00,2022,2,7,7,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 08:00:00,2022,2,7,8,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 09:00:00,2022,2,7,9,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 10:00:00,2022,2,7,10,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 12:00:00,2022,2,7,12,-52.6,10.77,66.2,4.2,120.3,61.68650,-7.19784,575.88
2022-07-02 13:00:00,2022,2,7,13,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 14:00:00,2022,2,7,14,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 15:00:00,2022,2,7,15,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 16:00:00,2022,2,7,16,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 17:00:00,2022,2,7,17,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 18:00:00,2022,2,7,18,-52.6,9.52,65.7,2.9,128.9,61.68649,-7.19787,575.88
2022-07-02 19:00:00,2022,2,7,19,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 20:00:00,2022,2,7,20,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 21:00:00,2022,2,7,21,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 22:00:00,2022,2,7,22,nan,,nan,nan,nan,nan,nan,575.88
2022-07-02 23:00:00,2022,2,7,23,nan,,nan,nan,nan,nan,nan,575.88
2022-07-03 00:00:00,2022,3,7,0,-53.5,9.98,79.1,2.9,133.4,61.68650,-7.19785,575.80
2022-07-03 01:00:00,2022,3,7,1,nan,,nan,nan,nan,nan,nan,575.80
2022-07-03 02:00:00,2022,3,7,2,nan,,nan,nan,nan,nan,nan,575.80
2022-07-03 03:00:00,2022,3,7,3,nan,,nan,nan,nan,nan,nan,575.80
2022-07-03 04:00:00,2022,3,7,4,nan,,nan,nan,nan,nan,nan,575.80
2022-07-03 05:00:00,2022,3,7,5,nan,,nan,nan,nan,nan,nan,575.80
