date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,15.0,5.0,89.9,0.7,141.9,71.14149,-51.22203,11.98
2022-07-01 01:00:00,2022,1,7,1,14.9,4.9,89.4,0.5,46.9,71.14146,-51.22207,11.98
2022-07-01 02:00:00,2022,1,7,2,14.5,5.2,88.2,0.1,145.7,71.14146,-51.22206,11.98
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,11.98
2022-07-01 04:00:00,2022,1,7,4,13.5,4.4,92.9,0.0,258.6,71.14147,-51.22208,11.98
2022-07-01 05:00:00,2022,1,7,5,13.0,3.4,97.3,0.4,334.8,71.14147,-51.22207,11.98
2022-07-01 06:00:00,2022,1,7,6,12.5,4.3,91.3,0.4,107.4,71.14145,-51.22207,11.98
2022-07-01 07:00:00,2022,1,7,7,12.2,3.6,93.8,nan,nan,71.14147,-51.22210,11.98
2022-07-01 08:00:00,2022,1,7,8,11.7,3.9,95.8,0.6,39.5,71.14149,-51.22207,11.98
2022-07-01 09:00:00,2022,1,7,9,11.3,4.5,94.0,0.6,61.1,71.14144,-51.22197,11.98
2022-07-01 10:00:00,2022,1,7,10,10.9,3.9,93.4,1.7,67.7,71.14142,-51.22207,11.98
2022-07-01 11:00:00,2022,1,7,11,10.5,5.6,88.8,1.7,58.6,71.14147,-51.22208,11.98
2022-07-01 12:00:00,2022,1,7,12,10.1,5.6,88.7,1.0,97.3,71.14146,-51.22203,11.98
2022-07-01 13:00:00,2022,1,7,13,9.7,6.7,84.5,0.5,40.1,71.14149,-51.22211,11.98
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,11.98
2022-07-01 15:00:00,2022,1,7,15,9.0,7.4,85.6,1.4,89.1,71.14150,-51.22214,11.98
2022-07-01 16:00:00,2022,1,7,16,8.6,8.0,82.3,1.3,81.8,71.14146,-51.22205,11.98
2022-07-01 17:00:00,2022,1,7,17,8.5,8.0,81.0,2.3,65.3,71.14147,-51.22207,11.98
2022-07-01 18:00:00,2022,1,7,18,8.6,8.1,82.4,2.6,77.1,71.14147,-51.22206,11.98
2022-07-01 19:00:00,2022,1,7,19,9.0,9.6,73.4,1.2,84.7,71.14154,-51.22207,11.98
2022-07-01 20:00:00,2022,1,7,20,9.1,10.2,71.7,0.9,72.6,71.14147,-51.22208,11.98
2022-07-01 21:00:00,2022,1,7,21,9.4,10.3,73.3,0.6,63.7,71.14148,-51.22204,11.98
2022-07-01 22:00:00,2022,1,7,22,9.8,10.8,63.3,0.6,78.7,71.14147,-51.22207,11.98
2022-07-01 23:00:00,2022,1,7,23,9.9,9.0,77.9,1.2,108.9,71.14147,-51.22201,11.98
2022-07-02 00:00:00,2022,2,7,0,10.1,9.3,71.7,0.4,111.6,71.14148,-51.22209,11.97
2022-07-02 01:00:00,2022,2,7,1,10.6,8.1,78.2,1.0,117.9,71.14145,-51.22203,11.97
2022-07-02 02:00:00,2022,2,7,2,11.3,8.5,75.0,0.2,105.9,71.14146,-51.22201,11.97
2022-07-02 03:00:00,2022,2,7,3,11.8,7.4,82.8,1.6,78.5,71.14148,-51.22204,11.97
2022-07-02 04:00:00,2022,2,7,4,12.3,6.6,88.7,0.6,334.7,71.14146,-51.22204,11.97
2022-07-02 05:00:00,2022,2,7,5,13.0,7.7,82.5,0.7,291.2,71.14146,-51.22203,11.97
2022-07-02 06:00:00,2022,2,7,6,13.6,6.7,86.4,0.3,262.8,71.14145,-51.22206,11.97
2022-07-02 07:00:00,2022,2,7,7,14.2,7.2,81.9,0.3,173.1,71.14149,-51.22208,11.97
2022-07-02 08:00:00,2022,2,7,8,14.6,6.8,83.0,0.8,88.3,71.14147,-51.22204,11.97
2022-07-02 09:00:00,2022,2,7,9,15.3,7.3,82.1,0.3,354.5,71.14145,-51.22200,11.97
2022-07-02 10:00:00,2022,2,7,10,16.0,7.5,79.7,0.4,105.4,71.14145,-51.22205,11.97
2022-07-02 11:00:00,2022,2,7,11,16.6,7.3,84.0,1.9,123.1,71.14147,-51.22211,11.97
2022-07-02 12:00:00,2022,2,7,12,17.1,7.6,81.9,1.3,92.2,71.14146,-51.22206,11.97
2022-07-02 13:00:00,2022,2,7,13,17.5,8.3,80.1,1.2,81.2,71.14147,-51.22208,11.97
2022-07-02 14:00:00,2022,2,7,14,17.8,7.9,83.9,2.7,74.1,71.14149,-51.22212,11.97
2022-07-02 15:00:00,2022,2,7,15,18.3,8.0,78.5,2.2,86.2,71.14145,-51.22207,11.97
2022-07-02 16:00:00,2022,2,7,16,18.6,8.5,77.9,1.8,73.7,71.14149,-51.22212,11.97
2022-07-02 17:00:00,2022,2,7,17,18.7,8.2,78.8,3.3,87.1,71.14146,-51.22205,11.97
2022-07-02 18:00:00,2022,2,7,18,nan,,nan,nan,nan,nan,nan,11.97
2022-07-02 19:00:00,2022,2,7,19,19.6,7.9,78.2,2.3,97.9,71.14150,-51.22203,11.97
2022-07-02 20:00:00,2022,2,7,20,nan,,nan,nan,nan,nan,nan,11.97
