date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-01-01 00:00:00,2021,1,1,0,-130.0,-7.25,94.2,15.2,3.1,69.55394,49.37034,1119.90
2021-01-01 01:00:00,2021,1,1,1,-128.0,-7.75,93.8,12.4,5.9,69.55395,49.37034,1119.90
2021-01-01 02:00:00,2021,1,1,2,-127.0,-8.08,93.6,7.1,356.4,69.55394,49.37035,1119.90
2021-01-01 03:00:00,2021,1,1,3,-127.0,-8.25,93.4,6.8,328.0,69.55393,49.37037,1119.90
2021-01-01 04:00:00,2021,1,1,4,-127.0,-8.47,93.2,7.0,340.1,69.55393,49.37038,1119.90
2021-01-01 05:00:00,2021,1,1,5,-126.0,-9.25,92.9,5.4,20.1,69.55394,49.37036,1119.90
2021-01-01 06:00:00,2021,1,1,6,-125.0,-11.13,91.3,6.3,40.1,69.55393,49.37038,1119.90
2021-01-01 07:00:00,2021,1,1,7,-124.0,-12.48,90.6,4.4,48.3,69.55393,49.37036,1119.90
2021-01-01 08:00:00,2021,1,1,8,-124.0,-12.8,90.3,1.6,52.9,69.55392,49.37035,1119.90
2021-01-01 09:00:00,2021,1,1,9,-123.0,-13.08,90.2,0.4,29.4,69.55393,49.37034,1119.90
2021-01-01 10:00:00,2021,1,1,10,-123.0,-13.93,89.5,1.1,305.1,69.55393,49.37034,1119.90
2021-01-01 11:00:00,2021,1,1,11,-123.0,-16.72,87.8,1.8,274.5,69.55394,49.37032,1119.90
2021-01-01 12:00:00,2021,1,1,12,-123.0,-18.78,85.3,1.4,238.5,69.55393,49.37034,1119.90
2021-01-01 13:00:00,2021,1,1,13,-122.0,-14.43,87.5,1.8,284.0,69.55392,49.37034,1119.90
2021-01-01 14:00:00,2021,1,1,14,-122.0,-13.03,89.5,2.5,323.7,69.55394,49.37035,1119.90
2021-01-01 15:00:00,2021,1,1,15,-123.0,-12.9,89.6,3.6,315.2,69.55394,49.37037,1119.90
2021-01-01 16:00:00,2021,1,1,16,-123.0,-13.25,89.3,5.7,308.3,69.55394,49.37034,1119.90
2021-01-01 17:00:00,2021,1,1,17,-123.0,-16.38,86.6,5.9,290.8,69.55394,49.37034,1119.90
2021-01-01 18:00:00,2021,1,1,18,-124.0,-18.47,85.1,6.9,272.4,69.55393,49.37037,1119.90
2021-01-01 19:00:00,2021,1,1,19,-124.0,-18.28,85.1,7.1,276.7,69.55393,49.37035,1119.90
2021-01-01 20:00:00,2021,1,1,20,-125.0,-18.23,85.1,7.8,280.4,69.55393,49.37036,1119.90
2021-01-01 21:00:00,2021,1,1,21,-125.0,-18.55,84.9,7.7,275.2,69.55393,49.37040,1119.90
2021-01-01 22:00:00,2021,1,1,22,-125.0,-18.2,85.1,7.7,269.2,69.55393,49.37032,1119.90
2021-01-01 23:00:00,2021,1,1,23,-126.0,-18.85,84.6,9.1,268.8,69.55392,49.37035,1119.90
2021-01-02 00:00:00,2021,2,1,0,-127.0,-18.63,84.7,8.4,265.8,69.55393,49.37034,1119.89
