timestamp_iso,airtemp1,airtemp2,airtemp_cs500air1,airtemp_cs500air2,rh1,rh2,windspeed1,windspeed2,winddir1,winddir2,pressure,battvolt,sh1,sh2
2022-02-25 16:00:00+00:00,-999,-999,-32.52,-32.4,58.24,57.28,4.34,6.71,144.0,142.1,872.7,13.43,3.87,-999
2022-02-25 17:00:00+00:00,-999,-999,-33.58,-33.47,60.18,59.24,4.68,7.22,146.0,144.6,886.1,12.88,4.1,-999
2022-02-26 15:00:00+00:00,-999,-999,-34.76,-34.44,62.0,61.36,3.79,5.26,-999,57.0,-999,-999,0.08,0.06
2022-02-26 16:00:00+00:00,-999,-999,-35.19,-34.83,64.09,63.49,3.31,3.37,154.0,150.5,-999,13.96,4.03,-999
2022-02-26 18:00:00+00:00,-999,-999,-39.58,-39.58,63.24,62.88,2.49,2.69,163.0,158.8,874.1,14.15,4.17,-999
2022-02-27 14:00:00+00:00,-999,-999,-26.08,-25.97,51.26,50.57,3.51,4.19,120.0,116.8,799.8,11.67,2.73,-999
2022-02-27 15:00:00+00:00,-999,-999,-31.03,-30.79,59.99,59.01,3.75,4.62,-999,58.0,-999,-999,0.09,0.06
2022-02-27 18:00:00+00:00,-999,-999,-32.92,-32.77,59.47,58.53,3.77,5.82,146.0,144.6,-999,15.04,4.1,-999
2022-02-27 19:00:00+00:00,-999,-999,-33.6,-33.37,59.3,58.22,4.44,6.92,151.0,150.1,883.9,11.75,4.11,-999
2022-02-28 13:00:00+00:00,-999,-999,-31.74,-31.36,51.63,49.84,3.88,6.09,141.2,138.8,875.9,13.46,3.96,-999
2022-02-28 14:00:00+00:00,-999,-999,-31.74,-31.36,51.63,49.84,3.88,6.09,147.0,1.32,893.4,14.09,4.1,-999
2022-02-28 15:00:00+00:00,-999,-999,-32.79,-32.57,53.82,52.41,4.64,7.21,148.0,1.46,893.6,14.17,4.09,-999
2022-02-28 16:00:00+00:00,-999,-999,-32.47,-32.21,54.84,53.53,4.56,7.12,148.0,145.7,893.6,14.17,4.09,-999
2022-02-28 17:00:00+00:00,-999,-999,-31.91,-31.67,54.72,53.19,3.87,6.01,142.0,139.4,893.3,14.23,4.09,-999
2022-02-28 18:00:00+00:00,-999,-999,-31.57,-31.22,54.54,52.74,3.61,5.66,146.0,142.9,893.0,12.09,4.08,-999
2022-02-28 19:00:00+00:00,-999,-999,-31.21,-30.93,54.63,52.96,4.25,6.63,146.0,142.9,893.0,12.09,4.08,-999
2022-02-28 20:00:00+00:00,-999,-999,-30.32,-30.22,55.63,54.37,4.6,7.34,148.0,145.7,892.8,11.15,4.07,-999
2022-03-01 14:00:00+00:00,-999,-999,-26.59,-26.43,62.39,61.58,4.09,5.36,97.0,297.9,895.3,13.88,1.78,-999
2022-03-01 15:00:00+00:00,-999,-999,-27.3,-27.18,61.65,60.75,4.39,7.1,96.7,93.1,895.3,13.88,1.78,-999
2022-03-01 16:00:00+00:00,-999,-999,-28.51,-28.43,59.53,58.76,4.46,7.61,96.1,92.3,-999,-999,2.45,-999
2022-03-01 17:00:00+00:00,-999,-999,-29.98,-29.97,60.12,59.41,3.63,8.29,96.0,91.8,895.3,13.48,3.25,-999
2022-03-01 18:00:00+00:00,-999,-999,-31.65,-31.57,62.52,61.77,3.51,8.72,109.0,104.7,895.0,12.51,4.08,-999
2022-03-01 19:00:00+00:00,-999,-999,-30.34,-30.18,61.73,60.92,4.56,7.11,109.0,104.7,895.0,12.51,4.08,-999
2022-03-01 20:00:00+00:00,-999,-999,-31.82,-31.74,62.51,61.8,4.4,6.82,116.0,138.4,895.1,11.68,4.09,-999
2022-03-01 21:00:00+00:00,-999,-999,-31.54,-31.42,65.19,64.35,4.15,6.66,151.2,149.0,895.8,11.09,4.09,-999
2022-03-01 22:00:00+00:00,-999,-999,-31.8,-31.73,67.04,66.19,4.11,6.86,151.0,149.0,895.8,11.09,4.09,-999
2022-03-02 14:00:00+00:00,-999,-999,-31.01,-30.92,65.63,64.09,3.65,11.1,150.0,148.7,896.5,13.91,4.09,-999
2022-03-02 15:00:00+00:00,-999,-999,-31.33,-31.32,67.46,66.43,4.11,12.52,150.0,148.4,896.3,14.03,4.09,-999
2022-03-02 16:00:00+00:00,-999,-999,-31.06,-31.06,65.32,64.15,4.15,12.61,151.0,149.6,895.9,14.09,4.09,-999
2022-03-02 17:00:00+00:00,-999,-999,-31.0,-31.0,62.95,61.67,4.22,12.81,151.0,149.6,895.9,14.09,4.09,-999
2022-03-02 18:00:00+00:00,-999,-999,-30.94,-30.93,60.49,58.99,4.14,12.61,149.0,146.5,895.4,12.63,4.08,-999
2022-03-02 19:00:00+00:00,-999,-999,-30.94,-30.93,60.49,58.99,4.15,12.61,-999,-999,-999,-999,-999,0.07
2022-03-02 20:00:00+00:00,-999,-999,-31.04,-31.01,64.13,62.94,3.98,12.11,148.0,146.0,-999,11.55,4.08,-999
2022-03-02 21:00:00+00:00,-999,-999,-30.88,-30.85,65.62,64.48,4.03,12.27,149.1,147.3,-999,11.61,4.09,-999
2022-03-02 22:00:00+00:00,-999,-999,-31.34,-31.3,63.01,61.81,-999,12.12,146.7,144.9,894.0,11.41,4.1,-999
2022-03-02 23:00:00+00:00,-999,-999,-32.7,-32.69,66.28,65.32,3.97,12.06,146.7,144.9,894.0,11.41,4.1,-999
2022-03-03 14:00:00+00:00,-999,-999,-30.17,-29.97,58.91,57.67,3.73,5.75,165.0,161.9,884.4,13.28,4.05,-999
2022-03-03 15:00:00+00:00,-999,-999,-30.28,-30.17,60.84,59.9,3.74,5.41,174.0,170.6,887.7,14.57,4.08,-999
2022-03-03 16:00:00+00:00,-999,-999,-29.85,-29.73,61.64,60.72,3.63,5.52,185.0,182.7,888.1,14.04,3.11,-999
2022-03-03 18:00:00+00:00,-999,-999,-28.51,-28.45,60.27,59.52,2.93,3.26,162.0,157.7,888.8,13.94,1.39,-999
2022-03-03 19:00:00+00:00,-999,-999,-27.54,-27.46,59.17,58.45,1.81,1.94,164.0,160.4,888.7,11.9,1.7,-999
2022-03-03 20:00:00+00:00,-999,-999,-28.91,-28.59,63.68,62.49,3.52,4.37,174.0,171.1,889.0,11.77,3.38,-999
2022-03-03 21:00:00+00:00,-999,-999,-28.21,-27.92,64.87,63.73,3.8,5.23,163.0,159.7,889.2,11.69,4.06,-999
2022-03-03 23:00:00+00:00,-999,-999,-28.28,-28.01,67.18,66.12,3.67,5.48,167.0,164.6,889.3,11.6,4.06,-999
2022-03-04 00:00:00+00:00,-999,-999,-28.22,-27.91,67.96,66.93,3.78,5.01,173.0,169.6,889.3,11.15,4.06,-999
2022-03-04 01:00:00+00:00,-999,-999,-28.52,-28.19,68.9,67.91,3.9,4.8,173.0,169.6,889.3,11.15,4.06,-999
2022-03-04 02:00:00+00:00,-999,-999,-28.64,-28.3,69.92,68.95,3.9,4.74,177.7,173.4,888.4,13.65,4.02,-999
2022-03-04 16:00:00+00:00,-999,-999,-30.5,-30.33,72.14,71.73,3.45,3.82,171.0,173.4,888.4,13.65,4.02,-999
2022-03-04 17:00:00+00:00,-999,-999,-30.73,-30.48,73.06,72.97,3.26,3.53,156.0,152.6,890.1,13.41,4.09,-999
2022-03-04 18:00:00+00:00,-80.62,-999,-31.36,-31.22,70.3,69.82,3.59,5.3,162.6,159.4,889.9,13.72,4.08,-999
2022-03-04 19:00:00+00:00,-999,-999,-30.43,-30.26,70.56,70.06,3.65,5.36,163.0,159.4,889.9,13.72,4.08,-999
2022-03-04 21:00:00+00:00,-999,-999,-30.47,-30.24,72.8,72.22,3.6,5.53,171.0,167.1,889.8,11.77,4.08,-999
2022-03-04 22:00:00+00:00,-999,-999,-30.11,-29.9,72.91,72.34,3.69,5.59,177.0,174.1,889.8,-999,4.07,-999
2022-03-04 23:00:00+00:00,-999,-999,-28.74,-28.47,72.86,72.13,3.76,4.1,177.0,174.1,889.8,-999,4.07,-999
2022-03-05 00:00:00+00:00,-999,-999,-28.84,-28.39,72.52,71.74,3.41,3.65,166.0,159.8,889.8,11.53,2.02,-999
2022-03-05 12:00:00+00:00,-999,-999,-23.51,-23.49,62.41,61.12,3.66,8.41,141.0,139.3,826.6,11.22,3.03,-999
2022-03-05 13:00:00+00:00,-999,-999,-26.58,-26.52,70.44,69.02,4.09,8.58,158.4,156.5,-999,14.99,2.7,-999
2022-03-05 14:00:00+00:00,-999,-999,-26.58,-26.52,70.44,69.02,4.09,8.58,159.0,156.7,-999,14.41,4.04,-999
2022-03-05 15:00:00+00:00,-999,-999,-26.05,-26.02,69.93,68.6,4.15,8.51,160.0,157.5,886.8,-999,4.04,-999
2022-03-05 16:00:00+00:00,-999,-999,-25.89,-25.85,69.71,68.39,4.41,8.27,157.0,155.3,886.2,14.69,8.14,-999
2022-03-05 17:00:00+00:00,-999,-999,-25.82,-25.77,69.19,67.98,4.43,8.16,157.0,155.3,886.2,14.69,8.14,-999
2022-03-05 18:00:00+00:00,-999,-999,-25.72,-25.67,69.15,67.98,4.24,8.35,158.8,156.5,885.2,14.41,4.03,-999
2022-03-05 19:00:00+00:00,-999,-999,-25.56,-25.5,68.98,67.91,4.6,7.96,159.0,156.5,885.2,14.41,4.03,-999
2022-03-05 20:00:00+00:00,-999,-999,-25.71,-25.59,69.35,68.36,4.66,7.79,156.0,153.7,884.7,12.27,4.04,-999
2022-03-05 21:00:00+00:00,-999,-999,-25.86,-25.74,69.72,68.83,4.59,7.26,154.0,152.2,883.7,11.98,4.03,-999
2022-03-05 22:00:00+00:00,-999,-999,-999,-0.53,-999,0.73,-999,-999,154.0,152.2,883.7,11.98,4.03,-999
2022-03-05 23:00:00+00:00,-999,-999,-26.19,-26.06,69.6,68.66,4.58,7.51,152.0,150.0,882.1,11.85,4.04,-999
2022-03-06 00:00:00+00:00,-999,-999,-26.7,-26.58,70.03,69.13,4.41,7.71,151.0,150.1,881.0,11.8,4.04,-999
2022-03-06 01:00:00+00:00,-999,-999,-26.97,-26.89,71.33,70.25,4.53,7.88,152.0,149.1,879.8,11.74,3.91,-999
2022-03-06 02:00:00+00:00,-999,-999,-26.97,-26.86,70.19,69.33,4.58,7.18,152.0,149.1,879.8,11.74,3.91,-999
2022-03-06 03:00:00+00:00,-999,-999,-26.98,-26.83,70.29,69.44,4.32,6.84,157.0,154.8,877.6,11.42,1.61,-999
2022-03-06 04:00:00+00:00,-999,-999,-26.58,-26.37,68.52,67.59,3.82,5.61,165.0,161.5,876.7,10.86,2.83,-999
2022-03-06 05:00:00+00:00,-999,-999,-26.54,-26.31,67.84,66.95,3.83,4.92,167.0,162.6,875.9,9.09,3.06,-999
2022-03-06 12:00:00+00:00,-999,-999,-26.03,-25.48,68.07,66.65,3.73,4.51,167.0,162.6,875.9,9.09,3.06,-999
2022-03-06 13:00:00+00:00,-999,-999,-27.78,-27.46,66.65,65.64,3.52,3.9,164.0,158.9,874.2,13.17,4.06,-999
2022-03-06 14:00:00+00:00,-999,-999,-28.47,-28.33,65.1,64.49,2.62,2.7,141.0,137.6,873.1,14.83,4.08,-999
2022-03-06 15:00:00+00:00,-999,-999,-28.38,-27.9,65.66,64.77,3.44,3.54,154.0,148.8,872.8,14.18,2.43,-999
2022-03-06 16:00:00+00:00,-999,-999,-28.13,-27.31,65.45,64.26,2.74,6.81,132.0,124.6,871.9,14.52,2.3,-999
2022-03-06 17:00:00+00:00,-999,-999,-26.23,-25.82,64.41,63.27,2.44,2.48,132.0,124.6,871.9,14.52,2.3,-999
