timestamp_iso,airtemp1,airtemp2,airtemp_cs500air1,airtemp_cs500air2,rh1,rh2,windspeed1,windspeed2,winddir1,winddir2,pressure,battvolt,sh1,sh2
2022-04-12 17:00:00+00:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2022-04-12 18:00:00+00:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2022-04-13 16:00:00+00:00,-24.92,-23.04,-24.66,-23.2,75.15,78.9,0.0,1.11,160.2,354.5,-999,13.4,1.61,0.65
2022-04-13 17:00:00+00:00,-24.92,-22.16,-24.47,-22.19,74.38,80.0,0.0,1.52,176.3,349.8,717.4,13.18,1.61,0.65
2022-04-13 18:00:00+00:00,-25.08,-22.39,-24.71,-22.59,74.42,79.71,0.0,3.03,137.5,349.7,717.2,13.15,1.61,0.65
2022-04-14 13:00:00+00:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2022-04-14 14:00:00+00:00,-27.58,-24.05,-27.06,-24.31,71.25,77.71,0.0,0.24,178.7,354.6,-999,13.36,1.62,0.65
2022-04-14 15:00:00+00:00,-26.22,-24.71,-25.89,-24.83,72.64,76.53,0.0,2.07,211.5,350.1,717.5,13.45,1.61,0.65
2022-04-14 17:00:00+00:00,-22.67,-21.97,-22.54,-22.08,76.79,79.13,0.0,2.23,188.7,350.1,-999,13.35,1.6,0.65
2022-04-14 18:00:00+00:00,-22.37,-21.99,-22.17,-22.03,77.45,79.17,0.0,2.87,198.8,354.9,717.6,13.17,1.6,0.65
2022-04-14 19:00:00+00:00,-22.2,-22.01,-22.08,-22.12,78.0,79.28,0.0,5.09,194.7,354.9,717.8,12.86,1.6,0.64
2022-04-14 20:00:00+00:00,-21.86,-21.77,-21.81,-21.93,78.64,79.6,0.0,6.23,207.2,354.9,717.7,12.66,1.6,0.64
2022-04-14 21:00:00+00:00,-21.14,-21.04,-21.2,-21.22,79.94,80.2,0.0,7.13,204.6,354.8,717.4,12.37,1.6,0.64
2022-04-14 23:15:00+00:00,39.55,-999,-20.58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2022-04-15 12:00:00+00:00,-22.65,-19.82,-22.14,-19.7,76.45,82.5,20.58,-999,-999,-999,-999,-999,-999,-999
2022-04-15 13:00:00+00:00,-22.25,-18.98,-21.42,-19.05,74.86,82.3,0.0,0.21,186.9,354.4,-999,12.85,1.6,0.64
2022-04-15 14:00:00+00:00,-21.63,-18.22,-20.94,-18.37,75.99,83.7,0.0,0.25,156.3,354.4,716.2,13.15,1.6,0.63
2022-04-15 15:00:00+00:00,-21.06,-18.24,-20.39,-18.43,76.27,82.7,0.0,0.15,219.7,354.4,716.2,13.17,1.6,0.62
2022-04-15 16:00:00+00:00,-20.46,-16.89,-19.51,-17.17,75.56,84.5,0.0,0.11,188.8,354.4,715.8,13.25,1.6,0.62
2022-04-15 17:00:00+00:00,-20.13,-16.81,-19.25,-17.07,75.68,84.2,0.0,0.22,188.9,354.4,715.4,13.37,1.6,0.62
2022-04-15 18:00:00+00:00,-20.46,-17.88,-19.53,-18.04,74.72,82.5,0.0,0.38,230.9,354.4,715.2,12.99,1.6,0.62
2022-04-15 19:00:00+00:00,-20.73,-20.65,-20.36,-20.69,76.87,79.72,0.0,1.85,207.8,354.4,715.1,12.91,1.6,0.62
2022-04-15 20:00:00+00:00,-21.31,-21.21,-21.26,-21.37,79.02,80.2,0.0,2.09,213.8,349.8,714.6,12.6,1.6,0.62
2022-04-15 21:00:00+00:00,-20.29,-20.29,-20.44,-20.52,81.8,81.6,0.0,4.14,203.1,354.9,714.4,12.53,1.59,0.63
2022-04-15 22:00:00+00:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2022-04-16 12:00:00+00:00,-23.65,-20.73,-23.49,-20.78,77.42,81.6,0.0,6.71,115.4,354.9,-999,12.98,1.6,0.63
2022-04-16 13:00:00+00:00,-23.76,-19.87,-23.41,-20.13,76.67,82.1,0.0,4.86,111.4,355.0,719.3,13.05,1.61,0.63
2022-04-16 14:00:00+00:00,-23.34,-19.32,-23.01,-19.47,76.84,82.3,0.0,4.98,132.6,355.0,719.3,13.25,1.6,0.62
2022-04-16 15:00:00+00:00,-22.79,-19.71,-22.48,-19.68,77.36,82.3,0.0,3.1,165.6,355.0,719.5,13.03,1.6,0.62
2022-04-16 16:00:00+00:00,-22.15,-19.95,-21.87,-19.99,77.8,82.4,0.0,1.98,158.3,354.9,719.4,13.15,1.6,0.62
2022-04-16 17:00:00+00:00,-21.28,-19.03,-20.96,-19.09,78.43,83.3,0.0,1.67,155.1,354.9,719.3,13.15,1.6,0.62
2022-04-16 18:00:00+00:00,-20.45,-17.98,-19.84,-18.17,77.81,83.7,0.0,0.3,212.4,354.9,719.0,13.05,1.59,0.62
2022-04-16 19:00:00+00:00,-20.71,-19.86,-20.17,-19.74,77.91,81.4,0.0,0.59,256.8,355.0,718.6,12.71,1.6,0.62
2022-04-16 20:00:00+00:00,-20.81,-20.58,-20.79,-20.72,80.3,81.0,0.0,1.01,218.5,354.9,718.2,12.51,1.59,0.62
2022-04-16 21:00:00+00:00,-19.8,-19.59,-20.01,-19.85,82.8,82.4,0.0,0.49,223.2,355.0,717.8,12.44,1.59,0.62
2022-04-16 22:00:00+00:00,-18.72,-18.61,-18.93,-18.85,83.9,83.3,0.0,5.24,224.0,354.9,717.5,12.38,1.59,0.62
2022-04-16 23:00:00+00:00,-17.43,-17.38,-17.51,-17.55,85.0,84.3,0.0,9.73,209.8,354.9,717.4,12.35,1.58,0.62
2022-04-17 11:00:00+00:00,-26.38,-22.14,-25.6,-22.04,74.66,81.2,0.0,2.02,105.8,354.5,-999,12.65,1.61,0.63
2022-04-17 12:00:00+00:00,-25.66,-21.58,-25.32,-21.77,75.83,81.3,0.0,4.73,108.6,336.0,717.8,12.95,1.61,0.63
2022-04-17 13:00:00+00:00,-24.83,-21.39,-24.63,-21.88,76.79,81.1,0.0,4.97,113.9,312.6,718.2,13.19,1.61,0.63
2022-04-17 14:00:00+00:00,-24.28,-20.15,-23.85,-20.78,76.54,82.0,0.0,2.63,122.7,354.5,718.7,13.35,1.61,0.63
2022-04-17 15:00:00+00:00,-23.93,-19.87,-23.43,-20.48,76.43,82.2,0.0,2.21,147.2,349.9,718.9,13.44,1.61,0.63
2022-04-17 16:00:00+00:00,-23.15,-19.21,-22.53,-19.59,76.62,82.8,0.0,2.85,139.7,354.7,719.1,13.43,1.61,0.63
2022-04-17 17:00:00+00:00,-23.25,-20.3,-23.0,-20.72,77.85,81.8,0.0,4.79,138.2,350.1,719.2,13.36,1.61,0.63
2022-04-17 18:00:00+00:00,-21.3,-19.54,-21.51,-19.97,80.7,82.6,0.0,2.73,111.4,354.6,719.3,13.22,1.6,0.63
2022-04-17 19:00:00+00:00,-21.01,-18.05,-20.33,-18.4,79.7,83.7,0.0,0.82,118.5,354.6,719.6,13.06,1.6,0.63
2022-04-17 20:00:00+00:00,-23.19,-21.28,-22.83,-21.16,77.58,81.5,0.0,0.33,192.5,354.6,719.6,12.83,1.6,0.63
2022-04-17 20:34:00+00:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2022-04-17 21:00:00+00:00,-23.65,-23.12,-23.56,-23.02,77.92,79.64,0.0,0.37,218.5,354.6,719.8,12.65,1.61,0.63
2022-04-17 22:00:00+00:00,-24.55,-23.66,-24.25,-23.64,77.05,79.1,0.0,0.18,195.9,354.6,719.8,12.52,1.61,0.63
2022-04-17 23:00:00+00:00,-26.95,-26.42,-26.94,-26.46,75.27,76.37,0.0,1.19,271.0,354.6,719.6,12.47,1.61,0.63
2022-04-18 00:00:00+00:00,-27.11,-26.86,-27.22,-27.07,75.74,75.69,0.0,1.29,281.1,354.6,719.8,12.44,1.62,0.63
2022-04-18 01:00:00+00:00,-27.83,-27.56,-27.95,-27.74,75.06,75.01,0.0,1.35,291.1,354.7,719.8,12.41,1.62,0.63
2022-04-18 02:00:00+00:00,-28.87,-28.67,-29.03,-28.86,73.99,73.9,0.0,0.59,256.6,354.7,719.7,12.39,1.62,0.63
2022-04-18 03:00:00+00:00,-29.06,-28.89,-29.2,-29.1,73.85,73.65,0.0,0.17,211.6,354.7,719.7,12.37,1.62,0.63
2022-04-18 04:00:00+00:00,-29.01,-28.97,-29.17,-29.21,74.03,73.52,0.0,0.06,174.3,354.6,719.7,12.35,1.62,0.63
2022-04-18 05:00:00+00:00,-29.57,-29.36,-29.71,-29.57,73.28,73.15,0.0,1.07,255.9,354.6,719.8,12.33,1.62,0.63
2022-04-18 06:00:00+00:00,-29.12,-29.02,-29.33,-29.29,73.99,73.41,0.0,0.22,204.7,354.6,720.0,12.31,1.62,0.63
2022-04-18 07:00:00+00:00,-29.11,-28.79,-29.13,-28.97,73.56,73.71,0.0,0.94,294.0,354.7,720.2,12.31,1.62,0.63
2022-04-18 08:00:00+00:00,-27.67,-27.42,-27.91,-27.67,75.41,75.0,0.0,0.98,308.5,354.7,720.7,12.34,1.62,0.63
2022-04-18 09:00:00+00:00,-25.74,-25.52,-25.97,-25.71,77.24,76.94,0.0,0.14,270.2,354.7,721.1,-999,1.61,0.63
2022-04-18 10:00:00+00:00,-24.39,-23.91,-24.34,-23.79,78.05,78.79,0.0,0.09,180.8,354.7,721.6,12.47,1.61,0.63
2022-04-18 11:00:00+00:00,-23.67,-22.92,-23.5,-22.7,78.06,79.87,0.0,0.05,158.6,354.6,722.0,12.68,1.6,0.62
2022-04-18 12:00:00+00:00,-22.68,-21.05,-22.41,-20.82,78.63,81.7,0.0,0.28,161.1,354.6,722.1,12.96,1.6,0.62
2022-04-18 13:00:00+00:00,-21.88,-18.81,-21.35,-18.66,78.98,83.6,0.0,0.39,138.1,354.6,722.4,13.21,1.6,0.62
2022-04-18 14:00:00+00:00,-20.73,-16.88,-19.98,-16.89,78.82,85.2,0.0,0.01,156.6,354.6,722.6,13.38,1.6,0.62
2022-04-18 15:00:00+00:00,-20.38,-17.16,-19.64,-17.19,78.3,85.1,0.0,0.04,219.7,354.6,722.9,13.46,1.59,0.62
2022-04-18 16:00:00+00:00,-19.32,-15.82,-18.37,-15.99,78.79,86.1,0.0,0.01,197.3,354.6,722.7,13.45,1.59,0.62
2022-04-18 17:00:00+00:00,-19.42,-16.49,-18.59,-16.37,78.71,85.8,0.0,0.09,224.5,354.6,722.7,13.37,1.59,0.62
2022-04-18 18:00:00+00:00,-19.25,-17.02,-18.41,-16.94,78.78,85.0,0.0,0.13,241.9,354.6,722.8,13.25,1.59,0.62
2022-04-18 19:00:00+00:00,-20.25,-18.99,-19.65,-18.97,78.84,83.1,0.0,1.7,301.1,354.6,722.9,13.07,1.59,0.62
2022-04-18 20:00:00+00:00,-20.42,-19.0,-19.87,-19.05,79.16,83.1,0.0,0.77,277.5,354.6,722.9,12.87,1.6,0.62
2022-04-18 21:00:00+00:00,-21.65,-20.0,-21.1,-19.84,78.36,82.4,0.0,0.1,211.7,354.6,722.7,12.69,1.6,0.62
2022-04-18 22:00:00+00:00,-23.23,-22.22,-23.11,-22.26,78.36,80.3,0.0,0.28,292.8,354.6,722.6,12.55,1.6,0.62
2022-04-18 23:00:00+00:00,-24.17,-23.11,-24.14,-23.22,78.05,79.42,0.0,0.85,293.3,354.6,722.3,12.5,1.61,0.63
2022-04-19 00:00:00+00:00,-25.07,-23.97,-25.25,-24.15,77.86,78.69,0.0,0.28,174.6,354.6,722.0,12.47,1.61,0.63
2022-04-19 01:00:00+00:00,-26.6,-25.2,-26.61,-25.38,76.1,77.45,0.0,0.48,274.3,354.6,721.8,12.45,1.62,0.63
2022-04-19 02:00:00+00:00,-27.39,-26.22,-27.56,-26.4,75.7,76.47,0.0,0.38,293.1,354.7,721.5,12.43,1.62,0.63
2022-04-19 03:00:00+00:00,-27.03,-25.7,-27.19,-25.95,76.12,76.92,0.0,0.67,288.1,354.7,721.4,12.41,1.62,0.63
2022-04-19 04:00:00+00:00,-28.71,-27.54,-28.68,-27.59,74.0,75.27,0.0,0.34,256.8,354.7,721.3,12.4,1.62,0.64
2022-04-19 05:00:00+00:00,-29.77,-28.92,-29.9,-29.12,73.14,73.73,0.0,0.1,296.1,354.7,721.0,12.38,1.63,0.64
2022-04-19 06:00:00+00:00,-30.42,-29.48,-30.31,-29.61,72.13,73.24,0.0,0.03,194.7,354.7,720.9,12.36,1.63,0.64
2022-04-19 07:00:00+00:00,-30.76,-29.93,-30.7,-30.15,71.74,72.66,0.0,0.0,138.3,354.6,720.9,12.38,1.63,0.64
2022-04-19 08:00:00+00:00,-31.31,-30.39,-31.16,-30.42,70.83,72.37,0.0,0.02,174.1,354.7,721.1,12.41,1.63,0.64
2022-04-19 09:00:00+00:00,-30.94,-30.4,-31.05,-30.49,71.6,72.18,0.0,0.03,277.4,354.7,721.2,12.47,1.63,0.64
2022-04-19 10:00:00+00:00,-29.63,-29.01,-29.35,-28.73,72.13,73.67,0.0,0.08,223.4,354.7,721.2,12.58,1.62,0.63
2022-04-19 11:00:00+00:00,-28.52,-27.68,-27.78,-27.29,72.2,75.23,0.0,0.01,184.5,354.7,721.2,12.76,1.62,0.63
2022-04-19 12:00:00+00:00,-27.87,-26.72,-27.24,-26.4,72.98,76.17,0.0,0.0,156.2,354.7,721.2,13.02,1.62,0.63
2022-04-19 13:00:00+00:00,-26.4,-24.41,-25.62,-24.2,74.44,78.5,0.0,0.01,147.0,354.6,721.3,13.25,1.62,0.63
2022-04-19 14:00:00+00:00,-24.5,-21.03,-23.45,-21.03,76.02,81.6,0.0,0.0,154.8,354.7,721.5,13.39,1.61,0.63
2022-04-19 15:00:00+00:00,-22.81,-18.62,-21.35,-18.71,77.14,83.9,0.0,0.0,149.1,354.7,721.5,13.47,1.61,0.63
2022-04-19 16:00:00+00:00,-21.61,-17.19,-20.39,-17.5,79.09,85.0,0.0,0.02,131.0,354.6,721.6,13.46,1.61,0.63
2022-04-19 17:00:00+00:00,-18.83,-15.19,-17.76,-16.05,83.2,86.3,0.0,0.22,109.6,354.6,721.6,13.39,1.6,0.62
2022-04-19 18:00:00+00:00,-19.02,-14.77,-17.27,-15.7,81.6,86.5,0.0,0.06,118.4,354.6,721.7,13.28,1.6,0.62
2022-04-19 19:00:00+00:00,-20.48,-16.5,-18.81,-17.19,80.0,85.2,0.0,0.48,116.9,354.6,721.8,13.13,1.6,0.63
2022-04-19 20:00:00+00:00,-21.8,-18.98,-20.96,-19.47,79.97,83.2,0.0,0.85,116.1,354.5,721.9,12.94,1.61,0.63
2022-04-19 21:00:00+00:00,-22.44,-19.65,-21.36,-19.99,78.69,82.7,0.0,0.02,115.9,354.6,722.1,12.78,1.61,0.63
2022-04-19 22:00:00+00:00,-25.73,-22.72,-24.79,-22.49,74.15,80.6,0.0,0.01,133.5,354.6,722.1,12.62,1.62,0.63
2022-04-19 23:00:00+00:00,-27.36,-25.97,-27.41,-26.04,75.1,76.96,0.0,0.01,157.6,354.6,721.8,12.54,1.62,0.63
